id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ_7nckU8pY44RzYHBQfAlVek,https://www.google.com/maps/place/?q=place_id:ChIJ_7nckU8pY44RzYHBQfAlVek,Pollos Morón,Tienda de aves de corral,"79XP+G3, Valera 3101, Trujillo, Venezuela",,,,,"9.2988646,-70.6148214",4.4,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJq6mKXx4pY44R12Xd6ciNGEQ,https://www.google.com/maps/place/?q=place_id:ChIJq6mKXx4pY44R12Xd6ciNGEQ,Pollos Morón,Tienda de aves de corral,"89FV+G38, Valera 3101, Trujillo, Venezuela",,,,,"9.3237994,-70.60731179999999",4.1,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJmz3J3zbFBZERZkov5agmqwI,https://www.google.com/maps/place/?q=place_id:ChIJmz3J3zbFBZERZkov5agmqwI,Pollería Chicken Grill,Restaurante especializado en pollo,"Av. Las Magnolias 503, El Agustino 15006",980 438 398,+51 980 438 398,,,"-12.0350536,-77.00321319999999",4.8,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJG28TL4sCtJERVDCJ0gzSQtA,https://www.google.com/maps/place/?q=place_id:ChIJG28TL4sCtJERVDCJ0gzSQtA,Polleria PURO NORTE,Restaurante,"V26X+4WH, Lámud 01515",951 511 790,+51 951 511 790,facebook.com,https://www.facebook.com/Puronortepolleria/?ref=bookmarks,"-6.1396878,-77.95012779999999",3.8,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJBStPM-IpY44RsI5OS8712F4,https://www.google.com/maps/place/?q=place_id:ChIJBStPM-IpY44RsI5OS8712F4,SuperPolloLosBambues,Restaurante especializado en pollo,"Valera La Floresta, Av principal el cementerio, Valera 3101, Trujillo, Venezuela",0424-7815407,+58 424-7815407,,,"9.3102418,-70.6198599",5,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJh-jwPGMDtJERu_HpMYPT9Ig,https://www.google.com/maps/place/?q=place_id:ChIJh-jwPGMDtJERu_HpMYPT9Ig,Pollería Restaurant Turístico La Cresta de Oro,Restaurante,"Av. Blas Valera 337, Lámud 01515",985 309 521,+51 985 309 521,,,"-6.142197299999999,-77.952415",5,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJ_7nckU8pY44RzYHBQfAlVek,https://www.google.com/maps/place/?q=place_id:ChIJ_7nckU8pY44RzYHBQfAlVek,Pollos Morón,Tienda de aves de corral,"79XP+G3, Valera 3101, Trujillo, Venezuela",,,,,"9.2988646,-70.6148214",4.4,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJq6mKXx4pY44R12Xd6ciNGEQ,https://www.google.com/maps/place/?q=place_id:ChIJq6mKXx4pY44R12Xd6ciNGEQ,Pollos Morón,Tienda de aves de corral,"89FV+G38, Valera 3101, Trujillo, Venezuela",,,,,"9.3237994,-70.60731179999999",4.1,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJmz3J3zbFBZERZkov5agmqwI,https://www.google.com/maps/place/?q=place_id:ChIJmz3J3zbFBZERZkov5agmqwI,Pollería Chicken Grill,Restaurante especializado en pollo,"Av. Las Magnolias 503, El Agustino 15006",980 438 398,+51 980 438 398,,,"-12.0350536,-77.00321319999999",4.8,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
ChIJG28TL4sCtJERVDCJ0gzSQtA,https://www.google.com/maps/place/?q=place_id:ChIJG28TL4sCtJERVDCJ0gzSQtA,Polleria PURO NORTE,Restaurante,"V26X+4WH, Lámud 01515",951 511 790,+51 951 511 790,facebook.com,https://www.facebook.com/Puronortepolleria/?ref=bookmarks,"-6.1396878,-77.95012779999999",3.8,,"Pollería en el distrito de Valera, Bongará, Amazonas, Perú"
