id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ2XOCs5bIBZERyDEBT9th5NU,https://www.google.com/maps/place/?q=place_id:ChIJ2XOCs5bIBZERyDEBT9th5NU,Cebicheria Capuñay,Restaurante peruano,"Sebastián Barranca 592- A, Lima 15033",(01) 3309583,+51 1 3309583,,,"-12.0683388,-77.0265857",4.4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ1RUOXUrPBZERId0RbKNGnnA,https://www.google.com/maps/place/?q=place_id:ChIJ1RUOXUrPBZERId0RbKNGnnA,CEVICHERIA PUNTA MADRE ( El trío de amelia) ),Marisquería,"Chira Puesto 59 y 60, Rímac 15093",953 546 688,+51 953 546 688,,,"-12.03736,-77.0318156",3.9,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJrZdEzezFBZERMgzuAGYIfog,https://www.google.com/maps/place/?q=place_id:ChIJrZdEzezFBZERMgzuAGYIfog,Cevicheria Marymar,Restaurante,"Av.Lurigancho 1169 CP:, San Juan de Lurigancho 15427",922 493 679,+51 922 493 679,,,"-12.0167103,-76.9953328",4.1,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJY7jcU_ADbZERhmSacUrzaGI,https://www.google.com/maps/place/?q=place_id:ChIJY7jcU_ADbZERhmSacUrzaGI,Ceviche landia - Chifa Riky ricón,Restaurante,"Jr. Huancavelica 700, Abancay 03001",936 221 830,+51 936 221 830,,,"-13.633377999999999,-72.8775093",3.6,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ2XOCs5bIBZERyDEBT9th5NU,https://www.google.com/maps/place/?q=place_id:ChIJ2XOCs5bIBZERyDEBT9th5NU,Cebicheria Capuñay,Restaurante peruano,"Sebastián Barranca 592- A, Lima 15033",(01) 3309583,+51 1 3309583,,,"-12.0683388,-77.0265857",4.4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ1RUOXUrPBZERId0RbKNGnnA,https://www.google.com/maps/place/?q=place_id:ChIJ1RUOXUrPBZERId0RbKNGnnA,CEVICHERIA PUNTA MADRE ( El trío de amelia) ),Marisquería,"Chira Puesto 59 y 60, Rímac 15093",953 546 688,+51 953 546 688,,,"-12.03736,-77.0318156",3.9,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJrZdEzezFBZERMgzuAGYIfog,https://www.google.com/maps/place/?q=place_id:ChIJrZdEzezFBZERMgzuAGYIfog,Cevicheria Marymar,Restaurante,"Av.Lurigancho 1169 CP:, San Juan de Lurigancho 15427",922 493 679,+51 922 493 679,,,"-12.0167103,-76.9953328",4.1,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJY7jcU_ADbZERhmSacUrzaGI,https://www.google.com/maps/place/?q=place_id:ChIJY7jcU_ADbZERhmSacUrzaGI,Ceviche landia - Chifa Riky ricón,Restaurante,"Jr. Huancavelica 700, Abancay 03001",936 221 830,+51 936 221 830,,,"-13.633377999999999,-72.8775093",3.6,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ2XOCs5bIBZERyDEBT9th5NU,https://www.google.com/maps/place/?q=place_id:ChIJ2XOCs5bIBZERyDEBT9th5NU,Cebicheria Capuñay,Restaurante peruano,"Sebastián Barranca 592- A, Lima 15033",(01) 3309583,+51 1 3309583,,,"-12.0683388,-77.0265857",4.4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ1RUOXUrPBZERId0RbKNGnnA,https://www.google.com/maps/place/?q=place_id:ChIJ1RUOXUrPBZERId0RbKNGnnA,CEVICHERIA PUNTA MADRE ( El trío de amelia) ),Marisquería,"Chira Puesto 59 y 60, Rímac 15093",953 546 688,+51 953 546 688,,,"-12.03736,-77.0318156",3.9,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJrZdEzezFBZERMgzuAGYIfog,https://www.google.com/maps/place/?q=place_id:ChIJrZdEzezFBZERMgzuAGYIfog,Cevicheria Marymar,Restaurante,"Av.Lurigancho 1169 CP:, San Juan de Lurigancho 15427",922 493 679,+51 922 493 679,,,"-12.0167103,-76.9953328",4.1,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJY7jcU_ADbZERhmSacUrzaGI,https://www.google.com/maps/place/?q=place_id:ChIJY7jcU_ADbZERhmSacUrzaGI,Ceviche landia - Chifa Riky ricón,Restaurante,"Jr. Huancavelica 700, Abancay 03001",936 221 830,+51 936 221 830,,,"-13.633377999999999,-72.8775093",3.6,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ2XOCs5bIBZERyDEBT9th5NU,https://www.google.com/maps/place/?q=place_id:ChIJ2XOCs5bIBZERyDEBT9th5NU,Cebicheria Capuñay,Restaurante peruano,"Sebastián Barranca 592- A, Lima 15033",(01) 3309583,+51 1 3309583,,,"-12.0683388,-77.0265857",4.4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ1RUOXUrPBZERId0RbKNGnnA,https://www.google.com/maps/place/?q=place_id:ChIJ1RUOXUrPBZERId0RbKNGnnA,CEVICHERIA PUNTA MADRE ( El trío de amelia) ),Marisquería,"Chira Puesto 59 y 60, Rímac 15093",953 546 688,+51 953 546 688,,,"-12.03736,-77.0318156",3.9,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJrZdEzezFBZERMgzuAGYIfog,https://www.google.com/maps/place/?q=place_id:ChIJrZdEzezFBZERMgzuAGYIfog,Cevicheria Marymar,Restaurante,"Av.Lurigancho 1169 CP:, San Juan de Lurigancho 15427",922 493 679,+51 922 493 679,,,"-12.0167103,-76.9953328",4.1,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJY7jcU_ADbZERhmSacUrzaGI,https://www.google.com/maps/place/?q=place_id:ChIJY7jcU_ADbZERhmSacUrzaGI,Ceviche landia - Chifa Riky ricón,Restaurante,"Jr. Huancavelica 700, Abancay 03001",936 221 830,+51 936 221 830,,,"-13.633377999999999,-72.8775093",3.6,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
ChIJ2XOCs5bIBZERyDEBT9th5NU,https://www.google.com/maps/place/?q=place_id:ChIJ2XOCs5bIBZERyDEBT9th5NU,Cebicheria Capuñay,Restaurante peruano,"Sebastián Barranca 592- A, Lima 15033",(01) 3309583,+51 1 3309583,,,"-12.0683388,-77.0265857",4.4,,"Cevichería en el distrito de Capaya, Aymaraes, Apurímac, Perú"
