id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJH8glitTFBZERCgcA1mrHU1c,https://www.google.com/maps/place/?q=place_id:ChIJH8glitTFBZERCgcA1mrHU1c,Cevicheria Mar de Mares,Restaurante,"51, Santa Anita 15007",993 035 913,+51 993 035 913,,,"-12.033520699999999,-76.96448389999999",3.9,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
ChIJF4YP6tLZBZER02oSDg1z4Xo,https://www.google.com/maps/place/?q=place_id:ChIJF4YP6tLZBZER02oSDg1z4Xo,Restaurant Cevichería,Restaurante,"Av. Túpac Amaru 280, Carabayllo 15319",,,,,"-11.8586542,-77.0049548",3,,"Cevichería en el distrito de Ihuayllo, Aymaraes, Apurímac, Perú"
