id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJAfKfa2vPBZERt2GNpfUJZks,https://www.google.com/maps/place/?q=place_id:ChIJAfKfa2vPBZERt2GNpfUJZks,Polleria Donde Mery,Restaurante,"XXP9+98F, C. 2, Lima 15096",,,,,"-12.0140696,-77.0316933",5,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJr0yrzrTIBZERlYU7DaxwzRo,https://www.google.com/maps/place/?q=place_id:ChIJr0yrzrTIBZERlYU7DaxwzRo,Polleria La Perricholi Rimac,Restaurante,"Jr. Trujillo 399 esquina con Jr. Virú Rimac Municipalidad Metropolitana de Lima, LIMA 25",940 227 909,+51 940 227 909,,,"-12.040935099999999,-77.0294243",4,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJaxTnz43JBZERgT7oqotlW_Q,https://www.google.com/maps/place/?q=place_id:ChIJaxTnz43JBZERgT7oqotlW_Q,Demetrius,Restaurante,"Avenida Aviación 600 La Victoria, Av. Aviación 600, Lima 15018",960 105 031,+51 960 105 031,wordpress.com,http://mydemetriusdotcom.wordpress.com/,"-12.067152199999999,-77.01238169999999",4.2,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJpfktvpPFBZER9RT3KBZaYvs,https://www.google.com/maps/place/?q=place_id:ChIJpfktvpPFBZER9RT3KBZaYvs,El shaday pollos y parrillas,Tienda de aves de corral,"Av. Héroes del Cenepa Oeste, San Juan de Lurigancho 00051",933 445 280,+51 933 445 280,,,"-11.9573883,-76.989419",2,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJMR_t0C-5BZERRXD9BACzEWo,https://www.google.com/maps/place/?q=place_id:ChIJMR_t0C-5BZERRXD9BACzEWo,Polleria El Paisa,Restaurante,"Av 26 de Noviembre 752-792, Lima 15817",995 128 250,+51 995 128 250,,,"-12.1740971,-76.93455759999999",3.9,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJJbHNcze5BZERIqGhxn8sAw8,https://www.google.com/maps/place/?q=place_id:ChIJJbHNcze5BZERIqGhxn8sAw8,Pollos A La Brasa,Restaurante,"Av. 27 de Diciembre 881, Villa María del Triunfo 15818",,,,,"-12.189302,-76.9286006",,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJxxt6-C28bJERXgq0hvzaINU,https://www.google.com/maps/place/?q=place_id:ChIJxxt6-C28bJERXgq0hvzaINU,Tapairihua,,03435,,,,,"-14.1413034,-73.1406487",,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
ChIJD6neI6a-BZER9F_q-hdQvto,https://www.google.com/maps/place/?q=place_id:ChIJD6neI6a-BZER9F_q-hdQvto,PICO RICO'S,Restaurante peruano,"Av. Lima 770, Villa María del Triunfo 15822",(01) 6638318,+51 1 6638318,,,"-12.2099947,-76.9063008",3.8,,"Pollería en el distrito de Tapairihua, Aymaraes, Apurímac, Perú"
