id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJUVDQMwB3cpERd6lsx87oHz0,https://www.google.com/maps/place/?q=place_id:ChIJUVDQMwB3cpERd6lsx87oHz0,Pollería el ocobambino,Restaurante especializado en pollo,"4HH3+H29, Ca. N 02, Ocobamba 08781",978 800 082,+51 978 800 082,,,"-12.871034499999999,-72.44795409999999",,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJQROG69W5BZERp9ZutdOP68A,https://www.google.com/maps/place/?q=place_id:ChIJQROG69W5BZERp9ZutdOP68A,Goolperos Chicken Grill,Restaurante,"Av. Ariosto Matellini, Chorrillos 15064",(01) 2496761,+51 1 2496761,,,"-12.178477299999999,-77.0092866",4.3,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJUVDQMwB3cpERd6lsx87oHz0,https://www.google.com/maps/place/?q=place_id:ChIJUVDQMwB3cpERd6lsx87oHz0,Pollería el ocobambino,Restaurante especializado en pollo,"4HH3+H29, Ca. N 02, Ocobamba 08781",978 800 082,+51 978 800 082,,,"-12.871034499999999,-72.44795409999999",,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJQROG69W5BZERp9ZutdOP68A,https://www.google.com/maps/place/?q=place_id:ChIJQROG69W5BZERp9ZutdOP68A,Goolperos Chicken Grill,Restaurante,"Av. Ariosto Matellini, Chorrillos 15064",(01) 2496761,+51 1 2496761,,,"-12.178477299999999,-77.0092866",4.3,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJUVDQMwB3cpERd6lsx87oHz0,https://www.google.com/maps/place/?q=place_id:ChIJUVDQMwB3cpERd6lsx87oHz0,Pollería el ocobambino,Restaurante especializado en pollo,"4HH3+H29, Ca. N 02, Ocobamba 08781",978 800 082,+51 978 800 082,,,"-12.871034499999999,-72.44795409999999",,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJQROG69W5BZERp9ZutdOP68A,https://www.google.com/maps/place/?q=place_id:ChIJQROG69W5BZERp9ZutdOP68A,Goolperos Chicken Grill,Restaurante,"Av. Ariosto Matellini, Chorrillos 15064",(01) 2496761,+51 1 2496761,,,"-12.178477299999999,-77.0092866",4.3,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Ocobamba, Chincheros, Apurímac, Perú"
