id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ27V5IABLQpERpKA5EWsofCU,https://www.google.com/maps/place/?q=place_id:ChIJ27V5IABLQpERpKA5EWsofCU,"Polleria ""El Señor de las Brasas""",Restaurante especializado en pollo,"HCXW+9VH, Av Metropolitana, Arequipa 04013",946 779 952,+51 946 779 952,,,"-16.4015305,-71.5528094",4.7,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJrYXSRtxKQpER2CRmK8o-CQY,https://www.google.com/maps/place/?q=place_id:ChIJrYXSRtxKQpER2CRmK8o-CQY,El Huallaga - Pollos a la Brasa,Restaurante especializado en pollo,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04009",(054) 428320,+51 54 428320,,,"-16.430761699999998,-71.5324349",3.3,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJ4WePQS1KQpERUlpoSi7vT9c,https://www.google.com/maps/place/?q=place_id:ChIJ4WePQS1KQpERUlpoSi7vT9c,Pollería el gordito,Restaurante especializado en pollo,"Avenida Francisco Mostajo, 420B Zona A Independencia, Alto Selva Alegre",984 745 335,+51 984 745 335,facebook.com,https://www.facebook.com/PolleriaElGordito/,"-16.368353799999998,-71.5262959",3.8,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJ3S-H7Xs1QpERbsCjZMu2-IA,https://www.google.com/maps/place/?q=place_id:ChIJ3S-H7Xs1QpERbsCjZMu2-IA,Polleria La Curva,Restaurante,"Progreso 311, Arequipa 04013",944 676 628,+51 944 676 628,,,"-16.415029,-71.5790524",3.5,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJVwB1ZTVLQpER7h5iX8i6rgQ,https://www.google.com/maps/place/?q=place_id:ChIJVwB1ZTVLQpER7h5iX8i6rgQ,Polleria El Gordo,Restaurante,"C. Elias Aguirre 833-809, Arequipa 04003",959 008 506,+51 959 008 506,,,"-16.3658041,-71.5174739",3.3,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJB70pkCBLQpERklNRBGb5WRM,https://www.google.com/maps/place/?q=place_id:ChIJB70pkCBLQpERklNRBGb5WRM,Pollería El Pio Pa,Restaurante,"Alto de la Luna, Manzana B 2, José Luis Bustamante y Rivero 04009",979 361 344,+51 979 361 344,,,"-16.4293548,-71.52403939999999",4.1,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
ChIJdfiIia9LQpERwd_yLsaHwOA,https://www.google.com/maps/place/?q=place_id:ChIJdfiIia9LQpERwd_yLsaHwOA,EL GORDO,Restaurante,"JF4P+WP4, C. Sanchez Trujillo, Arequipa 04001",944 301 414,+51 944 301 414,facebook.com,https://www.facebook.com/Polleriaelgordooficial/,"-16.392737099999998,-71.5131838",3.4,,"Pollería en el distrito de Santa Isabel de Siguas, Arequipa, Arequipa, Perú"
