id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJ27V5IABLQpERpKA5EWsofCU,https://www.google.com/maps/place/?q=place_id:ChIJ27V5IABLQpERpKA5EWsofCU,"Polleria ""El Señor de las Brasas""",Restaurante especializado en pollo,"HCXW+9VH, Av Metropolitana, Arequipa 04013",946 779 952,+51 946 779 952,,,"-16.4015305,-71.5528094",4.7,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJ27V5IABLQpERpKA5EWsofCU,https://www.google.com/maps/place/?q=place_id:ChIJ27V5IABLQpERpKA5EWsofCU,"Polleria ""El Señor de las Brasas""",Restaurante especializado en pollo,"HCXW+9VH, Av Metropolitana, Arequipa 04013",946 779 952,+51 946 779 952,,,"-16.4015305,-71.5528094",4.7,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJ27V5IABLQpERpKA5EWsofCU,https://www.google.com/maps/place/?q=place_id:ChIJ27V5IABLQpERpKA5EWsofCU,"Polleria ""El Señor de las Brasas""",Restaurante especializado en pollo,"HCXW+9VH, Av Metropolitana, Arequipa 04013",946 779 952,+51 946 779 952,,,"-16.4015305,-71.5528094",4.7,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJ27V5IABLQpERpKA5EWsofCU,https://www.google.com/maps/place/?q=place_id:ChIJ27V5IABLQpERpKA5EWsofCU,"Polleria ""El Señor de las Brasas""",Restaurante especializado en pollo,"HCXW+9VH, Av Metropolitana, Arequipa 04013",946 779 952,+51 946 779 952,,,"-16.4015305,-71.5528094",4.7,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJO37opb-DQZERnx9po-UuYKk,https://www.google.com/maps/place/?q=place_id:ChIJO37opb-DQZERnx9po-UuYKk,Pollería Djames,Restaurante especializado en pollo,"GW64+2VV, Santa Rita de Siguas 04102",,,,,"-16.4898888,-72.09284199999999",5,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJra-benyDQZERJph8cGf6sNc,https://www.google.com/maps/place/?q=place_id:ChIJra-benyDQZERJph8cGf6sNc,Polleria Imperio,Pollería,04002,998 246 476,+51 998 246 476,,,"-16.4922119,-72.0934123",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJFVM8fQCDQZER5Sltbw29fUE,https://www.google.com/maps/place/?q=place_id:ChIJFVM8fQCDQZER5Sltbw29fUE,Polleria Chifa Sami,Restaurante,"GW64+6H, Santa Rita de Siguas 04102",,,,,"-16.4894951,-72.0936699",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJf9zeIcuDQZERw_TYhmQiyLU,https://www.google.com/maps/place/?q=place_id:ChIJf9zeIcuDQZERw_TYhmQiyLU,Pollería Sumaq,Tienda de aves de corral,"Nueva juventud zona C, Santa Rita de Siguas 04102",939 216 252,+51 939 216 252,facebook.com,https://www.facebook.com/groups/812312752629203/permalink/2264977164029414/,"-16.4964774,-72.0948204",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
ChIJA-XghfWDQZERILObnx_kol4,https://www.google.com/maps/place/?q=place_id:ChIJA-XghfWDQZERILObnx_kol4,Alexander Saya Aguilar,Restaurante especializado en pollo,Santa Rita de Siguas 04102,,,,,"-16.4894864,-72.09290709999999",,,"Pollería en el distrito de Santa Rita de Siguas, Arequipa, Arequipa, Perú"
