id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ5WPY_gDzP5EREr_gV7imbkQ,https://www.google.com/maps/place/?q=place_id:ChIJ5WPY_gDzP5EREr_gV7imbkQ,Pollería Karlos,Tienda de aves de corral,"Av. Caraveli, Atico 04475",923 503 534,+51 923 503 534,,,"-16.227954999999998,-73.6133571",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJCabgbgDzP5ERXb7IXXOLlKk,https://www.google.com/maps/place/?q=place_id:ChIJCabgbgDzP5ERXb7IXXOLlKk,La Esquina de Martha- brosteria,Restaurante especializado en pollo,"nuevo progreso, Atico 04475",,,,,"-16.2263649,-73.61077159999999",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJ1bPngtLzP5ERkXQT6OPGqkU,https://www.google.com/maps/place/?q=place_id:ChIJ1bPngtLzP5ERkXQT6OPGqkU,RESTAURANT MAR & SABORES Pescados Y Mariscos,Restaurante,"Q9CW+4XX, Atico 04475",967 059 108,+51 967 059 108,facebook.com,https://www.facebook.com/MarYSaboresCevicheria/,"-16.2296326,-73.60251099999999",3.9,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJgcmpNgDzP5ERKCv3Ojxwg8o,https://www.google.com/maps/place/?q=place_id:ChIJgcmpNgDzP5ERKCv3Ojxwg8o,"POLLERÍA ANTICUCHERIA ""MANOS MORENAS""",Pub restaurante,"Q9FR+62Q, Atico 04475",,,,,"-16.2273217,-73.6101214",5,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJmcfqUADzP5ERqcedPAQNliU,https://www.google.com/maps/place/?q=place_id:ChIJmcfqUADzP5ERqcedPAQNliU,Cevicheria & Polleria THIAGO,Restaurante,"Q9CQ+F5X, Atico 04475",,,,,"-16.2287352,-73.6120067",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJ5WPY_gDzP5EREr_gV7imbkQ,https://www.google.com/maps/place/?q=place_id:ChIJ5WPY_gDzP5EREr_gV7imbkQ,Pollería Karlos,Tienda de aves de corral,"Av. Caraveli, Atico 04475",923 503 534,+51 923 503 534,,,"-16.227954999999998,-73.6133571",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJCabgbgDzP5ERXb7IXXOLlKk,https://www.google.com/maps/place/?q=place_id:ChIJCabgbgDzP5ERXb7IXXOLlKk,La Esquina de Martha- brosteria,Restaurante especializado en pollo,"nuevo progreso, Atico 04475",,,,,"-16.2263649,-73.61077159999999",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJ1bPngtLzP5ERkXQT6OPGqkU,https://www.google.com/maps/place/?q=place_id:ChIJ1bPngtLzP5ERkXQT6OPGqkU,RESTAURANT MAR & SABORES Pescados Y Mariscos,Restaurante,"Q9CW+4XX, Atico 04475",967 059 108,+51 967 059 108,facebook.com,https://www.facebook.com/MarYSaboresCevicheria/,"-16.2296326,-73.60251099999999",3.9,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJgcmpNgDzP5ERKCv3Ojxwg8o,https://www.google.com/maps/place/?q=place_id:ChIJgcmpNgDzP5ERKCv3Ojxwg8o,"POLLERÍA ANTICUCHERIA ""MANOS MORENAS""",Pub restaurante,"Q9FR+62Q, Atico 04475",,,,,"-16.2273217,-73.6101214",5,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJmcfqUADzP5ERqcedPAQNliU,https://www.google.com/maps/place/?q=place_id:ChIJmcfqUADzP5ERqcedPAQNliU,Cevicheria & Polleria THIAGO,Restaurante,"Q9CQ+F5X, Atico 04475",,,,,"-16.2287352,-73.6120067",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJ5WPY_gDzP5EREr_gV7imbkQ,https://www.google.com/maps/place/?q=place_id:ChIJ5WPY_gDzP5EREr_gV7imbkQ,Pollería Karlos,Tienda de aves de corral,"Av. Caraveli, Atico 04475",923 503 534,+51 923 503 534,,,"-16.227954999999998,-73.6133571",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJCabgbgDzP5ERXb7IXXOLlKk,https://www.google.com/maps/place/?q=place_id:ChIJCabgbgDzP5ERXb7IXXOLlKk,La Esquina de Martha- brosteria,Restaurante especializado en pollo,"nuevo progreso, Atico 04475",,,,,"-16.2263649,-73.61077159999999",,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
ChIJ1bPngtLzP5ERkXQT6OPGqkU,https://www.google.com/maps/place/?q=place_id:ChIJ1bPngtLzP5ERkXQT6OPGqkU,RESTAURANT MAR & SABORES Pescados Y Mariscos,Restaurante,"Q9CW+4XX, Atico 04475",967 059 108,+51 967 059 108,facebook.com,https://www.facebook.com/MarYSaboresCevicheria/,"-16.2296326,-73.60251099999999",3.9,,"Pollería en el distrito de Atico, Caravelí, Arequipa, Perú"
