id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ27V5IABLQpERpKA5EWsofCU,https://www.google.com/maps/place/?q=place_id:ChIJ27V5IABLQpERpKA5EWsofCU,"Polleria ""El Señor de las Brasas""",Restaurante especializado en pollo,"HCXW+9VH, Av Metropolitana, Arequipa 04013",946 779 952,+51 946 779 952,,,"-16.4015305,-71.5528094",4.7,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJF3WCHABLQpERtQUGwU6WUBQ,https://www.google.com/maps/place/?q=place_id:ChIJF3WCHABLQpERtQUGwU6WUBQ,La Francisca Pollería Criolla,Chiringuito,"Cl. San Francisco 139, Arequipa 04001",,,,,"-16.3975576,-71.53590369999999",3.1,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJ5f6lBgBLQpERp-AIK4QdbP0,https://www.google.com/maps/place/?q=place_id:ChIJ5f6lBgBLQpERp-AIK4QdbP0,Pollos a la brasa,Restaurante especializado en pollo,"HFP8+65C, Alcides Carrión, Arequipa 04002",,,,,"-16.4144486,-71.5346074",,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJj4uMw21LQpERnHLDev_cLxM,https://www.google.com/maps/place/?q=place_id:ChIJj4uMw21LQpERnHLDev_cLxM,Pollería Pimpollos,Restaurante especializado en pollo,Arequipa 04001,973 216 296,+51 973 216 296,,,"-16.4001618,-71.5452991",4.5,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJA0Yg9AZLQpERxoXqP-coUx4,https://www.google.com/maps/place/?q=place_id:ChIJA0Yg9AZLQpERxoXqP-coUx4,Polleria el Cotahuasino,Restaurante especializado en pollo,"HFG4+FH7, Av. Javier Pérez de Cuéllar, Jacobo Hunter 04011",989 313 244,+51 989 313 244,,,"-16.4238286,-71.5435856",4.3,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJa6324atLQpERaY-e3sceOvw,https://www.google.com/maps/place/?q=place_id:ChIJa6324atLQpERaY-e3sceOvw,Don Pechuga - Pollería,Restaurante,"Al Frente de Promart Homecenter, Urbanizacion San Pedro C-4, Yanahuara 04014",943 715 845,+51 943 715 845,,,"-16.392912,-71.5572933",3.3,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJD5TUOWJLQpERUNyviyHiuo4,https://www.google.com/maps/place/?q=place_id:ChIJD5TUOWJLQpERUNyviyHiuo4,Taipa,Restaurante,"Av. Mariscal Castilla 1102, Mariano Melgar 04006",963 115 282,+51 963 115 282,,,"-16.4067993,-71.51070779999999",4.5,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJiUBlUmdKQpERJOgswo5ys4o,https://www.google.com/maps/place/?q=place_id:ChIJiUBlUmdKQpERJOgswo5ys4o,"MR. POLLO, más sabor",Restaurante especializado en pollo,"Av. Victor Andrés Belaunde 304, Cercado De Arequipa 04001",(054) 340307,+51 54 340307,,,"-16.3997052,-71.54952709999999",3.6,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJI0Lt1tpLQpERiuCbp3KtB-Q,https://www.google.com/maps/place/?q=place_id:ChIJI0Lt1tpLQpERiuCbp3KtB-Q,El Galpón,Restaurante,"Av. Mariscal Castilla 1566, Arequipa 04006",955 443 599,+51 955 443 599,,,"-16.4095123,-71.5063534",4.2,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJLz_0nPhKQpER3bNP9GzBo7k,https://www.google.com/maps/place/?q=place_id:ChIJLz_0nPhKQpER3bNP9GzBo7k,Polleria El Galpon Pollos &parrilladas,Restaurante,"Calle Nueva 429, Arequipa 04001",958 954 536,+51 958 954 536,,,"-16.404242699999998,-71.5329071",4,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJCfKZ1fNJQpERjpPGFUfyXXE,https://www.google.com/maps/place/?q=place_id:ChIJCfKZ1fNJQpERjpPGFUfyXXE,Polleria Miguelon,Restaurante especializado en pollo,"Aviacion 700, Cercado De Arequipa 04017",959 644 774,+51 959 644 774,,,"-16.3522778,-71.554464",3.9,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJH92lUAC1Q5ERXga6qwOcoGI,https://www.google.com/maps/place/?q=place_id:ChIJH92lUAC1Q5ERXga6qwOcoGI,Pollería,Restaurante especializado en pollo,"GFQF+VX8, El Bosque, Socabaya 04012",937 674 226,+51 937 674 226,,,"-16.460334,-71.5250533",5,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJ27V5IABLQpERpKA5EWsofCU,https://www.google.com/maps/place/?q=place_id:ChIJ27V5IABLQpERpKA5EWsofCU,"Polleria ""El Señor de las Brasas""",Restaurante especializado en pollo,"HCXW+9VH, Av Metropolitana, Arequipa 04013",946 779 952,+51 946 779 952,,,"-16.4015305,-71.5528094",4.7,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Chachas, Castilla, Arequipa, Perú"
