id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJoWrlyQe5QZERgFDZEFd2zYI,https://www.google.com/maps/place/?q=place_id:ChIJoWrlyQe5QZERgFDZEFd2zYI,Pollería La Estrella,Restaurante,"AR-105 200, Corire 04600",,,,,"-16.223819499999998,-72.470365",4.5,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJNc8cCQe5QZERXHnyuyzq0pY,https://www.google.com/maps/place/?q=place_id:ChIJNc8cCQe5QZERXHnyuyzq0pY,"Pollería & Heladería ""Corire""",Restaurante,"AR-105 300, Corire",,,,,"-16.2222933,-72.4712806",4.6,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJDSWnFQC5QZERrv_UjKHbSNg,https://www.google.com/maps/place/?q=place_id:ChIJDSWnFQC5QZERrv_UjKHbSNg,Pollera Fundo el Carmen,Tienda de aves de corral,"QGHH+PP5, Av. Juan Pablo Vizcardo y Guzmán, Corire 04600",994 310 158,+51 994 310 158,,,"-16.220727999999998,-72.4706254",,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJKUSAB_O5QZEREtVkypHswp8,https://www.google.com/maps/place/?q=place_id:ChIJKUSAB_O5QZEREtVkypHswp8,"POLLERÍA PIKORICO ""PARICAHUA""",Restaurante,"Cerca de, Av. Mariscal Castilla, Corire 04601",998 908 801,+51 998 908 801,,,"-16.2226535,-72.4713651",,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJv3KpHwC5QZERYbxG-znk7Bg,https://www.google.com/maps/place/?q=place_id:ChIJv3KpHwC5QZERYbxG-znk7Bg,Restaurante pollería D' Brasero,Restaurante especializado en pollo,"AR-105 105, Corire 04600",,,,,"-16.224301999999998,-72.4705085",4,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJSzAUVAC5QZERWbxtSa6etMY,https://www.google.com/maps/place/?q=place_id:ChIJSzAUVAC5QZERWbxtSa6etMY,Ñañis restaurante polleria,Restaurante peruano,"04001, Corire 04601",974 284 509,+51 974 284 509,facebook.com,https://www.facebook.com/share/b2Kp3BcTzPvuAWjj/?mibextid=LQQJ4d,"-16.22121,-72.4710855",,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJzb61y9jFQZERVE6xlXcZOTM,https://www.google.com/maps/place/?q=place_id:ChIJzb61y9jFQZERVE6xlXcZOTM,Polleria El Pollo Loko,Restaurante,Av. 3 de Abril Mz B Lt 8 Aplao,(054) 471300,+51 54 471300,,,"-16.0781895,-72.4906324",3.7,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJF3WCHABLQpERtQUGwU6WUBQ,https://www.google.com/maps/place/?q=place_id:ChIJF3WCHABLQpERtQUGwU6WUBQ,La Francisca Pollería Criolla,Chiringuito,"Cl. San Francisco 139, Arequipa 04001",,,,,"-16.3975576,-71.53590369999999",3.1,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
ChIJEfKSRKxLQpER6AkWjBweb6I,https://www.google.com/maps/place/?q=place_id:ChIJEfKSRKxLQpER6AkWjBweb6I,Pollería,Restaurante,"Av. Mariscal Castilla 1805, Paucarpata 04002",983 114 270,+51 983 114 270,facebook.com,https://www.facebook.com/Sfaamivida,"-16.4104636,-71.5046874",3.5,,"Pollería en el distrito de Uraca, Castilla, Arequipa, Perú"
