id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJXYEAi0LFaZERm0-Qf3RsfX4,https://www.google.com/maps/place/?q=place_id:ChIJXYEAi0LFaZERm0-Qf3RsfX4,POLLERIA FOGON DEL COLCA,Restaurante,"FHV4+7CR, Carr. de Callalli, Callalli 04180",965 179 115,+51 965 179 115,,,"-15.506757599999998,-71.4439952",5,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJOU8kDNWFaZERX9vWX51lbJk,https://www.google.com/maps/place/?q=place_id:ChIJOU8kDNWFaZERX9vWX51lbJk,Pollería Wuallpa K' Caspa,Restaurante familiar,"Calle Progreso s/n, Callalli 04190",943 640 973,+51 943 640 973,,,"-15.5064706,-71.4438102",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJHbVqSVnFaZERe99uiXkpfZs,https://www.google.com/maps/place/?q=place_id:ChIJHbVqSVnFaZERe99uiXkpfZs,Pollería Virgen Santa Ursula,Tienda de aves de corral,"FHV4+G2H, Unnamed Road, Callalli 04180",,,,,"-15.506198999999999,-71.4448761",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJXYEAi0LFaZERm0-Qf3RsfX4,https://www.google.com/maps/place/?q=place_id:ChIJXYEAi0LFaZERm0-Qf3RsfX4,POLLERIA FOGON DEL COLCA,Restaurante,"FHV4+7CR, Carr. de Callalli, Callalli 04180",965 179 115,+51 965 179 115,,,"-15.506757599999998,-71.4439952",5,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJOU8kDNWFaZERX9vWX51lbJk,https://www.google.com/maps/place/?q=place_id:ChIJOU8kDNWFaZERX9vWX51lbJk,Pollería Wuallpa K' Caspa,Restaurante familiar,"Calle Progreso s/n, Callalli 04190",943 640 973,+51 943 640 973,,,"-15.5064706,-71.4438102",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJHbVqSVnFaZERe99uiXkpfZs,https://www.google.com/maps/place/?q=place_id:ChIJHbVqSVnFaZERe99uiXkpfZs,Pollería Virgen Santa Ursula,Tienda de aves de corral,"FHV4+G2H, Unnamed Road, Callalli 04180",,,,,"-15.506198999999999,-71.4448761",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJXYEAi0LFaZERm0-Qf3RsfX4,https://www.google.com/maps/place/?q=place_id:ChIJXYEAi0LFaZERm0-Qf3RsfX4,POLLERIA FOGON DEL COLCA,Restaurante,"FHV4+7CR, Carr. de Callalli, Callalli 04180",965 179 115,+51 965 179 115,,,"-15.506757599999998,-71.4439952",5,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJOU8kDNWFaZERX9vWX51lbJk,https://www.google.com/maps/place/?q=place_id:ChIJOU8kDNWFaZERX9vWX51lbJk,Pollería Wuallpa K' Caspa,Restaurante familiar,"Calle Progreso s/n, Callalli 04190",943 640 973,+51 943 640 973,,,"-15.5064706,-71.4438102",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJHbVqSVnFaZERe99uiXkpfZs,https://www.google.com/maps/place/?q=place_id:ChIJHbVqSVnFaZERe99uiXkpfZs,Pollería Virgen Santa Ursula,Tienda de aves de corral,"FHV4+G2H, Unnamed Road, Callalli 04180",,,,,"-15.506198999999999,-71.4448761",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJXYEAi0LFaZERm0-Qf3RsfX4,https://www.google.com/maps/place/?q=place_id:ChIJXYEAi0LFaZERm0-Qf3RsfX4,POLLERIA FOGON DEL COLCA,Restaurante,"FHV4+7CR, Carr. de Callalli, Callalli 04180",965 179 115,+51 965 179 115,,,"-15.506757599999998,-71.4439952",5,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJOU8kDNWFaZERX9vWX51lbJk,https://www.google.com/maps/place/?q=place_id:ChIJOU8kDNWFaZERX9vWX51lbJk,Pollería Wuallpa K' Caspa,Restaurante familiar,"Calle Progreso s/n, Callalli 04190",943 640 973,+51 943 640 973,,,"-15.5064706,-71.4438102",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJHbVqSVnFaZERe99uiXkpfZs,https://www.google.com/maps/place/?q=place_id:ChIJHbVqSVnFaZERe99uiXkpfZs,Pollería Virgen Santa Ursula,Tienda de aves de corral,"FHV4+G2H, Unnamed Road, Callalli 04180",,,,,"-15.506198999999999,-71.4448761",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJXYEAi0LFaZERm0-Qf3RsfX4,https://www.google.com/maps/place/?q=place_id:ChIJXYEAi0LFaZERm0-Qf3RsfX4,POLLERIA FOGON DEL COLCA,Restaurante,"FHV4+7CR, Carr. de Callalli, Callalli 04180",965 179 115,+51 965 179 115,,,"-15.506757599999998,-71.4439952",5,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJOU8kDNWFaZERX9vWX51lbJk,https://www.google.com/maps/place/?q=place_id:ChIJOU8kDNWFaZERX9vWX51lbJk,Pollería Wuallpa K' Caspa,Restaurante familiar,"Calle Progreso s/n, Callalli 04190",943 640 973,+51 943 640 973,,,"-15.5064706,-71.4438102",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
ChIJHbVqSVnFaZERe99uiXkpfZs,https://www.google.com/maps/place/?q=place_id:ChIJHbVqSVnFaZERe99uiXkpfZs,Pollería Virgen Santa Ursula,Tienda de aves de corral,"FHV4+G2H, Unnamed Road, Callalli 04180",,,,,"-15.506198999999999,-71.4448761",,,"Pollería en el distrito de Callalli, Caylloma, Arequipa, Perú"
