id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJYxG4FXjVQZER-4pPe_o-WuQ,https://www.google.com/maps/place/?q=place_id:ChIJYxG4FXjVQZER-4pPe_o-WuQ,restaurante polleria el Kalacunco,Restaurante,Chuquibamba 04710,926 108 418,+51 926 108 418,,,"-15.8393342,-72.6521705",,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
ChIJSRiObwDVQZERGWcJFsDaWlg,https://www.google.com/maps/place/?q=place_id:ChIJSRiObwDVQZERGWcJFsDaWlg,R.POLLERÍA “LA QUINTA”,Tienda de aves de corral,"586W+4PV, Chuquibamba 04710",,,,,"-15.839641799999999,-72.6531925",4.2,,"Pollería en el distrito de Chuquibamba, Condesuyos, Arequipa, Perú"
