id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJpZth1An6Q5ER21Gc2gzVolQ,https://www.google.com/maps/place/?q=place_id:ChIJpZth1An6Q5ER21Gc2gzVolQ,Pollos y Parrillas El Arriero,Restaurante especializado en pollo,"Av. Libertad 524, Cocachacra 04430",(054) 294203,+51 54 294203,,,"-17.090951699999998,-71.7624196",3.9,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJT0_BUQj6Q5ERmmbt4JtT_84,https://www.google.com/maps/place/?q=place_id:ChIJT0_BUQj6Q5ERmmbt4JtT_84,Polleria EL POLLON,Restaurante,"Dean Valdivia 819, Cocachacra 04431",958 314 177,+51 958 314 177,,,"-17.0914082,-71.76372839999999",3.1,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJSYejUQDxQ5ERLl0_b_8HNEo,https://www.google.com/maps/place/?q=place_id:ChIJSYejUQDxQ5ERLl0_b_8HNEo,Restaurant pollería el sabroso,Restaurante especializado en pollo,"Av. Libertad 325, Cocachacra 04430",,,,,"-17.0902071,-71.7607769",2.5,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJqer8FQD7Q5ER_dev8m-ikBY,https://www.google.com/maps/place/?q=place_id:ChIJqer8FQD7Q5ER_dev8m-ikBY,Pollería alas doradas,Restaurante especializado en pollo,"W64H+9RX, Av. Progreso, 1455Cocachacra 04431",,,,,"-17.0940132,-71.77038759999999",3,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJB5BIVwD7Q5ERXWQo_TsJ3qw,https://www.google.com/maps/place/?q=place_id:ChIJB5BIVwD7Q5ERXWQo_TsJ3qw,Restaurant pollería son de alas,Restaurante especializado en pollo,"Tacna 637, Cocachacra 04431",,,,,"-17.0910132,-71.76405",,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJSQ27CAD7Q5ERr5GzTZwdWNk,https://www.google.com/maps/place/?q=place_id:ChIJSQ27CAD7Q5ERr5GzTZwdWNk,pollería y Bros tería,Restaurante especializado en pollo,"Av. Progreso 1542 B, Cocachacra 04431",,,,,"-17.094151399999998,-71.7711449",,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJX6gqZQDxQ5ERlhV9ubpASvM,https://www.google.com/maps/place/?q=place_id:ChIJX6gqZQDxQ5ERlhV9ubpASvM,El gordito 3 pollos A la brasa,Restaurante especializado en pollo,"Dean Valdivia 525, Cocachacra 04430",,,,,"-17.0905004,-71.762028",1,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJNR3xCADxQ5ERjxEMz0_NMkU,https://www.google.com/maps/place/?q=place_id:ChIJNR3xCADxQ5ERjxEMz0_NMkU,Broasteria El Progreso,Restaurante especializado en pollo,"Av. Progreso 331, Cocachacra 04430",,,,,"-17.0886343,-71.7610701",,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJE9RcsgTxQ5ERbpJcd6La4d4,https://www.google.com/maps/place/?q=place_id:ChIJE9RcsgTxQ5ERbpJcd6La4d4,"Restaurant Polleria "" El salvador""",Restaurante especializado en pollo,"Av.libertad 342_cocachacra, Av. Libertad 336, Cocachacra",980 069 554,+51 980 069 554,,,"-17.0902882,-71.7611893",3.5,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJCfBCfgD7Q5ERG0SwXyAfB5s,https://www.google.com/maps/place/?q=place_id:ChIJCfBCfgD7Q5ERG0SwXyAfB5s,Polleria y parrillas brasas y carbón,Restaurante,"W65H+695 tercera cuadra, Jirón Alfonso Ugarte, Cocachacra 04431",,,,,"-17.0919834,-71.7715097",,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
ChIJ6WtHdwDxQ5ERdr08DoBh3ks,https://www.google.com/maps/place/?q=place_id:ChIJ6WtHdwDxQ5ERdr08DoBh3ks,"Restaurant, pollería y eventos “CAPRICHO TAMBEÑO”",Restaurante,"Dean Valdivia 430, Cocachacra 04430",,,,,"-17.0897842,-71.7612357",3,,"Pollería en el distrito de Cocachacra, Islay, Arequipa, Perú"
