id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJVaTmhsIlqZERrkvizV_lva8,https://www.google.com/maps/place/?q=place_id:ChIJVaTmhsIlqZERrkvizV_lva8,Pizzeria chacas,Restaurante,"Jr. Lima, Chacas 02315",910 426 744,+51 910 426 744,pizzeriachacas.pe,http://www.pizzeriachacas.pe/,"-9.1615757,-77.3656888",4.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJxUPmaUeCDZERXJbz9iJg6Qw,https://www.google.com/maps/place/?q=place_id:ChIJxUPmaUeCDZERXJbz9iJg6Qw,Rincón Pizzero,Restaurante,"Av Gervacio Santillana 142, Huanta 05121",999 973 691,+51 999 973 691,,,"-12.940155299999999,-74.2488",4,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJG4jjGbSDDZERthvgSW2yGm8,https://www.google.com/maps/place/?q=place_id:ChIJG4jjGbSDDZERthvgSW2yGm8,Deli Pizza,Pizzería,"Jr. Oswaldo N. Regal Casa 120, Huanta 05121",956 242 946,+51 956 242 946,delipizza.ueniweb.com,https://delipizza.ueniweb.com/?utm_campaign=gmb,"-12.937725499999999,-74.25236199999999",5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJo7DZm9SDDZERlIbfHYJQxws,https://www.google.com/maps/place/?q=place_id:ChIJo7DZm9SDDZERlIbfHYJQxws,PIZZERIA,Pizzería,"3P4X+WP3, Jr. Garcilazo de La Vega, Huanta 05121",,,,,"-12.9427401,-74.25068999999999",,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJdw3rC0glqZERg5hHhDXGrfo,https://www.google.com/maps/place/?q=place_id:ChIJdw3rC0glqZERg5hHhDXGrfo,Pizzeria San Francisco,Pizzería,Chacas 02315,,,,,"-9.1627037,-77.3662484",4.6,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
ChIJH6dg6keCDZERBX9YIFeaP6o,https://www.google.com/maps/place/?q=place_id:ChIJH6dg6keCDZERBX9YIFeaP6o,Toto´s Pizza,Pizzería,"Av Gervacio Santillana 252, Huanta 05121",(066) 402104,+51 66 402104,,,"-12.9399967,-74.25188179999999",3.5,,"Pizzería en el distrito de Chaca, Huanta, Ayacucho, Perú"
