id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJM2bQFW3JBZERRJSN9TvShbY,https://www.google.com/maps/place/?q=place_id:ChIJM2bQFW3JBZERRJSN9TvShbY,Villa Chicken,Restaurante especializado en pollo,"Av. La Mar 2251, San Miguel 15088",(01) 5008800,+51 1 5008800,villachicken.com.pe,http://www.villachicken.com.pe/,"-12.074995,-77.0810599",4.2,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJc5t9RABjDZER3P9U6bIHMRM,https://www.google.com/maps/place/?q=place_id:ChIJc5t9RABjDZER3P9U6bIHMRM,"Polleria chiferia ""EL REY""",Restaurante,"Jirón Mariscal Antonio José de Sucre Mz.G1 - Lt.1, San Miguel 05251",,,,,"-13.0129782,-73.9810758",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJs-MrLABjDZER0GQMN-cAqzM,https://www.google.com/maps/place/?q=place_id:ChIJs-MrLABjDZER0GQMN-cAqzM,Pollería Cesia,Restaurante chino,"X2P9+RMJ, San Miguel 05251",,,,,"-13.012917799999999,-73.9808482",4,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJLR3A1PWdEpERl-cykx9xCFo,https://www.google.com/maps/place/?q=place_id:ChIJLR3A1PWdEpERl-cykx9xCFo,San Miguel,,05250,,,,,"-13.015373799999999,-74.006509",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJaXJwcr9jDZERpGwfwFuXts8,https://www.google.com/maps/place/?q=place_id:ChIJaXJwcr9jDZERpGwfwFuXts8,Polleria La Retama,Restaurante especializado en pollo,"X2Q9+GHF, San Miguel 05251",,,,,"-13.0110504,-73.9812022",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJnxGVRnuHEpERZcH0U1r3mPQ,https://www.google.com/maps/place/?q=place_id:ChIJnxGVRnuHEpERZcH0U1r3mPQ,Pollería Moly,Restaurante,"Jirón Micaela Bastidas N°595, Ayacucho 05002",966 901 934,+51 966 901 934,facebook.com,https://www.facebook.com/POLLERIAMOLY/,"-13.1659121,-74.2162443",3.9,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJg5EG7bLJBZERT-xlgeOK7tc,https://www.google.com/maps/place/?q=place_id:ChIJg5EG7bLJBZERT-xlgeOK7tc,Majosh Chicken Pollos Y Parilla,Restaurante,"Av. Libertad 1532, San Miguel 15087",962 170 435,+51 962 170 435,,,"-12.0826994,-77.09618429999999",4.6,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJ5Zml53HJBZERpHbaxHlEKys,https://www.google.com/maps/place/?q=place_id:ChIJ5Zml53HJBZERpHbaxHlEKys,Caravana,Restaurante especializado en pollo,"Av. de la Marina 2258, San Miguel 15088",940 375 433,+51 940 375 433,caravana.pe,http://www.caravana.pe/,"-12.0776188,-77.08590439999999",4,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJp0uPsinLBZER3_H7g-YnQj4,https://www.google.com/maps/place/?q=place_id:ChIJp0uPsinLBZER3_H7g-YnQj4,Brasas San Miguel,Restaurante peruano,"Av. de la Marina 845, La Perla 07016",964 820 532,+51 964 820 532,,,"-12.069269799999999,-77.1127791",3,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJv2IKXACHEpERdjc_bm6boms,https://www.google.com/maps/place/?q=place_id:ChIJv2IKXACHEpERdjc_bm6boms,Leña & Carbón,Restaurante,"Av. Cusco 335, Ayacucho 05002",,,pide.getjusto.com,https://pide.getjusto.com/order/zk3q6Kf4f9oH6gr6g?rwg_token=ACgRB3fxrEbZVGYZ8cB3UgaAKeM_WgaeiNg0XTP64BmmSS_8Q0TCnlvXEimCbb_tzbCaogWU7yOZF4E4xCCXNDqJywe5QG9VpyKNwRreXk5GwISAf3LNyFI%3D,"-13.1686993,-74.21150779999999",3.9,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJI9_TA_N9EpERI09W1ZbqTOM,https://www.google.com/maps/place/?q=place_id:ChIJI9_TA_N9EpERI09W1ZbqTOM,Leña & Carbón,Restaurante,"Jirón Lima 107, Ayacucho 05003",(066) 631574,+51 66 631574,lenaycarbon.com,http://lenaycarbon.com/,"-13.1608281,-74.22663519999999",3.8,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJC0ghBPN9EpER1lH9xIkqEXg,https://www.google.com/maps/place/?q=place_id:ChIJC0ghBPN9EpER1lH9xIkqEXg,Las Tinajas,Restaurante peruano,"Portal Independencia 65, Ayacucho 05003",(066) 310128,+51 66 310128,,,"-13.1610412,-74.22604009999999",3.9,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJaTKovuBjDZERTAoR7C9Kvr0,https://www.google.com/maps/place/?q=place_id:ChIJaTKovuBjDZERTAoR7C9Kvr0,Blady Burger,Restaurante,"Ayacucho 102, San Miguel 05251",966 820 061,+51 966 820 061,,,"-13.012464699999999,-73.979052",4.1,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJ5XMRlC9jDZER2fiO2aA4Ibw,https://www.google.com/maps/place/?q=place_id:ChIJ5XMRlC9jDZER2fiO2aA4Ibw,la casa de sabores - polleria y heladeria,Restaurante especializado en pollo,"plaza de armas 003, 05250",988 773 021,+51 988 773 021,,,"-13.012870399999999,-73.98081619999999",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJH1GyCgBlDZERSAY-_Srwbzk,https://www.google.com/maps/place/?q=place_id:ChIJH1GyCgBlDZERSAY-_Srwbzk,Pollería D'LIZ,Restaurante especializado en pollo,"3X2H+VVP, Tambo 05201",933 116 129,+51 933 116 129,,,"-12.947792399999999,-74.0203023",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJM2bQFW3JBZERRJSN9TvShbY,https://www.google.com/maps/place/?q=place_id:ChIJM2bQFW3JBZERRJSN9TvShbY,Villa Chicken,Restaurante especializado en pollo,"Av. La Mar 2251, San Miguel 15088",(01) 5008800,+51 1 5008800,villachicken.com.pe,http://www.villachicken.com.pe/,"-12.074995,-77.0810599",4.2,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJc5t9RABjDZER3P9U6bIHMRM,https://www.google.com/maps/place/?q=place_id:ChIJc5t9RABjDZER3P9U6bIHMRM,"Polleria chiferia ""EL REY""",Restaurante,"Jirón Mariscal Antonio José de Sucre Mz.G1 - Lt.1, San Miguel 05251",,,,,"-13.0129782,-73.9810758",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJs-MrLABjDZER0GQMN-cAqzM,https://www.google.com/maps/place/?q=place_id:ChIJs-MrLABjDZER0GQMN-cAqzM,Pollería Cesia,Restaurante chino,"X2P9+RMJ, San Miguel 05251",,,,,"-13.012917799999999,-73.9808482",4,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJLR3A1PWdEpERl-cykx9xCFo,https://www.google.com/maps/place/?q=place_id:ChIJLR3A1PWdEpERl-cykx9xCFo,San Miguel,,05250,,,,,"-13.015373799999999,-74.006509",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJaXJwcr9jDZERpGwfwFuXts8,https://www.google.com/maps/place/?q=place_id:ChIJaXJwcr9jDZERpGwfwFuXts8,Polleria La Retama,Restaurante especializado en pollo,"X2Q9+GHF, San Miguel 05251",,,,,"-13.0110504,-73.9812022",,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJnxGVRnuHEpERZcH0U1r3mPQ,https://www.google.com/maps/place/?q=place_id:ChIJnxGVRnuHEpERZcH0U1r3mPQ,Pollería Moly,Restaurante,"Jirón Micaela Bastidas N°595, Ayacucho 05002",966 901 934,+51 966 901 934,facebook.com,https://www.facebook.com/POLLERIAMOLY/,"-13.1659121,-74.2162443",3.9,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJg5EG7bLJBZERT-xlgeOK7tc,https://www.google.com/maps/place/?q=place_id:ChIJg5EG7bLJBZERT-xlgeOK7tc,Majosh Chicken Pollos Y Parilla,Restaurante,"Av. Libertad 1532, San Miguel 15087",962 170 435,+51 962 170 435,,,"-12.0826994,-77.09618429999999",4.6,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de San Miguel, La Mar, Ayacucho, Perú"
