id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJ6ellZgBHDZERckZ2vXldELg,https://www.google.com/maps/place/?q=place_id:ChIJ6ellZgBHDZERckZ2vXldELg,POLLERÍA EL GRINGO,Restaurante especializado en pollo,"8778+M3J, Apurimac, Santa Rosa 05241",,,,,"-12.685786499999999,-73.73485889999999",4,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJg_RQ5eFHDZER4V7iRrreeyA,https://www.google.com/maps/place/?q=place_id:ChIJg_RQ5eFHDZER4V7iRrreeyA,Polleria tullpa,Restaurante,"05001, Santa Rosa 05001",962 765 833,+51 962 765 833,,,"-12.688966299999999,-73.7361456",,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJ6ellZgBHDZERckZ2vXldELg,https://www.google.com/maps/place/?q=place_id:ChIJ6ellZgBHDZERckZ2vXldELg,POLLERÍA EL GRINGO,Restaurante especializado en pollo,"8778+M3J, Apurimac, Santa Rosa 05241",,,,,"-12.685786499999999,-73.73485889999999",4,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJg_RQ5eFHDZER4V7iRrreeyA,https://www.google.com/maps/place/?q=place_id:ChIJg_RQ5eFHDZER4V7iRrreeyA,Polleria tullpa,Restaurante,"05001, Santa Rosa 05001",962 765 833,+51 962 765 833,,,"-12.688966299999999,-73.7361456",,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJ6ellZgBHDZERckZ2vXldELg,https://www.google.com/maps/place/?q=place_id:ChIJ6ellZgBHDZERckZ2vXldELg,POLLERÍA EL GRINGO,Restaurante especializado en pollo,"8778+M3J, Apurimac, Santa Rosa 05241",,,,,"-12.685786499999999,-73.73485889999999",4,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJg_RQ5eFHDZER4V7iRrreeyA,https://www.google.com/maps/place/?q=place_id:ChIJg_RQ5eFHDZER4V7iRrreeyA,Polleria tullpa,Restaurante,"05001, Santa Rosa 05001",962 765 833,+51 962 765 833,,,"-12.688966299999999,-73.7361456",,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Santa Rosa, La Mar, Ayacucho, Perú"
