id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJDZjiYQCfs5ERft9yOrJsyhI,https://www.google.com/maps/place/?q=place_id:ChIJDZjiYQCfs5ERft9yOrJsyhI,Fifty Fifty,Pizzería,"Av Inca Garcilazo de la Vega 449, Chota 06121",,,,,"-6.5614061,-78.6525692",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJM3G_CgCfs5ERHFNW7o1j6Hc,https://www.google.com/maps/place/?q=place_id:ChIJM3G_CgCfs5ERHFNW7o1j6Hc,Alyeri Pizza,Pizzería,"Ezequiel, Exequiel Montoya 131, Chota 06121",,,,,"-6.5634276,-78.6494014",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJDZjiYQCfs5ERft9yOrJsyhI,https://www.google.com/maps/place/?q=place_id:ChIJDZjiYQCfs5ERft9yOrJsyhI,Fifty Fifty,Pizzería,"Av Inca Garcilazo de la Vega 449, Chota 06121",,,,,"-6.5614061,-78.6525692",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJM3G_CgCfs5ERHFNW7o1j6Hc,https://www.google.com/maps/place/?q=place_id:ChIJM3G_CgCfs5ERHFNW7o1j6Hc,Alyeri Pizza,Pizzería,"Ezequiel, Exequiel Montoya 131, Chota 06121",,,,,"-6.5634276,-78.6494014",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJDZjiYQCfs5ERft9yOrJsyhI,https://www.google.com/maps/place/?q=place_id:ChIJDZjiYQCfs5ERft9yOrJsyhI,Fifty Fifty,Pizzería,"Av Inca Garcilazo de la Vega 449, Chota 06121",,,,,"-6.5614061,-78.6525692",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJM3G_CgCfs5ERHFNW7o1j6Hc,https://www.google.com/maps/place/?q=place_id:ChIJM3G_CgCfs5ERHFNW7o1j6Hc,Alyeri Pizza,Pizzería,"Ezequiel, Exequiel Montoya 131, Chota 06121",,,,,"-6.5634276,-78.6494014",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJDZjiYQCfs5ERft9yOrJsyhI,https://www.google.com/maps/place/?q=place_id:ChIJDZjiYQCfs5ERft9yOrJsyhI,Fifty Fifty,Pizzería,"Av Inca Garcilazo de la Vega 449, Chota 06121",,,,,"-6.5614061,-78.6525692",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJM3G_CgCfs5ERHFNW7o1j6Hc,https://www.google.com/maps/place/?q=place_id:ChIJM3G_CgCfs5ERHFNW7o1j6Hc,Alyeri Pizza,Pizzería,"Ezequiel, Exequiel Montoya 131, Chota 06121",,,,,"-6.5634276,-78.6494014",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJDZjiYQCfs5ERft9yOrJsyhI,https://www.google.com/maps/place/?q=place_id:ChIJDZjiYQCfs5ERft9yOrJsyhI,Fifty Fifty,Pizzería,"Av Inca Garcilazo de la Vega 449, Chota 06121",,,,,"-6.5614061,-78.6525692",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJM3G_CgCfs5ERHFNW7o1j6Hc,https://www.google.com/maps/place/?q=place_id:ChIJM3G_CgCfs5ERHFNW7o1j6Hc,Alyeri Pizza,Pizzería,"Ezequiel, Exequiel Montoya 131, Chota 06121",,,,,"-6.5634276,-78.6494014",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJDZjiYQCfs5ERft9yOrJsyhI,https://www.google.com/maps/place/?q=place_id:ChIJDZjiYQCfs5ERft9yOrJsyhI,Fifty Fifty,Pizzería,"Av Inca Garcilazo de la Vega 449, Chota 06121",,,,,"-6.5614061,-78.6525692",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJM3G_CgCfs5ERHFNW7o1j6Hc,https://www.google.com/maps/place/?q=place_id:ChIJM3G_CgCfs5ERHFNW7o1j6Hc,Alyeri Pizza,Pizzería,"Ezequiel, Exequiel Montoya 131, Chota 06121",,,,,"-6.5634276,-78.6494014",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJDZjiYQCfs5ERft9yOrJsyhI,https://www.google.com/maps/place/?q=place_id:ChIJDZjiYQCfs5ERft9yOrJsyhI,Fifty Fifty,Pizzería,"Av Inca Garcilazo de la Vega 449, Chota 06121",,,,,"-6.5614061,-78.6525692",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJM3G_CgCfs5ERHFNW7o1j6Hc,https://www.google.com/maps/place/?q=place_id:ChIJM3G_CgCfs5ERHFNW7o1j6Hc,Alyeri Pizza,Pizzería,"Ezequiel, Exequiel Montoya 131, Chota 06121",,,,,"-6.5634276,-78.6494014",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJaZbzMADNs5ERqCAwMmi_Nt8,https://www.google.com/maps/place/?q=place_id:ChIJaZbzMADNs5ERqCAwMmi_Nt8,Pizzería Ohana,Pizzería,"Ayacucho 400, Celendín 06225",,,,,"-6.8683540999999995,-78.14695809999999",5,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJQ7TUEyCSs5ERqlbU_5WbbEE,https://www.google.com/maps/place/?q=place_id:ChIJQ7TUEyCSs5ERqlbU_5WbbEE,Chadín,,06155,,,,,"-6.4711662,-78.4192163",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJNUzEXABbspERIQBXBLeh4m4,https://www.google.com/maps/place/?q=place_id:ChIJNUzEXABbspERIQBXBLeh4m4,OHANA's PIZZAS CAJAMARCA,Pizzería,"Delfín Cerna 142, Cajamarca 06002",,,,,"-7.1516192,-78.5108176",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
ChIJk4yUSwCfs5ER5FrnmeKLjS0,https://www.google.com/maps/place/?q=place_id:ChIJk4yUSwCfs5ER5FrnmeKLjS0,Happy Pizza,Pizza para llevar,"Jr. 30 de Agosto 496, Chota 06121",,,,,"-6.561229699999999,-78.6497385",,,"Pizzería en el distrito de Chadin, Chota, Cajamarca, Perú"
