id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJJ58ZGwCBtJERYRWmfXicFsI,https://www.google.com/maps/place/?q=place_id:ChIJJ58ZGwCBtJERYRWmfXicFsI,Restaurant polleria Danimar,Restaurante,"Q76Q+746, Av. Salomón Vilchez Murga, Distrito de San Andrés de Cutervo 06756",,,,,"-6.239340599999999,-78.71223049999999",,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJe3l7XAB7s5ER0SNOatJcvwU,https://www.google.com/maps/place/?q=place_id:ChIJe3l7XAB7s5ER0SNOatJcvwU,POLLERÍA GONZÁLES,Tienda de aves de corral,"J5CM+W43, Jr. Benjamín Duble, Cutervo 06701",948 578 548,+51 948 578 548,,,"-6.3777795,-78.8171954",3,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJfQ9zGHx7s5ERmdJa1qqRj6I,https://www.google.com/maps/place/?q=place_id:ChIJfQ9zGHx7s5ERmdJa1qqRj6I,Chifa Pollería El Especialista,Restaurante de fusión,"Jiron Comercio 865, Cutervo 06701",927 715 934,+51 927 715 934,,,"-6.3806327,-78.8174049",3.9,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJh1cyEIl7s5ERbdLwyanrZ2Y,https://www.google.com/maps/place/?q=place_id:ChIJh1cyEIl7s5ERbdLwyanrZ2Y,"""EL SÚPER POLLÓN CUTERVINO""",Tienda de aves de corral,"J5CM+M4G, Cutervo 06701",,,,,"-6.3783243,-78.8171596",,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJ-cwnMV17s5ER93CdnYPJlkI,https://www.google.com/maps/place/?q=place_id:ChIJ-cwnMV17s5ER93CdnYPJlkI,Chifa Delirios,Restaurante,"Jiron Comercio 871, Cutervo 06701",939 360 553,+51 939 360 553,,,"-6.3807312,-78.81742559999999",3.7,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJJ58ZGwCBtJERYRWmfXicFsI,https://www.google.com/maps/place/?q=place_id:ChIJJ58ZGwCBtJERYRWmfXicFsI,Restaurant polleria Danimar,Restaurante,"Q76Q+746, Av. Salomón Vilchez Murga, Distrito de San Andrés de Cutervo 06756",,,,,"-6.239340599999999,-78.71223049999999",,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de San Andrés de Cutervo, Cutervo, Cajamarca, Perú"
