id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJmxWmZwBztZER2jzf9tbTm-E,https://www.google.com/maps/place/?q=place_id:ChIJmxWmZwBztZER2jzf9tbTm-E,Huarango 06861,Pollería,"P6HG+JPG, Huarango 06861",956 018 868,+51 956 018 868,,,"-5.2709459999999995,-78.7731676",,,"Pollería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJ22zy4stptZERiidtGv4Ron4,https://www.google.com/maps/place/?q=place_id:ChIJ22zy4stptZERiidtGv4Ron4,Mr.Pollo,Pollería,"51, San Ignacio 06846",916 448 554,+51 916 448 554,,,"-5.1463006,-79.00084269999999",4.6,,"Pollería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJmxWmZwBztZER2jzf9tbTm-E,https://www.google.com/maps/place/?q=place_id:ChIJmxWmZwBztZER2jzf9tbTm-E,Huarango 06861,Pollería,"P6HG+JPG, Huarango 06861",956 018 868,+51 956 018 868,,,"-5.2709459999999995,-78.7731676",,,"Pollería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJ22zy4stptZERiidtGv4Ron4,https://www.google.com/maps/place/?q=place_id:ChIJ22zy4stptZERiidtGv4Ron4,Mr.Pollo,Pollería,"51, San Ignacio 06846",916 448 554,+51 916 448 554,,,"-5.1463006,-79.00084269999999",4.6,,"Pollería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJmxWmZwBztZER2jzf9tbTm-E,https://www.google.com/maps/place/?q=place_id:ChIJmxWmZwBztZER2jzf9tbTm-E,Huarango 06861,Pollería,"P6HG+JPG, Huarango 06861",956 018 868,+51 956 018 868,,,"-5.2709459999999995,-78.7731676",,,"Pollería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJ22zy4stptZERiidtGv4Ron4,https://www.google.com/maps/place/?q=place_id:ChIJ22zy4stptZERiidtGv4Ron4,Mr.Pollo,Pollería,"51, San Ignacio 06846",916 448 554,+51 916 448 554,,,"-5.1463006,-79.00084269999999",4.6,,"Pollería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJ6Ts0ga9ptZERVnFGj-yoHAg,https://www.google.com/maps/place/?q=place_id:ChIJ6Ts0ga9ptZERVnFGj-yoHAg,Cevichería Solar Marino,Restaurante,"Jr. Villanueva Pinillos 140, San Ignacio 06846",,,,,"-5.1457331,-79.000883",4,,"Cevichería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJ9dzL3ENztZERvkN3lhEYeUM,https://www.google.com/maps/place/?q=place_id:ChIJ9dzL3ENztZERvkN3lhEYeUM,Restaurant cevicheria - La Rueda,Restaurante,"123, Huarango 01234",955 915 930,+51 955 915 930,,,"-5.2730279,-78.77754259999999",5,,"Cevichería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJGR-8z39ztZERN4iV0XCsUhQ,https://www.google.com/maps/place/?q=place_id:ChIJGR-8z39ztZERN4iV0XCsUhQ,CEVICHERIA TITERITO,Restaurante,"P6HF+9VX, Huarango 06861",,,,,"-5.2715201,-78.7752613",,,"Cevichería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
ChIJ6Ts0ga9ptZERVnFGj-yoHAg,https://www.google.com/maps/place/?q=place_id:ChIJ6Ts0ga9ptZERVnFGj-yoHAg,Cevichería Solar Marino,Restaurante,"Jr. Villanueva Pinillos 140, San Ignacio 06846",,,,,"-5.1457331,-79.000883",4,,"Cevichería en el distrito de Huarango, San Ignacio, Cajamarca, Perú"
