id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJTR6TZADjspERJY3Y1DCbAN4,https://www.google.com/maps/place/?q=place_id:ChIJTR6TZADjspERJY3Y1DCbAN4,MR. PECHUGÓN,Restaurante especializado en pollo,"X4XW+CVV, San Miguel de Pallaques 06456",,,,,"-7.001384799999999,-78.8528243",,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJEckqe97jspERN1tKs4Vk3co,https://www.google.com/maps/place/?q=place_id:ChIJEckqe97jspERN1tKs4Vk3co,Polleria Chicken Wings Plaza,Restaurante,"Jr. Pedro Novoa 327, San Miguel de Pallaques 06456",,,,,"-7.0003443999999995,-78.851867",4.3,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJJx_NWABbspERQeE02EfC6lQ,https://www.google.com/maps/place/?q=place_id:ChIJJx_NWABbspERQeE02EfC6lQ,Pollerías Capuli's Chicken,Restaurante especializado en pollo,"Av. La Paz 2360, Cajamarca 06003",,,,,"-7.182359399999999,-78.4980143",,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJr-PjcR5bspERJ9EifgLQez0,https://www.google.com/maps/place/?q=place_id:ChIJr-PjcR5bspERJ9EifgLQez0,El Buen Sabor,Restaurante,"Av. Vía de Evitamiento Sur 830, Cajamarca 06002",942 818 740,+51 942 818 740,elbuensaborcajacho.brainpos.pe,https://elbuensaborcajacho.brainpos.pe/menu/,"-7.1651092,-78.5029521",4,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJXe6qDO9aspERf85PP9YM7hY,https://www.google.com/maps/place/?q=place_id:ChIJXe6qDO9aspERf85PP9YM7hY,Polleria EL DORADO Open Plaza,Tienda de aves de corral,"RFXV+9HV, Cajamarca 06002",(076) 638773,+51 76 638773,,,"-7.151514199999999,-78.50608489999999",2.7,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJJcybtVb9spERXWaS0ew5KEE,https://www.google.com/maps/place/?q=place_id:ChIJJcybtVb9spERXWaS0ew5KEE,Polleria lozano,Tienda de aves de corral,"25MC+3CH, San Miguel de Pallaques 06455",,,,,"-6.9666413,-78.8297821",,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJq3VFNJlbspERwBInYKmXeqc,https://www.google.com/maps/place/?q=place_id:ChIJq3VFNJlbspERwBInYKmXeqc,El dorado pollos y parrillas.,Restaurante,"Jr.amazonas 909 Centro comercial Open plaza, Cajamarca 06000",923 671 813,+51 923 671 813,facebook.com,https://www.facebook.com/ElDoradoPollosYParrillas/,"-7.157764599999999,-78.5145122",3.8,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Calquis, San Miguel, Cajamarca, Perú"
