id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJp4nmYNY9rZERPKQfop0DKKg,https://www.google.com/maps/place/?q=place_id:ChIJp4nmYNY9rZERPKQfop0DKKg,D' Gilberth,Restaurante especializado en pollo,"WWFR+FXV, Cahuide, La Esperanza 13012",(044) 523594,+51 44 523594,,,"-8.076262999999999,-79.0575877",3.9,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJr-PjcR5bspERJ9EifgLQez0,https://www.google.com/maps/place/?q=place_id:ChIJr-PjcR5bspERJ9EifgLQez0,El Buen Sabor,Restaurante,"Av. Vía de Evitamiento Sur 830, Cajamarca 06002",942 818 740,+51 942 818 740,elbuensaborcajacho.brainpos.pe,https://elbuensaborcajacho.brainpos.pe/menu/,"-7.1651092,-78.5029521",4,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJOQoxxjw9rZERbxZX7TFJwfQ,https://www.google.com/maps/place/?q=place_id:ChIJOQoxxjw9rZERbxZX7TFJwfQ,Pollería Vicus,Restaurante,"Av. Gran Chimu 1273, La Esperanza 13012",949 958 787,+51 949 958 787,,,"-8.0801143,-79.0435227",4.6,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJ9waPyuMVs5EROdUiLlch2sw,https://www.google.com/maps/place/?q=place_id:ChIJ9waPyuMVs5EROdUiLlch2sw,"Pollería ""Don Pepe""",Restaurante,"93F4+9CQ, 21 de Abril, Santa Cruz",,,,,"-6.626549499999999,-78.943905",4.4,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJ-6GAlxo9rZERLVfCWkiYrXs,https://www.google.com/maps/place/?q=place_id:ChIJ-6GAlxo9rZERLVfCWkiYrXs,KIKES CHICKEN POLLERIA,Restaurante,"2, La Esperanza 13012",,,,,"-8.081946499999999,-79.0452426",4.1,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJ0YJo-9w9rZERbmgq0h-Dc7c,https://www.google.com/maps/place/?q=place_id:ChIJ0YJo-9w9rZERbmgq0h-Dc7c,Restaurant Polleria Susy,Restaurante,"Av. José Gabriel Condorcanqui 1097, La Esperanza 13012",970 057 862,+51 970 057 862,,,"-8.0820449,-79.0451697",4,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJL9Hu728-rZERBMiCpns9Ujg,https://www.google.com/maps/place/?q=place_id:ChIJL9Hu728-rZERBMiCpns9Ujg,Polleria KIKIRIKI,Tienda de aves de corral,"WWQW+5W7, La Esperanza 13013",996 065 547,+51 996 065 547,,,"-8.0620995,-79.0527054",4.4,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJd02fVqA_rZERqbdEqBWO40A,https://www.google.com/maps/place/?q=place_id:ChIJd02fVqA_rZERqbdEqBWO40A,Brasas Pollería _ Alitas,Restaurante,"Mz A22 Lt 14, La Esperanza 13013",934 906 695,+51 934 906 695,,,"-8.0714864,-79.06667569999999",3.7,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJnVEjhG8-rZERLA55F6ixTvM,https://www.google.com/maps/place/?q=place_id:ChIJnVEjhG8-rZERLA55F6ixTvM,Polleria Anto's,Tienda de aves de corral,"Av. José Gabriel Condorcanqui 53, La Esperanza 13014",966 430 409,+51 966 430 409,,,"-8.0606299,-79.0527024",4.1,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
ChIJUcf6S3g_rZERJz5rJJf_mW0,https://www.google.com/maps/place/?q=place_id:ChIJUcf6S3g_rZERJz5rJJf_mW0,Polleria,Restaurante,"6, La Esperanza 13012",,,,,"-8.0689067,-79.0476474",4,,"Pollería en el distrito de La Esperanza, Santa Cruz, Cajamarca, Perú"
