id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ97NIh4bLBZER4ScIrGTmHdc,https://www.google.com/maps/place/?q=place_id:ChIJ97NIh4bLBZER4ScIrGTmHdc,Leña y Carbón - La Perla,Restaurante especializado en pollo,"Av. Sta. Rosa 551, La Perla 07016",(01) 7390999,+51 1 7390999,lenaycarbon.com,http://www.lenaycarbon.com/,"-12.0699884,-77.1216357",4.4,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJn_GYSD7LBZERlAB00dGuDog,https://www.google.com/maps/place/?q=place_id:ChIJn_GYSD7LBZERlAB00dGuDog,Pollería Rolfy's,Restaurante especializado en pollo,"Av. Víctor Raúl Haya de la Torre 685, La Perla 07016",987 759 379,+51 987 759 379,,,"-12.0735878,-77.1118857",4.1,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJRXsoiNzLBZERLt8yoH9X4C0,https://www.google.com/maps/place/?q=place_id:ChIJRXsoiNzLBZERLt8yoH9X4C0,Pollería Joel,Restaurante,"Av. Víctor Raúl Haya de la Torre 486, La Perla 07016",(01) 4203477,+51 1 4203477,,,"-12.0716428,-77.11113399999999",3.8,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJsUmksN7LBZERq441hl4KOaA,https://www.google.com/maps/place/?q=place_id:ChIJsUmksN7LBZERq441hl4KOaA,Corralito Pollos y Parrillas,Pollería,"Av. de la Marina 876, La Perla 07016",973 911 793,+51 973 911 793,,,"-12.069317999999999,-77.11266499999999",4.3,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJ4X51GsnLBZERwm7w72dDcu4,https://www.google.com/maps/place/?q=place_id:ChIJ4X51GsnLBZERwm7w72dDcu4,CHALABRASA,Restaurante,"Av. José Gálvez 446, La Perla 07016",920 059 190,+51 920 059 190,,,"-12.0673256,-77.129318",4.3,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJ-dFNM93LBZEREJGtG7r1s9k,https://www.google.com/maps/place/?q=place_id:ChIJ-dFNM93LBZEREJGtG7r1s9k,Corralito - Pollos y Parrillas,Restaurante especializado en pollo,"Av. de la Marina N° 708, La Perla 15084",(01) 7141888,+51 1 7141888,,,"-12.0688187,-77.1139683",4.1,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJPQylq5DLBZERqSUOSfLhhCk,https://www.google.com/maps/place/?q=place_id:ChIJPQylq5DLBZERqSUOSfLhhCk,Berny's,Restaurante,"Av. José Gálvez 1380, La Perla 07016",914 456 014,+51 914 456 014,,,"-12.0662378,-77.1233967",4,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJ22OV4P_LBZERmYUqoCg35-o,https://www.google.com/maps/place/?q=place_id:ChIJ22OV4P_LBZERmYUqoCg35-o,"Restaurat Pollería ""El Dorado Callao""",Restaurante peruano,"Av. La Chalaca MZ E, Callao 07026",913 296 656,+51 913 296 656,,,"-12.045473099999999,-77.1029938",4,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJr5GGcW7LBZERTObb3MQT_SA,https://www.google.com/maps/place/?q=place_id:ChIJr5GGcW7LBZERTObb3MQT_SA,Polleria fusuon Leña y Sabor,Restaurante,"Av. los Insurgentes 913, La Perla 07011",(01) 4017648,+51 1 4017648,,,"-12.0655807,-77.1043612",3.9,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
ChIJh2Xok_XLBZERBuivYI_0zRk,https://www.google.com/maps/place/?q=place_id:ChIJh2Xok_XLBZERBuivYI_0zRk,Pollos & Parrillas Dely`s,Parrilla,"Av Saenz Peña 702, Callao 07021",(01) 4293409,+51 1 4293409,,,"-12.0603216,-77.13841819999999",3.9,,"Pollería en el distrito de La Perla, Prov. Const. del Callao, Callao, Perú"
