id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ9ZTH6BPLBZERrDmQPL8s_FI,https://www.google.com/maps/place/?q=place_id:ChIJ9ZTH6BPLBZERrDmQPL8s_FI,La Caleta De La Punta,Restaurante,"Malecón Pardo 180, La Punta 07021",999 560 333,+51 999 560 333,,,"-12.074181,-77.16457969999999",4.5,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJDxbNXxPLBZERNtzc3y8asdM,https://www.google.com/maps/place/?q=place_id:ChIJDxbNXxPLBZERNtzc3y8asdM,El Mirador,Restaurante,"WRHM+JJ4, Mal. Santiago Figueredo, La Punta 07021",952 639 842,+51 952 639 842,,,"-12.0709792,-77.1659225",4.4,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJ41MfOVHLBZERXaF1zSpXtNQ,https://www.google.com/maps/place/?q=place_id:ChIJ41MfOVHLBZERXaF1zSpXtNQ,Cevichería En Su Punto,Restaurante,"Gamarra 705, Callao 07021",,,,,"-12.0670793,-77.1572185",4,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJ5T8u4HLLBZERhFvaRlX8oMY,https://www.google.com/maps/place/?q=place_id:ChIJ5T8u4HLLBZERhFvaRlX8oMY,Rana La Punta,Restaurante,"Calle General Valle S/N La Punta - Callao - Dentro del Club Universitario de Reg, La Punta 07021",912 289 244,+51 912 289 244,ranalapunta.com,https://ranalapunta.com/,"-12.0665573,-77.1587218",4.1,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJYUnd5RPLBZERq_WUpR6Dd20,https://www.google.com/maps/place/?q=place_id:ChIJYUnd5RPLBZERq_WUpR6Dd20,DONDE YOLO Restaurante,Restaurante,"Malecón Pardo 180, La Punta 07021",986 252 496,+51 986 252 496,dondeyolo.com,http://www.dondeyolo.com/,"-12.0743864,-77.1647581",3.6,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJu0R05hPLBZER-gp_lN5qoDU,https://www.google.com/maps/place/?q=place_id:ChIJu0R05hPLBZER-gp_lN5qoDU,Restaurante Marina - La Punta,Restaurante,"Tda 9 Malecón Pardo, La Punta 07021",949 921 282,+51 949 921 282,instagram.com,https://www.instagram.com/restaurante_marina/,"-12.074394,-77.164678",3.7,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJq-5y7RPLBZERqvZGcdLGFSo,https://www.google.com/maps/place/?q=place_id:ChIJq-5y7RPLBZERqvZGcdLGFSo,Challwa,Restaurante,"Av. Miguel Grau 9, La Punta 07021",998 367 345,+51 998 367 345,,,"-12.073646499999999,-77.1651",3.4,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJMwhhtXfLBZERB1nJe1hFLFA,https://www.google.com/maps/place/?q=place_id:ChIJMwhhtXfLBZERB1nJe1hFLFA,Cabos Restaurante del Puerto Perú,Restaurante,"Jorge Chavez 120, Callao 07021",(01) 4657332,+51 1 4657332,cabosrestaurante.com,http://www.cabosrestaurante.com/,"-12.060279699999999,-77.1498709",4.4,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJxVAJ3hPLBZERPIbAE1Ts1iA,https://www.google.com/maps/place/?q=place_id:ChIJxVAJ3hPLBZERPIbAE1Ts1iA,El Frontón,Restaurante,"Malecón Pardo 180, La Punta 07021",904 625 583,+51 904 625 583,,,"-12.0742969,-77.16429409999999",4.1,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJQzFjIX7LBZERDzQqbEXI1lk,https://www.google.com/maps/place/?q=place_id:ChIJQzFjIX7LBZERDzQqbEXI1lk,Restaurante Patria Marina La Punta,Restaurante de fusión,"Jr, García y García 494, La Punta 07021",(01) 5053375,+51 1 5053375,,,"-12.069361899999999,-77.1627213",4.1,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJcwrJ6hPLBZERHMVsPPp-4oM,https://www.google.com/maps/place/?q=place_id:ChIJcwrJ6hPLBZERHMVsPPp-4oM,Don Giuseppe,Restaurante peruano,"Av. Miguel Grau 30, La Punta 07021",989 159 322,+51 989 159 322,,,"-12.0736099,-77.164435",4.4,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJqd4Z89vLBZERUbo6Lpdo9Xs,https://www.google.com/maps/place/?q=place_id:ChIJqd4Z89vLBZERUbo6Lpdo9Xs,Barra D7,Restaurante peruano,"Constitucion 298, Callao CALLAO 1",,,facebook.com,https://www.facebook.com/labarra.d7,"-12.059803899999999,-77.14707179999999",3.9,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJlT5Bp_vLBZER_W3TT2igKow,https://www.google.com/maps/place/?q=place_id:ChIJlT5Bp_vLBZER_W3TT2igKow,"Cevicheria ""La Pinga Rellena""",Restaurante,"WVX5+7WW, Av. Agustin Gamarra &, Av Argentina, Callao 07021",,,,,"-12.0517671,-77.1401812",4.3,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJXx_PiZvLBZER00DO3DKEroQ,https://www.google.com/maps/place/?q=place_id:ChIJXx_PiZvLBZER00DO3DKEroQ,Mateo,Restaurante,"WVQ4+MWJ, Av Saenz Peña, Callao 07021",(01) 4295828,+51 1 4295828,,,"-12.060787999999999,-77.1427227",4.1,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJj7W2D53LBZERTJImK-OTN2Q,https://www.google.com/maps/place/?q=place_id:ChIJj7W2D53LBZERTJImK-OTN2Q,Mateo S.A.,Marisquería,"Miller 386, Callao 07021",(01) 4652056,+51 1 4652056,,,"-12.0595649,-77.1464659",4.2,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJCcprxxPLBZERO4GX9bnU_f4,https://www.google.com/maps/place/?q=place_id:ChIJCcprxxPLBZERO4GX9bnU_f4,El Bistró Restaurant,Restaurante,"Medina 288, La Punta 07021",(01) 6519883,+51 1 6519883,facebook.com,http://www.facebook.com/elbistrorestaurant/,"-12.0734557,-77.1639977",3.9,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJVVMsZezLBZER0mBUjM73trM,https://www.google.com/maps/place/?q=place_id:ChIJVVMsZezLBZER0mBUjM73trM,El Nakary,Restaurante,"Calle, La Mar 229, Callao",929 429 732,+51 929 429 732,,,"-12.0611789,-77.14780259999999",3.9,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJoelc3enLBZER4Ewz6wxfego,https://www.google.com/maps/place/?q=place_id:ChIJoelc3enLBZER4Ewz6wxfego,La Aldea De Gastón,Restaurante,"Av La Marina 4707(AHORA 268, La Perla 07016",906 820 616,+51 906 820 616,la-aldea-de-gaston-2.ola.click,https://la-aldea-de-gaston-2.ola.click/,"-12.066567299999999,-77.1183411",4.3,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJCdaPozvLBZERrgECO9ajhWs,https://www.google.com/maps/place/?q=place_id:ChIJCdaPozvLBZERrgECO9ajhWs,Pa'l Callao y Punto,Restaurante,"Av. Víctor Raúl Haya de la Torre 975, La Perla 07016",950 712 017,+51 950 712 017,,,"-12.077102,-77.11332159999999",4.4,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJ_1vh1RLLBZERjKoflHv3XYQ,https://www.google.com/maps/place/?q=place_id:ChIJ_1vh1RLLBZERjKoflHv3XYQ,Razeto Trattoria,Restaurante italiano,"García y García 555, La Punta 07021",(01) 6353890,+51 1 6353890,tallerrazeto.mesa247.pe,http://tallerrazeto.mesa247.pe/,"-12.0695856,-77.1629523",4.5,,"Cevichería en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
ChIJ38eN9ZDLBZER7Ki7JQUrL6A,https://www.google.com/maps/place/?q=place_id:ChIJ38eN9ZDLBZER7Ki7JQUrL6A,Chifa El Osito - Callao,Restaurante chino,"Av Saenz Peña 911, Callao 07021",(01) 4656175,+51 1 4656175,,,"-12.0597291,-77.135408",4.3,,"Chifa en el distrito de La Punta, Prov. Const. del Callao, Callao, Perú"
