id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ2zfsD-DVbZERVgy-ZVQPQD4,https://www.google.com/maps/place/?q=place_id:ChIJ2zfsD-DVbZERVgy-ZVQPQD4,Pollería Don Lucho,Restaurante,"F2GF+JXX, Av. Pardo Paseo de los Héroes, Cusco 08002",(084) 523858,+51 84 523858,,,"-13.5233938,-71.9750072",4.1,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJKZmmrZLVbZER8lKFpEQK6m8,https://www.google.com/maps/place/?q=place_id:ChIJKZmmrZLVbZER8lKFpEQK6m8,Pollerías La Granja Real - Ttio,Restaurante especializado en pollo,"Av 28 de Julio W 30, Cusco 08002",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.5327906,-71.9560111",4,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJAQAQuiB_bpERL_r9UYtJYh4,https://www.google.com/maps/place/?q=place_id:ChIJAQAQuiB_bpERL_r9UYtJYh4,Pollerías La Granja Real - Cachimayo,Restaurante especializado en pollo,"Prolongacion Collasuyo con, Cusco 08006",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.532976699999999,-71.907909",3.9,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJe6KQi1V_bpERBcVAeo7H9jU,https://www.google.com/maps/place/?q=place_id:ChIJe6KQi1V_bpERBcVAeo7H9jU,Pollerías La Granja Real - Prado,Restaurante especializado en pollo,"Pucapucara K 12, Cusco 08003",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.5246553,-71.9516434",4.1,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJC4iQSR7VbZER4nTqmWwOpbI,https://www.google.com/maps/place/?q=place_id:ChIJC4iQSR7VbZER4nTqmWwOpbI,Pollerías La Granja Real - Incas,Restaurante especializado en pollo,"Hermanos Ayar 103-106, Cusco 08002",(084) 643004,+51 84 643004,polleriaslagranja.com,https://polleriaslagranja.com/,"-13.5245295,-71.9569369",4.1,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJq-aAdObVbZERqOP3xDmexQU,https://www.google.com/maps/place/?q=place_id:ChIJq-aAdObVbZERqOP3xDmexQU,Don Pollero,Restaurante,"Av. Jose Antonio de Sucre 12, Cusco 08007",966 482 020,+51 966 482 020,,,"-13.531875999999999,-71.9701331",3.8,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJbTYeWXTWbZERGrY1YSNTgfk,https://www.google.com/maps/place/?q=place_id:ChIJbTYeWXTWbZERGrY1YSNTgfk,Los Toldos chicken,Restaurante especializado en pollo,"Almagro 171, Cusco 08002",(084) 229829,+51 84 229829,,,"-13.5192217,-71.9787693",4,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJ53twUVF_bpERIpQRAoq2-b4,https://www.google.com/maps/place/?q=place_id:ChIJ53twUVF_bpERIpQRAoq2-b4,Polleria Don Hernan,Restaurante,Cusco 08003,984 182 416,+51 984 182 416,,,"-13.5265969,-71.945595",4,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJs3amNAx_bpERFPyLLV4KrjQ,https://www.google.com/maps/place/?q=place_id:ChIJs3amNAx_bpERFPyLLV4KrjQ,"EL GALPÓN ""métele diente""",Restaurante,"Jr. Sacsayhuman, Cusco 08000",(084) 218739,+51 84 218739,,,"-13.5246553,-71.9516436",4,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJP5aHGL3VbZERH9aHkLxrP9s,https://www.google.com/maps/place/?q=place_id:ChIJP5aHGL3VbZERH9aHkLxrP9s,Don Polllero Cusco,Restaurante especializado en pollo,"costado de SERPOST, Av. Garcilaso 151, Cusco 08002",966 482 020,+51 966 482 020,facebook.com,https://www.facebook.com/DonPolleroCusco,"-13.5233122,-71.9748559",3.6,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJgY9HAId_bpERPe_NHLtxBYU,https://www.google.com/maps/place/?q=place_id:ChIJgY9HAId_bpERPe_NHLtxBYU,"Pollería ""El Dorado Real""",Restaurante,Cusco 08006,983 310 943,+51 983 310 943,,,"-13.541398599999999,-71.9323557",3.7,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJPYZSPXTWbZERQAxk6WPcyuk,https://www.google.com/maps/place/?q=place_id:ChIJPYZSPXTWbZERQAxk6WPcyuk,Grimaldos,Restaurante especializado en pollo,"C. Sta. Clara 303, Cusco 08002",984 903 485,+51 984 903 485,m.facebook.com,https://m.facebook.com/profile.php?id=100057616982556,"-13.519024799999999,-71.9808747",3.1,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
ChIJZxlnYgDPbZER9YeQDqA8l0E,https://www.google.com/maps/place/?q=place_id:ChIJZxlnYgDPbZER9YeQDqA8l0E,Polleria El Dorado Chicken Brass,Tienda de aves de corral,"Jirón Jaquijahuana 95, Anta 08616",984 933 996,+51 984 933 996,,,"-13.4633404,-72.1469351",5,,"Pollería en el distrito de Huarocondo, Anta, Cusco, Perú"
