id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ-VnVuB7VbZERFi7en65LJpQ,https://www.google.com/maps/place/?q=place_id:ChIJ-VnVuB7VbZERFi7en65LJpQ,Polleria Llámame Lola,Restaurante,"Av. Tomasa Ttito Condemayta 864, Cusco 08002",,,m.facebook.com,https://m.facebook.com/llamamelolapollosalabrasa/,"-13.5236118,-71.9665373",4.2,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJKZmmrZLVbZER8lKFpEQK6m8,https://www.google.com/maps/place/?q=place_id:ChIJKZmmrZLVbZER8lKFpEQK6m8,Pollerías La Granja Real - Ttio,Restaurante especializado en pollo,"Av 28 de Julio W 30, Cusco 08002",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.5327906,-71.9560111",4,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJe6KQi1V_bpERBcVAeo7H9jU,https://www.google.com/maps/place/?q=place_id:ChIJe6KQi1V_bpERBcVAeo7H9jU,Pollerías La Granja Real - Prado,Restaurante especializado en pollo,"Pucapucara K 12, Cusco 08003",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.5246553,-71.9516434",4.1,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJAQAQuiB_bpERL_r9UYtJYh4,https://www.google.com/maps/place/?q=place_id:ChIJAQAQuiB_bpERL_r9UYtJYh4,Pollerías La Granja Real - Cachimayo,Restaurante especializado en pollo,"Prolongacion Collasuyo con, Cusco 08006",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.532976699999999,-71.907909",3.9,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJ_4MSRAB_bpERZjA0NtVK8vY,https://www.google.com/maps/place/?q=place_id:ChIJ_4MSRAB_bpERZjA0NtVK8vY,Pollerías La Granja Real - Marcavalle,Restaurante especializado en pollo,"Urb. Cerveceros, Cusco 08003",(084) 643004,+51 84 643004,,,"-13.5276502,-71.94520969999999",3.4,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJC4iQSR7VbZER4nTqmWwOpbI,https://www.google.com/maps/place/?q=place_id:ChIJC4iQSR7VbZER4nTqmWwOpbI,Pollerías La Granja Real - Incas,Restaurante especializado en pollo,"Hermanos Ayar 103-106, Cusco 08002",(084) 643004,+51 84 643004,polleriaslagranja.com,https://polleriaslagranja.com/,"-13.5245295,-71.9569369",4.1,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJtw-HVCF_bpERD9KKflznk3c,https://www.google.com/maps/place/?q=place_id:ChIJtw-HVCF_bpERD9KKflznk3c,POLLERIA PIKOL,Restaurante especializado en pollo,"F38Q+3WF, Prol. Av. de la Cultura, Cusco 08006",993 484 050,+51 993 484 050,,,"-13.5348074,-71.9101951",3.5,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJmzmaTOXfbZERGJnCZCOzRoc,https://www.google.com/maps/place/?q=place_id:ChIJmzmaTOXfbZERGJnCZCOzRoc,Sumaq Calca,Tienda de aves de corral,"Calle 290, Calca 08121",,,,,"-13.3231051,-71.9549335",3.5,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJeVRHgO7VbZERPj9zt14JVnI,https://www.google.com/maps/place/?q=place_id:ChIJeVRHgO7VbZERPj9zt14JVnI,Emily.'s,Restaurante especializado en pollo,"F29M+8W5, Primer Paradero, Av 28 de Julio, Cusco 08007",,,,,"-13.5317279,-71.96513",4.2,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
ChIJ2zfsD-DVbZERVgy-ZVQPQD4,https://www.google.com/maps/place/?q=place_id:ChIJ2zfsD-DVbZERVgy-ZVQPQD4,Pollería Don Lucho,Restaurante,"F2GF+JXX, Av. Pardo Paseo de los Héroes, Cusco 08002",(084) 523858,+51 84 523858,,,"-13.5233938,-71.9750072",4.1,,"Pollería en el distrito de Lamay, Calca, Cusco, Perú"
