id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJj1YuhfrXbZERu1h-uISeVG0,https://www.google.com/maps/place/?q=place_id:ChIJj1YuhfrXbZERu1h-uISeVG0,Chabuca Pizzeria,Pizzería,Cusco 08003,928 778 657,+51 928 778 657,instagram.com,https://www.instagram.com/chabucapizzeria/?igshid=YmMyMTA2M2Y=,"-13.512514399999999,-71.97445619999999",5,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJUcKvYQfXbZERszx1CMoXphQ,https://www.google.com/maps/place/?q=place_id:ChIJUcKvYQfXbZERszx1CMoXphQ,SUMAQ PIZZA PIZZERIA CUSCO,Pizzería,"Cuesta santa 664, Cusco 08000",987 340 713,+51 987 340 713,facebook.com,https://www.facebook.com/profile.php?id=100092573816425&mibextid=ZbWKwL,"-13.514810899999999,-71.9847553",4.7,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJo1oriAPXbZER1YSvBTjPluQ,https://www.google.com/maps/place/?q=place_id:ChIJo1oriAPXbZER1YSvBTjPluQ,Antonio Restobar Pizzeria,Pizzería,"08003, Cusco 08003",958 245 471,+51 958 245 471,,,"-13.5198219,-71.97953199999999",4.6,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJQVkCMg3WbZERXYw3wCt88vE,https://www.google.com/maps/place/?q=place_id:ChIJQVkCMg3WbZERXYw3wCt88vE,SUMAQ Grill Restaurant Pizzeria en Cusco,Pizzería,"al frente del hotel motto by hilton, Av Tullumayo 112 ""B, Cusco 08002",957 734 881,+51 957 734 881,,,"-13.5165236,-71.9752232",4.7,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJ8Zm4n7FxbpERGtTtoJ4X4-8,https://www.google.com/maps/place/?q=place_id:ChIJ8Zm4n7FxbpERGtTtoJ4X4-8,Pizzeria Bar Sisaya,Pizzería,"Amazonas s/n, Písac 08106",993 090 669,+51 993 090 669,,,"-13.423213299999999,-71.85035549999999",4.8,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJmzexTgnWbZERw64EM9risB4,https://www.google.com/maps/place/?q=place_id:ChIJmzexTgnWbZERw64EM9risB4,De BooccA Pizzeria,Restaurante,"Av. Collasuyo 11, Cusco 08003",936 216 773,+51 936 216 773,sites.google.com,https://sites.google.com/view/pizzeriadeboocca/inicio,"-13.517146799999999,-71.9686547",3.9,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJW6gRqqlwbpERq2YH89d3tEY,https://www.google.com/maps/place/?q=place_id:ChIJW6gRqqlwbpERq2YH89d3tEY,Antica osteria,Restaurante,"Av. Federico Zamalloa S/N, Písac 08106",918 899 571,+51 918 899 571,sites.google.com,https://sites.google.com/view/anticaosteria/start,"-13.4217777,-71.8485412",4.6,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJgQX4tAzWbZERPRgaY34AQ1s,https://www.google.com/maps/place/?q=place_id:ChIJgQX4tAzWbZERPRgaY34AQ1s,El Tabuco,Restaurante,"Choqechaka 124, Cusco 08002",994 798 347,+51 994 798 347,m.facebook.com,https://m.facebook.com/pg/El-Tabuco-269632049808440/about/?ref=page_internal&mt_nav=1,"-13.515967799999999,-71.9755584",4.5,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJ-b0qX3PWbZER7qJNnXC2org,https://www.google.com/maps/place/?q=place_id:ChIJ-b0qX3PWbZER7qJNnXC2org,Pizzeria Trattoria Casa Grande Cusco (La mejor Pizza Artesanal a Leña),Pizzería,"Sta. Catalina Ancha 357, Cusco 08000",951 377 046,+51 951 377 046,pizzeriatrattoriacasagrande.com,http://www.pizzeriatrattoriacasagrande.com/,"-13.517026999999999,-71.9766772",4.5,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJbdAZwLdMaZER4dIlfDK6kBA,https://www.google.com/maps/place/?q=place_id:ChIJbdAZwLdMaZER4dIlfDK6kBA,Municipalidad Distrital de Livitaca,Oficina de la Administración,"M8P6+Q3Q, Livitaca 08471",945 552 230,+51 945 552 230,,,"-14.31303,-71.6897687",4.8,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJTQf1T3PWbZERq7XRIfuyfMk,https://www.google.com/maps/place/?q=place_id:ChIJTQf1T3PWbZERq7XRIfuyfMk,La Bodega 138,Pizzería,"C. Herrajes 138, Cusco 08002",933 982 111,+51 933 982 111,labodega138.com,http://www.labodega138.com/,"-13.5164955,-71.97641469999999",4.6,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJTcycZNJ_bpERZaGoKVqDhY4,https://www.google.com/maps/place/?q=place_id:ChIJTcycZNJ_bpERZaGoKVqDhY4,Giaco Pizza,Pizzería,"51, Cusco 08002",(084) 586327,+51 84 586327,,,"-13.527759699999999,-71.9516259",4.6,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJ_TWmTQvWbZERky3el03xVi8,https://www.google.com/maps/place/?q=place_id:ChIJ_TWmTQvWbZERky3el03xVi8,Nonna Trattoria,Restaurante,"C. San Agustín 298, Cusco 08002",(084) 437605,+51 84 437605,,,"-13.518065799999999,-71.975534",4.5,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJg1PIIQvWbZERu8C8XN6HJyw,https://www.google.com/maps/place/?q=place_id:ChIJg1PIIQvWbZERu8C8XN6HJyw,Allegra Pizza a la Leña,Pizzería,"Zetas 434, Cusco 08002",943 112 524,+51 943 112 524,facebook.com,https://www.facebook.com/allegra.cusco.peru,"-13.519616599999999,-71.9743084",4.8,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJa3BlY-xNaZER-HRLAWU8e9E,https://www.google.com/maps/place/?q=place_id:ChIJa3BlY-xNaZER-HRLAWU8e9E,"CAFE-SNACK-BAR ""ATLANTIS""",Restaurante de comida rápida,"Plaza de Armas, Livitaca 08471",,,,,"-14.3121315,-71.6895007",5,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJJ3VDEB_dbZERlWPJSsrD2_w,https://www.google.com/maps/place/?q=place_id:ChIJJ3VDEB_dbZERlWPJSsrD2_w,PIZZERÍA QUINUA,Pizzería,"Jirón Mainique 323, Urubamba 08661",974 739 862,+51 974 739 862,,,"-13.3072538,-72.1156934",4.1,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJDzwg3v7VbZERaAl6yls2E-0,https://www.google.com/maps/place/?q=place_id:ChIJDzwg3v7VbZERaAl6yls2E-0,Pizzeria Express,Pizzería,"Av. los Incas 1420, Cusco 08002",(084) 242445,+51 84 242445,,,"-13.525480199999999,-71.95527609999999",4.2,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJj_yQOHPWbZER8eWC3sw6xGs,https://www.google.com/maps/place/?q=place_id:ChIJj_yQOHPWbZER8eWC3sw6xGs,La Osteria,Pizzería,"C. Procuradores 362, Cusco 08000",(084) 384849,+51 84 384849,laosteria.pe,https://laosteria.pe/la-osteria/,"-13.515458299999999,-71.9794661",4.9,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJHR2_p2BxbpERqYQydt34M6M,https://www.google.com/maps/place/?q=place_id:ChIJHR2_p2BxbpERqYQydt34M6M,INKANTO PIZZERÍA ARTESANAL,Pizzería,"Manuel Prado 598, Písac 08106",998 700 091,+51 998 700 091,,,"-13.42258,-71.8513297",4,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJrd0OcER_bpERwvPdFCe-Agw,https://www.google.com/maps/place/?q=place_id:ChIJrd0OcER_bpERwvPdFCe-Agw,Pizzería de Boocca,Pizzería a domicilio,"Av. Cusco, San Sebastián 08000",944 511 562,+51 944 511 562,,,"-13.5305933,-71.9367151",3.4,,"Pizzería en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJi9n3Gm_XbZERiBPvIbaRa_Q,https://www.google.com/maps/place/?q=place_id:ChIJi9n3Gm_XbZERiBPvIbaRa_Q,Miwa 美和 - Peruvian Asian Kitchen,Restaurante asiático,"Sta. Catalina Ancha 390, Cusco 00800",902 205 244,+51 902 205 244,miwa.peruvian.asian.kitchen,https://miwa.peruvian.asian.kitchen/,"-13.5169432,-71.9762992",4.8,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJOyDITefXbZERK90Nk_fl8I4,https://www.google.com/maps/place/?q=place_id:ChIJOyDITefXbZERK90Nk_fl8I4,UFO Asian Food,Restaurante japonés,"C. Tordo 174, Cusco 08000",,,ufoasianfood.pe,https://ufoasianfood.pe/,"-13.517706899999999,-71.98226249999999",4.7,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJbdAZwLdMaZER4dIlfDK6kBA,https://www.google.com/maps/place/?q=place_id:ChIJbdAZwLdMaZER4dIlfDK6kBA,Municipalidad Distrital de Livitaca,Oficina de la Administración,"M8P6+Q3Q, Livitaca 08471",945 552 230,+51 945 552 230,,,"-14.31303,-71.6897687",4.8,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJE_99TgBNaZER6rSi0xxGZnQ,https://www.google.com/maps/place/?q=place_id:ChIJE_99TgBNaZER6rSi0xxGZnQ,Livitaca,Restaurante,"M8Q6+9QC Plaza de, Livitaca 08471",,,,,"-14.311562599999998,-71.6880978",5,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJG7_ZuWDVbZER3Xdbyjicoqo,https://www.google.com/maps/place/?q=place_id:ChIJG7_ZuWDVbZER3Xdbyjicoqo,Gambatte Cocina Nikkei,Restaurante,"Av. Luis Vallejo Santoni, Cusco 08002",960 658 181,+51 960 658 181,instagram.com,https://instagram.com/gambatte_asian_food?igshid=NTA5ZTk1NTc=,"-13.5306173,-71.95790029999999",4.7,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJXaot22RNaZERc2PFViKsJUw,https://www.google.com/maps/place/?q=place_id:ChIJXaot22RNaZERc2PFViKsJUw,Plaza Principal de Livitaca,Parque,"M8Q6+4C4, Livitaca 08471",,,kantutamarilla.blogspot.com,https://kantutamarilla.blogspot.com/2013/08/distrito-de-livitaca-chumbivilcas-cusco.html?m=1,"-14.312520899999999,-71.6892735",4.5,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJcTDfrQZNaZER7bXlKTqJN2Q,https://www.google.com/maps/place/?q=place_id:ChIJcTDfrQZNaZER7bXlKTqJN2Q,RESTAURANT GUAPO QORILAZO,Restaurante,"M8Q6+33Q, Livitaca 08471",,,,,"-14.312295299999999,-71.68976359999999",,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJ7c9AXRjXbZERpg_qcJ6rHnM,https://www.google.com/maps/place/?q=place_id:ChIJ7c9AXRjXbZERpg_qcJ6rHnM,Chifa Lyam Chang,Restaurante,"Matara 208, Cusco 08002",,,lyamchang.com,https://www.lyamchang.com/,"-13.5204124,-71.979941",4.3,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJa3BlY-xNaZER-HRLAWU8e9E,https://www.google.com/maps/place/?q=place_id:ChIJa3BlY-xNaZER-HRLAWU8e9E,"CAFE-SNACK-BAR ""ATLANTIS""",Restaurante de comida rápida,"Plaza de Armas, Livitaca 08471",,,,,"-14.3121315,-71.6895007",5,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJ38LUpcTdbZERS4Zv1C9_MjM,https://www.google.com/maps/place/?q=place_id:ChIJ38LUpcTdbZERS4Zv1C9_MjM,Om Asían Restobar,Restaurante asiático,"Av. Mariscal Castilla cuadra 9, Urubamba 08660",940 953 015,+51 940 953 015,,,"-13.3041103,-72.1135654",4.7,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
ChIJj5oRcM7XbZERMrwDx5SXtNo,https://www.google.com/maps/place/?q=place_id:ChIJj5oRcM7XbZERMrwDx5SXtNo,Huaraca Grill,Restaurante peruano,"Plaza de Armas, Portal de Comercio 129, Cusco 08000",913 333 172,+51 913 333 172,,,"-13.5173165,-71.9788841",4.8,,"Comida oriental en el distrito de Livitaca, Chumbivilcas, Cusco, Perú"
