id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJW-nt-vZ9bpERKFkMQASDlNY,https://www.google.com/maps/place/?q=place_id:ChIJW-nt-vZ9bpERKFkMQASDlNY,Pollería Chiuchikuna,Restaurante,"Carr. Cusco - Paucartambo, Saylla 08200",935 797 752,+51 935 797 752,,,"-13.5713195,-71.8272168",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJD3zGT_jVbZERMOGeF1efEt0,https://www.google.com/maps/place/?q=place_id:ChIJD3zGT_jVbZERMOGeF1efEt0,chicharroneria saylla,Restaurante,"21, Cusco 08200",984 680 731,+51 984 680 731,,,"-13.570828299999999,-71.8275002",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJ00cL3rt9bpERjdBBC649PDQ,https://www.google.com/maps/place/?q=place_id:ChIJ00cL3rt9bpERjdBBC649PDQ,Chicharroneria El Dorado,Restaurante peruano,"Cusco T-3, Avenue Cusco, Saylla, Cusco",993 799 066,+51 993 799 066,facebook.com,https://www.facebook.com/ChicharroneriaElDorado/,"-13.5714735,-71.8270861",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJc2-UEgB9bpERHAM-6p-ZkQc,https://www.google.com/maps/place/?q=place_id:ChIJc2-UEgB9bpERHAM-6p-ZkQc,Pollería El Corralito,Tienda de aves de corral,"C5HF+H46, Calle Agustín, Saylla 08200",929 428 574,+51 929 428 574,,,"-13.571084899999999,-71.8272209",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJ07dpn7l9bpERJreLI-sLUwU,https://www.google.com/maps/place/?q=place_id:ChIJ07dpn7l9bpERJreLI-sLUwU,Chicharroneria San Antonio,Restaurante,"3S 5, Saylla 08200",,,,,"-13.569774899999999,-71.8286052",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJZ6s8trl9bpERXAIFGVt6lUI,https://www.google.com/maps/place/?q=place_id:ChIJZ6s8trl9bpERXAIFGVt6lUI,Los Pollos del tío Claudio,Pollería,"Asociación de vivienda Angostura MZ-A2, Cusco 08200",948 701 977,+51 948 701 977,,,"-13.554746399999999,-71.8570044",3.4,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJs6qq_7d9bpERE89jKbQpGLk,https://www.google.com/maps/place/?q=place_id:ChIJs6qq_7d9bpERE89jKbQpGLk,Chicharroneria El Sabrosito,Restaurante,"av. cusco s/n, Saylla 08200",,,,,"-13.569989,-71.8284208",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJB0GE5Mx9bpERh6yNmb4JPRk,https://www.google.com/maps/place/?q=place_id:ChIJB0GE5Mx9bpERh6yNmb4JPRk,Pollería Don Alphi,Restaurante,"Avenida Huascar S/n, Saylla 08200",980 709 831,+51 980 709 831,,,"-13.5711964,-71.8239157",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJ-VnVuB7VbZERFi7en65LJpQ,https://www.google.com/maps/place/?q=place_id:ChIJ-VnVuB7VbZERFi7en65LJpQ,Polleria Llámame Lola,Restaurante,"Av. Tomasa Ttito Condemayta 864, Cusco 08002",,,m.facebook.com,https://m.facebook.com/llamamelolapollosalabrasa/,"-13.5236118,-71.9665373",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJjXqHx719bpERG7_-6kwmuvo,https://www.google.com/maps/place/?q=place_id:ChIJjXqHx719bpERG7_-6kwmuvo,Polleria tomy,Tienda de aves de corral,"C5HC+HX9, Carr. Cusco - Paucartambo, Saylla 08200",,,,,"-13.5710774,-71.827529",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJI3lfKrN_bpERKcMEaXbCaj8,https://www.google.com/maps/place/?q=place_id:ChIJI3lfKrN_bpERKcMEaXbCaj8,"POLLERÍA ""EL GALLITO ADERLY""",Restaurante peruano,"Urb. Surihuaylla Grande M-5 San Sebastian, Av. Pachacamac 931, Cusco",944 039 569,+51 944 039 569,,,"-13.5412933,-71.93248179999999",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
ChIJWRgY9IF-bpER3Hc_tDETLPI,https://www.google.com/maps/place/?q=place_id:ChIJWRgY9IF-bpER3Hc_tDETLPI,"polleria ""los gustitos""",Restaurante,"C4WR+MMM, Cusco 08200",,,,,"-13.553288499999999,-71.858317",,,"Pollería en el distrito de Saylla, Cusco, Cusco, Perú"
