id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJE7Jyd0AQaZERRx4OrwuFlXE,https://www.google.com/maps/place/?q=place_id:ChIJE7Jyd0AQaZERRx4OrwuFlXE,Polleria Tayta,Restaurante,"6H4R+5P5, Espinar 08301",982 340 002,+51 982 340 002,,,"-14.7946008,-71.40813539999999",3.3,,"Pollería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJw0BZ7gsRaZERw-1fGu9O3jg,https://www.google.com/maps/place/?q=place_id:ChIJw0BZ7gsRaZERw-1fGu9O3jg,EL ASADOR,Restaurante,"041, Espinar 08301",935 663 213,+51 935 663 213,l.facebook.com,https://l.facebook.com/l.php?u=https%3A%2F%2Fasadorespinar.wixsite.com%2Frestautantes%3Ffbclid%3DIwAR0J3lKJgHuudhD1wjvmdw2SaaV5CjGEFLp7jhFTKlLrGpESyyb1sfipLCc&h=AT0nFKlAxJA_yp7q81ZCUZ5LwUgGo6mYTPJxlMybBwNU7SQPvOacl2gxEkWOE4KBxraJV4KuTT97HgPlck6srra5fBMna1vPKNUgPn0coDUzEzapzRPEpsOXsbnBe0G3QLU,"-14.7923294,-71.4113866",2.9,,"Pollería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJq5fJX4ERaZERxN8P-r7tZ2M,https://www.google.com/maps/place/?q=place_id:ChIJq5fJX4ERaZERxN8P-r7tZ2M,"Pollería ""CENTRAL CHICKEN""",Tienda de aves de corral,"Esquina de, C. Anta con, Espinar",941 888 262,+51 941 888 262,,,"-14.793944199999999,-71.4086473",3.5,,"Pollería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJz4MjRQARaZERmFKs5OI5X_U,https://www.google.com/maps/place/?q=place_id:ChIJz4MjRQARaZERmFKs5OI5X_U,Piko Riko,Restaurante especializado en pollo,"051, Espinar 08301",910 373 509,+51 910 373 509,,,"-14.7948718,-71.40821319999999",3.9,,"Pollería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJwe2OLEAQaZERH2NVfsqh204,https://www.google.com/maps/place/?q=place_id:ChIJwe2OLEAQaZERH2NVfsqh204,Restaurant Machupicchu,Restaurante peruano,"C. José Olaya D-6, Espinar 08301",922 583 975,+51 922 583 975,,,"-14.7940372,-71.4054787",4.1,,"Pollería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJpT-PNEcQaZERBHJAgH9Batg,https://www.google.com/maps/place/?q=place_id:ChIJpT-PNEcQaZERBHJAgH9Batg,"Los sabores de "" SHARO""",Restaurante,"6H4Q+J47, Jr. Cusco, Espinar 08301",993 485 526,+51 993 485 526,,,"-14.793467699999999,-71.4122134",3.4,,"Pollería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJDauFNEcQaZERelcn5lr6J6Q,https://www.google.com/maps/place/?q=place_id:ChIJDauFNEcQaZERelcn5lr6J6Q,Seviche Espinar,Restaurante,"6H4Q+J47, Jr. Cusco, Espinar 08301",,,,,"-14.7934681,-71.41221399999999",4.5,,"Cevichería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJTSKaMEwRaZERu6AoVrbQV9A,https://www.google.com/maps/place/?q=place_id:ChIJTSKaMEwRaZERu6AoVrbQV9A,Cevichería delicias del mar,Marisquería,"6H6R+5RR, Av. San Martin, Espinar 08301",,,,,"-14.789499999999999,-71.40796999999999",3.1,,"Cevichería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJw7_0qnwRaZERkzro3W5gs84,https://www.google.com/maps/place/?q=place_id:ChIJw7_0qnwRaZERkzro3W5gs84,CEVICHERIA RINCÓN NORTEÑO,Restaurante,"Frente al Poder Judicial, Alfonso Ugarte, Espinar 08301",944 040 562,+51 944 040 562,,,"-14.7917866,-71.411433",4.4,,"Cevichería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJpT-PNEcQaZERBHJAgH9Batg,https://www.google.com/maps/place/?q=place_id:ChIJpT-PNEcQaZERBHJAgH9Batg,"Los sabores de "" SHARO""",Restaurante,"6H4Q+J47, Jr. Cusco, Espinar 08301",993 485 526,+51 993 485 526,,,"-14.793467699999999,-71.4122134",3.4,,"Cevichería en el distrito de Espinar, Espinar, Cusco, Perú"
ChIJwe2OLEAQaZERH2NVfsqh204,https://www.google.com/maps/place/?q=place_id:ChIJwe2OLEAQaZERH2NVfsqh204,Restaurant Machupicchu,Restaurante peruano,"C. José Olaya D-6, Espinar 08301",922 583 975,+51 922 583 975,,,"-14.7940372,-71.4054787",4.1,,"Cevichería en el distrito de Espinar, Espinar, Cusco, Perú"
