id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJE7Jyd0AQaZERRx4OrwuFlXE,https://www.google.com/maps/place/?q=place_id:ChIJE7Jyd0AQaZERRx4OrwuFlXE,Polleria Tayta,Restaurante,"6H4R+5P5, Espinar 08301",982 340 002,+51 982 340 002,,,"-14.7946008,-71.40813539999999",3.3,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJz4MjRQARaZERmFKs5OI5X_U,https://www.google.com/maps/place/?q=place_id:ChIJz4MjRQARaZERmFKs5OI5X_U,Piko Riko,Restaurante especializado en pollo,"051, Espinar 08301",910 373 509,+51 910 373 509,,,"-14.7948718,-71.40821319999999",3.9,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJ2zfsD-DVbZERVgy-ZVQPQD4,https://www.google.com/maps/place/?q=place_id:ChIJ2zfsD-DVbZERVgy-ZVQPQD4,Pollería Don Lucho,Restaurante,"F2GF+JXX, Av. Pardo Paseo de los Héroes, Cusco 08002",(084) 523858,+51 84 523858,,,"-13.5233938,-71.9750072",4.1,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJ75ZSOrJ_bpERajTxuN6nchI,https://www.google.com/maps/place/?q=place_id:ChIJ75ZSOrJ_bpERajTxuN6nchI,Oros - Pollos a la Brasa Alto Qosqo San Sebastián Cusco,Restaurante especializado en pollo,"Paradero Huayna Capac, 08000",900 064 779,+51 900 064 779,,,"-13.5223617,-71.9257913",4.4,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJP5aHGL3VbZERH9aHkLxrP9s,https://www.google.com/maps/place/?q=place_id:ChIJP5aHGL3VbZERH9aHkLxrP9s,Don Polllero Cusco,Restaurante especializado en pollo,"costado de SERPOST, Av. Garcilaso 151, Cusco 08002",966 482 020,+51 966 482 020,facebook.com,https://www.facebook.com/DonPolleroCusco,"-13.5233122,-71.9748559",3.6,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJq-aAdObVbZERqOP3xDmexQU,https://www.google.com/maps/place/?q=place_id:ChIJq-aAdObVbZERqOP3xDmexQU,Don Pollero,Restaurante,"Av. Jose Antonio de Sucre 12, Cusco 08007",966 482 020,+51 966 482 020,,,"-13.531875999999999,-71.9701331",3.8,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJoZXDP5XVbZEReNTkpBTOX-4,https://www.google.com/maps/place/?q=place_id:ChIJoZXDP5XVbZEReNTkpBTOX-4,CUSCO CHICKEN Pollería,Restaurante especializado en pollo,"Anta A 4, Cusco 08002",978 330 036,+51 978 330 036,wa.me,https://wa.me/c/51978330036,"-13.530258199999999,-71.9637489",4.4,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJlWi5QZcBaZER3tOLc4pcsgA,https://www.google.com/maps/place/?q=place_id:ChIJlWi5QZcBaZER3tOLc4pcsgA,POLLERIA SUPER CHICKEN,Restaurante,"4Q4R+RJG, C. Arequipa, Héctor Tejada 08321",972 479 187,+51 972 479 187,,,"-14.892945699999999,-71.2084215",1,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJC2rW1eB-bpERp8YMK3gQXvg,https://www.google.com/maps/place/?q=place_id:ChIJC2rW1eB-bpERp8YMK3gQXvg,Polleria Roly CUSCO,Restaurante,"13°32'31.0""S 71°53'56., 4 De Octubre, Cusco",,,,,"-13.5419456,-71.8989802",3.8,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJjyKDoaYBaZERn2w-dESpr98,https://www.google.com/maps/place/?q=place_id:ChIJjyKDoaYBaZERn2w-dESpr98,"POLLERIA ""ENTRE LEÑA Y SABOR""",Restaurante,"051, Héctor Tejada 08321",,,,,"-14.8906624,-71.2100483",,,"Pollería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJw7_0qnwRaZERkzro3W5gs84,https://www.google.com/maps/place/?q=place_id:ChIJw7_0qnwRaZERkzro3W5gs84,CEVICHERIA RINCÓN NORTEÑO,Restaurante,"Frente al Poder Judicial, Alfonso Ugarte, Espinar 08301",944 040 562,+51 944 040 562,,,"-14.7917866,-71.411433",4.4,,"Cevichería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJpT-PNEcQaZERBHJAgH9Batg,https://www.google.com/maps/place/?q=place_id:ChIJpT-PNEcQaZERBHJAgH9Batg,"Los sabores de "" SHARO""",Restaurante,"6H4Q+J47, Jr. Cusco, Espinar 08301",993 485 526,+51 993 485 526,,,"-14.793467699999999,-71.4122134",3.4,,"Cevichería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJYUoFK5tTaJERKUllJTdF9XQ,https://www.google.com/maps/place/?q=place_id:ChIJYUoFK5tTaJERKUllJTdF9XQ,Ocoruro,,08340,,,,,"-15.0841756,-71.121085",,,"Pizzería en el distrito de Ocoruro, Espinar, Cusco, Perú"
ChIJo1oriAPXbZER1YSvBTjPluQ,https://www.google.com/maps/place/?q=place_id:ChIJo1oriAPXbZER1YSvBTjPluQ,Antonio Restobar Pizzeria,Pizzería,"08003, Cusco 08003",958 245 471,+51 958 245 471,,,"-13.5198219,-71.97953199999999",4.6,,"Pizzería en el distrito de Ocoruro, Espinar, Cusco, Perú"
