id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJqeeE7GeHEpERW0Nn9dCic5c,https://www.google.com/maps/place/?q=place_id:ChIJqeeE7GeHEpERW0Nn9dCic5c,"Polleria chifa ""EL DORADO""",Tienda de aves de corral,"plaza principal de, Jirón Ayacucho, Kimbiri 08800",907 943 150,+51 907 943 150,,,"-12.6204596,-73.78778249999999",,,"Pollería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJnQYb6m4_DZERRAdQ1gmnGxM,https://www.google.com/maps/place/?q=place_id:ChIJnQYb6m4_DZERRAdQ1gmnGxM,Polleria - Chifa - Restaurante “El Fogón”,Restaurante de fusión,"96H6+MGG, Kimbiri 08800",957 552 635,+51 957 552 635,,,"-12.620811699999999,-73.78867389999999",2.3,,"Pollería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJ1_tWCvQ_DZERXrEbwaKuWTE,https://www.google.com/maps/place/?q=place_id:ChIJ1_tWCvQ_DZERXrEbwaKuWTE,Pollería Norky,Tienda de aves de corral,"Av. Aeropuerto s/n, Kimbiri 08801",956 963 636,+51 956 963 636,facebook.com,https://www.facebook.com/pg/Poller%C3%ADa-Norky-Kimbiri-117220773444983/about/?ref=page_internal,"-12.620872499999999,-73.788308",,,"Pollería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJ89L1lV0_DZERoJuyrgpSKW8,https://www.google.com/maps/place/?q=place_id:ChIJ89L1lV0_DZERoJuyrgpSKW8,chifa polleria plaza fusiones kimbiri,Tienda de aves de corral,"Av. Aeropuerto S/N 51, Kimbiri 08801",,,chifapolleriaplazafusiones.com,http://www.chifapolleriaplazafusiones.com/,"-12.6210461,-73.7883698",3,,"Pollería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJNybHoq0_DZERgVc-7OwMEVM,https://www.google.com/maps/place/?q=place_id:ChIJNybHoq0_DZERgVc-7OwMEVM,"Chifa & Polleria ""El Pijiri""",Restaurante,"Av. Circunvalación con, Kimbiri 08741",927 500 130,+51 927 500 130,,,"-12.6160155,-73.7947858",5,,"Pollería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJtd_2CJ0_DZER5KIfKwmXxgY,https://www.google.com/maps/place/?q=place_id:ChIJtd_2CJ0_DZER5KIfKwmXxgY,CEVICHERÍA PUERTO RICO,Marisquería,"96J5+Q5C Parque Sacsayhuaman Héroes De La Paz Del VRAEM, Kimbiri 08800",,,,,"-12.6174571,-73.79210909999999",4.5,,"Cevichería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJSfp6MGc_DZER49kWYfFVwWA,https://www.google.com/maps/place/?q=place_id:ChIJSfp6MGc_DZER49kWYfFVwWA,"Cevicheria Marisqueria ""Los ficus""",Marisquería,"96M5+5FF, Jr. Cusco, Kimbiri 08800",921 535 731,+51 921 535 731,,,"-12.6170653,-73.7913434",3.5,,"Cevichería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJiYYElgE_DZERIXWK7u47m34,https://www.google.com/maps/place/?q=place_id:ChIJiYYElgE_DZERIXWK7u47m34,Cevichería marisquería boca del Río,Marisquería,"Jr. José Olaya, Kimbiri 08800",,,,,"-12.6204626,-73.7893249",4.5,,"Cevichería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJa1qjsP0-DZERpJqzM2p77mc,https://www.google.com/maps/place/?q=place_id:ChIJa1qjsP0-DZERpJqzM2p77mc,"RESTAURANT CEVICHERIA ""DON JUAN""",Restaurante,"96H7+P6C, Kimbiri 08800",921 327 427,+51 921 327 427,,,"-12.620686099999999,-73.7869982",2.9,,"Cevichería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJ1cTmesc_DZERzL8tbfvUyFs,https://www.google.com/maps/place/?q=place_id:ChIJ1cTmesc_DZERzL8tbfvUyFs,Cevichería Chalupa,Restaurante,"96H6+QC6, Kimbiri 08800",,,,,"-12.6205874,-73.78897959999999",2,,"Cevichería en el distrito de Kimbiri, La Convención, Cusco, Perú"
ChIJQ-SNpSw_DZER6DbUiq_Cqvk,https://www.google.com/maps/place/?q=place_id:ChIJQ-SNpSw_DZER6DbUiq_Cqvk,Mukialom - restaurante,Restaurante,"Av. Aeropuerto 202 - 204, Kimbiri 08800",958 483 189,+51 958 483 189,facebook.com,https://web.facebook.com/mukialom/,"-12.620338199999999,-73.78934009999999",4,,"Cevichería en el distrito de Kimbiri, La Convención, Cusco, Perú"
