id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJd1iHyrHIBZER8S60wyRhhfE,https://www.google.com/maps/place/?q=place_id:ChIJd1iHyrHIBZER8S60wyRhhfE,Chun Koc Sen,Restaurante cantonés,"Jr. Paruro 890, Lima 15001",(01) 2379697,+51 1 2379697,,,"-12.052273,-77.025171",4.4,,"Chifa en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJd53DfbDIBZERlNIlMYn5ZrU,https://www.google.com/maps/place/?q=place_id:ChIJd53DfbDIBZERlNIlMYn5ZrU,Chifa Fu Yuan,Restaurante chino,"Jr. Paruro 790, Lima 15001",(01) 2219851,+51 1 2219851,,,"-12.051383699999999,-77.0247534",2.7,,"Chifa en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJT5uk9PDVbZERGXOtUh4PDVA,https://www.google.com/maps/place/?q=place_id:ChIJT5uk9PDVbZERGXOtUh4PDVA,Misky Factory Cafe - pasteleria Av. Pardo 713,Pastelería,"Av. Pardo Paseo de los Héroes 713, Cusco 08002",953 460 792,+51 953 460 792,,,"-13.5227939,-71.9754569",4.7,,"Pastelería en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJfYw9HuDVbZERVa3pdfBfzbA,https://www.google.com/maps/place/?q=place_id:ChIJfYw9HuDVbZERVa3pdfBfzbA,Pasteleria La Bondiet,Cafetería,"Av. El Sol 781, Cusco 08002",(084) 268768,+51 84 268768,,,"-13.522679799999999,-71.9744443",4.4,,"Pastelería en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJF7EkMPDXbZERz0yFHA4wJyg,https://www.google.com/maps/place/?q=place_id:ChIJF7EkMPDXbZERz0yFHA4wJyg,El Jardin - Healthy Food And Coffee,Restaurante vegetariano,"Plaza de Armas, Portal de Panes 151, Cusco 08000",953 727 595,+51 953 727 595,eljardinrestaurantcusco.com,http://www.eljardinrestaurantcusco.com/,"-13.516024,-71.9792437",4.9,,"Comida vegetariana en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJgQwhJ6jXbZERlh2uF5plMtk,https://www.google.com/maps/place/?q=place_id:ChIJgQwhJ6jXbZERlh2uF5plMtk,.,Restaurante,"Av. El Sol 785, Cusco 00800",,,,,"-13.5227852,-71.9744568",5,,"Comida vegetariana en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJrS6xG83VbZERYgCzkYV4V6U,https://www.google.com/maps/place/?q=place_id:ChIJrS6xG83VbZERYgCzkYV4V6U,Salchipower Cusco - Fast food & Drink,Comida a domicilio,,967 738 145,+51 967 738 145,,,"-13.5300193,-71.939249",3.9,,"Salchipapa en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJH6UGHpPFBZERMP3ZKs4BgqQ,https://www.google.com/maps/place/?q=place_id:ChIJH6UGHpPFBZERMP3ZKs4BgqQ,Barbaros Pollos y Salchipapas,Restaurante de comida rápida,"Jr. Chinchaysuyo 245, Lima 15401",,,facebook.com,https://www.facebook.com/BarbarosPyS/,"-12.0264588,-77.0002112",4.2,,"Salchipapa en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJy2IRJRTVbZERct-cRGMtD50,https://www.google.com/maps/place/?q=place_id:ChIJy2IRJRTVbZERct-cRGMtD50,"Qosqu ,sangucheria & Creperia ”sabor artesanal”",Crepería,"Av. El Sol 816, Cusco 00800",902 147 631,+51 902 147 631,,,"-13.5234758,-71.9741327",4.9,,"Sandwichería en el distrito de Huanoquite, Paruro, Cusco, Perú"
ChIJiTzbPPvVbZERMKP_8JgOR30,https://www.google.com/maps/place/?q=place_id:ChIJiTzbPPvVbZERMKP_8JgOR30,TyT Sandwicheria SRL,Bocatería,Cusco 08002,990 993 957,+51 990 993 957,,,"-13.529455899999999,-71.96253229999999",1,,"Sandwichería en el distrito de Huanoquite, Paruro, Cusco, Perú"
