id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ01z_yuXVbZER7ez0FSfRMM4,https://www.google.com/maps/place/?q=place_id:ChIJ01z_yuXVbZER7ez0FSfRMM4,AFEL Pollos Quillabamba.,Pollería,"Av. Infancia 538-B, Cusco 08002",,,facebook.com,https://www.facebook.com/AFELPollosQuillabamba,"-13.528765199999999,-71.9686287",3.7,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJaVo8fABpbpERThRWZB8Qs7s,https://www.google.com/maps/place/?q=place_id:ChIJaVo8fABpbpERThRWZB8Qs7s,Restaurant y Polleria Brazas y Cucharones,Restaurante,"Calle loreto 117, Paucartambo",963 597 998,+51 963 597 998,,,"-13.3173876,-71.5965992",4.8,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJKca_2wHVbZERctjzLmVlw9M,https://www.google.com/maps/place/?q=place_id:ChIJKca_2wHVbZERctjzLmVlw9M,Pollos Quillabamba Cusco el crocantito,Tienda de aves de corral,"jr Anta M -10 Urb. San Borja M - 10, Cusco 08002",956 695 065,+51 956 695 065,facebook.com,https://www.facebook.com/PQC.POLLITOS.QUILLABAMBA.CUSCO,"-13.528844699999999,-71.9639381",4.2,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJh5-9PAzXbZERHoX7UZwayuc,https://www.google.com/maps/place/?q=place_id:ChIJh5-9PAzXbZERHoX7UZwayuc,Sisary Pollos Quillabamba,Restaurante,"Ayacucho N° 237, Cusco 08000",964 969 740,+51 964 969 740,,,"-13.5205559,-71.9785158",4,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJPYZSPXTWbZERQAxk6WPcyuk,https://www.google.com/maps/place/?q=place_id:ChIJPYZSPXTWbZERQAxk6WPcyuk,Grimaldos,Restaurante especializado en pollo,"C. Sta. Clara 303, Cusco 08002",984 903 485,+51 984 903 485,m.facebook.com,https://m.facebook.com/profile.php?id=100057616982556,"-13.519024799999999,-71.9808747",3.1,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJC2rW1eB-bpERp8YMK3gQXvg,https://www.google.com/maps/place/?q=place_id:ChIJC2rW1eB-bpERp8YMK3gQXvg,Polleria Roly CUSCO,Restaurante,"13°32'31.0""S 71°53'56., 4 De Octubre, Cusco",,,,,"-13.5419456,-71.8989802",3.8,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJK8IB3v7dbZER8q4lCMzVzHE,https://www.google.com/maps/place/?q=place_id:ChIJK8IB3v7dbZER8q4lCMzVzHE,Polleria los angeles,Restaurante,"Jirón Comercio 311, Urubamba 08661",979 711 430,+51 979 711 430,,,"-13.3066743,-72.1151971",2.5,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJLbnyJZ5_bpERtwAZ-1oIPWo,https://www.google.com/maps/place/?q=place_id:ChIJLbnyJZ5_bpERtwAZ-1oIPWo,SISARY II Pollos Quillabamba,Restaurante,"Larapa A-4, Cusco 08002",964 969 740,+51 964 969 740,ola.click,https://sisarypollosquillabamba.ola.click/,"-13.537311899999999,-71.9049442",,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJ_7hI9XnVbZERKoHOFPCmHaQ,https://www.google.com/maps/place/?q=place_id:ChIJ_7hI9XnVbZERKoHOFPCmHaQ,"Polleria ""ROLY"" Quillabamba",Restaurante especializado en pollo,"Av 28 de Julio, Cusco 08007",930 655 198,+51 930 655 198,facebook.com,https://www.facebook.com/RolyQuillabamba,"-13.532077099999999,-71.9668071",4.5,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
ChIJ2zfsD-DVbZERVgy-ZVQPQD4,https://www.google.com/maps/place/?q=place_id:ChIJ2zfsD-DVbZERVgy-ZVQPQD4,Pollería Don Lucho,Restaurante,"F2GF+JXX, Av. Pardo Paseo de los Héroes, Cusco 08002",(084) 523858,+51 84 523858,,,"-13.5233938,-71.9750072",4.1,,"Pollería en el distrito de Challabamba, Paucartambo, Cusco, Perú"
