id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJn3YzdvyNbpERUYYHTs0pfQE,https://www.google.com/maps/place/?q=place_id:ChIJn3YzdvyNbpERUYYHTs0pfQE,Pollos Quispicanchis,Granja,Urcos 08220,984 422 587,+51 984 422 587,,,"-13.726716699999999,-71.6131091",5,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJM9DoJ9yTbpER6Lnr6IyA8SQ,https://www.google.com/maps/place/?q=place_id:ChIJM9DoJ9yTbpER6Lnr6IyA8SQ,Pollería la LEÑA DE AYMACHOQUE,Tienda de aves de corral,"6CHG+H88, 08222",,,,,"-13.7710282,-71.5740806",,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJodVD8uLVbZERddvQi1bGKlU,https://www.google.com/maps/place/?q=place_id:ChIJodVD8uLVbZERddvQi1bGKlU,Pollos a la Brasa SUMAQ,Restaurante,"Av. Tomasa Ttito Condemayta 206, Cusco 08000",,,,,"-13.5237082,-71.9662032",3.9,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJKca_2wHVbZERctjzLmVlw9M,https://www.google.com/maps/place/?q=place_id:ChIJKca_2wHVbZERctjzLmVlw9M,Pollos Quillabamba Cusco el crocantito,Tienda de aves de corral,"jr Anta M -10 Urb. San Borja M - 10, Cusco 08002",956 695 065,+51 956 695 065,facebook.com,https://www.facebook.com/PQC.POLLITOS.QUILLABAMBA.CUSCO,"-13.528844699999999,-71.9639381",4.2,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJW-nt-vZ9bpERKFkMQASDlNY,https://www.google.com/maps/place/?q=place_id:ChIJW-nt-vZ9bpERKFkMQASDlNY,Pollería Chiuchikuna,Restaurante,"Carr. Cusco - Paucartambo, Saylla 08200",935 797 752,+51 935 797 752,,,"-13.5713195,-71.8272168",3.6,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJtw-HVCF_bpERD9KKflznk3c,https://www.google.com/maps/place/?q=place_id:ChIJtw-HVCF_bpERD9KKflznk3c,POLLERIA PIKOL,Restaurante especializado en pollo,"F38Q+3WF, Prol. Av. de la Cultura, Cusco 08006",993 484 050,+51 993 484 050,,,"-13.5348074,-71.9101951",3.5,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJ7aYbOM7VbZERevtYen_aIkQ,https://www.google.com/maps/place/?q=place_id:ChIJ7aYbOM7VbZERevtYen_aIkQ,Pollos a la brasa SUMAQ,Pollería,"08003, Cusco 08003",,,,,"-13.524121099999999,-71.95785479999999",3.9,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJ5zbqTHN_bpERqWGux_u3flQ,https://www.google.com/maps/place/?q=place_id:ChIJ5zbqTHN_bpERqWGux_u3flQ,Pollería Sumaq,Restaurante,"Av. de la Cultura 1249, Cusco 08004",900 300 000,+51 900 300 000,,,"-13.5282045,-71.9388408",3.9,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJcckhXFyNbpERcurKR_jbdLU,https://www.google.com/maps/place/?q=place_id:ChIJcckhXFyNbpERcurKR_jbdLU,"Pollos Quillabanba ""Arizaca""",Restaurante,Urcos 08219,946 416 174,+51 946 416 174,,,"-13.6856081,-71.6231651",4.3,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJzZShewD3bpERXb1afkLBRJI,https://www.google.com/maps/place/?q=place_id:ChIJzZShewD3bpERXb1afkLBRJI,Pollos a la brasa EL ORÉGANO,Restaurante especializado en pollo,"9JF6+2G6, Interoceanica Sur, Ocongate 08171",,,,,"-13.6271229,-71.3881178",,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJ53twUVF_bpERIpQRAoq2-b4,https://www.google.com/maps/place/?q=place_id:ChIJ53twUVF_bpERIpQRAoq2-b4,Polleria Don Hernan,Restaurante,Cusco 08003,984 182 416,+51 984 182 416,,,"-13.5265969,-71.945595",4,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJoZXDP5XVbZEReNTkpBTOX-4,https://www.google.com/maps/place/?q=place_id:ChIJoZXDP5XVbZEReNTkpBTOX-4,CUSCO CHICKEN Pollería,Restaurante especializado en pollo,"Anta A 4, Cusco 08002",978 330 036,+51 978 330 036,wa.me,https://wa.me/c/51978330036,"-13.530258199999999,-71.9637489",4.4,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJe6KQi1V_bpERBcVAeo7H9jU,https://www.google.com/maps/place/?q=place_id:ChIJe6KQi1V_bpERBcVAeo7H9jU,Pollerías La Granja Real - Prado,Restaurante especializado en pollo,"Pucapucara K 12, Cusco 08003",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.5246553,-71.9516434",4.1,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJs4WL8wjtbpERyL41_gl2npw,https://www.google.com/maps/place/?q=place_id:ChIJs4WL8wjtbpERyL41_gl2npw,El mollecito,Restaurante,"Amaru pata Pasando acopata a 500 metros lado derecho, Quiquijana",956 333 669,+51 956 333 669,,,"-13.8122007,-71.54909099999999",4,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJVcT9MZp_bpERyAFuvv4SNX0,https://www.google.com/maps/place/?q=place_id:ChIJVcT9MZp_bpERyAFuvv4SNX0,POLLERIA LA GRANJA ANDINA,Pollería,"LOS PINOS A-1, Cusco 08006",(084) 585465,+51 84 585465,,,"-13.540039799999999,-71.9045028",4,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJg1L0lvrVbZERveGpLmKmufA,https://www.google.com/maps/place/?q=place_id:ChIJg1L0lvrVbZERveGpLmKmufA,Pollería Las Delicias,Restaurante,"Jazmines Mz.L - Lt.5, Cusco 08002",989 538 007,+51 989 538 007,,,"-13.5321862,-71.9613246",3.8,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJf5aWrN_VbZER76kKEiNMUJE,https://www.google.com/maps/place/?q=place_id:ChIJf5aWrN_VbZER76kKEiNMUJE,PIKOL Polleria & Eventos,Restaurante especializado en pollo,"Miguel Grau 895, Cusco 08007",993 484 050,+51 993 484 050,,,"-13.525623699999999,-71.9781007",3.7,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJAQAQuiB_bpERL_r9UYtJYh4,https://www.google.com/maps/place/?q=place_id:ChIJAQAQuiB_bpERL_r9UYtJYh4,Pollerías La Granja Real - Cachimayo,Restaurante especializado en pollo,"Prolongacion Collasuyo con, Cusco 08006",(084) 643004,+51 84 643004,polleriaslagranja.com,http://www.polleriaslagranja.com/,"-13.532976699999999,-71.907909",3.9,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJ2zfsD-DVbZERVgy-ZVQPQD4,https://www.google.com/maps/place/?q=place_id:ChIJ2zfsD-DVbZERVgy-ZVQPQD4,Pollería Don Lucho,Restaurante,"F2GF+JXX, Av. Pardo Paseo de los Héroes, Cusco 08002",(084) 523858,+51 84 523858,,,"-13.5233938,-71.9750072",4.1,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJQc3ddVZ_bpERD9PmPKoLGTE,https://www.google.com/maps/place/?q=place_id:ChIJQc3ddVZ_bpERD9PmPKoLGTE,POLLERIAS PIKOL CUSCO,Restaurante especializado en pollo,"F3C5+V58, Cusco 08003",,,,,"-13.527826699999999,-71.94204289999999",4,,"Pollería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJ5zH27Qx_bpERJOeh1WFgF4M,https://www.google.com/maps/place/?q=place_id:ChIJ5zH27Qx_bpERJOeh1WFgF4M,Pizzeria Venecia,Restaurante,"F3F3+4JM, Av. de La Cultura, Cusco 08003",,,,,"-13.5271653,-71.9459412",4.6,,"Pizzería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJHdN7ET7rbpERFaZu2WKjPjU,https://www.google.com/maps/place/?q=place_id:ChIJHdN7ET7rbpERFaZu2WKjPjU,Colca Buffet Restaurant,Restaurante,"00800, Quiquijana",971 691 172,+51 971 691 172,,,"-13.8551491,-71.5249035",4.4,,"Pizzería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJUcKvYQfXbZERszx1CMoXphQ,https://www.google.com/maps/place/?q=place_id:ChIJUcKvYQfXbZERszx1CMoXphQ,SUMAQ PIZZA PIZZERIA CUSCO,Pizzería,"Cuesta santa 664, Cusco 08000",987 340 713,+51 987 340 713,facebook.com,https://www.facebook.com/profile.php?id=100092573816425&mibextid=ZbWKwL,"-13.514810899999999,-71.9847553",4.7,,"Pizzería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
ChIJ-b0qX3PWbZER7qJNnXC2org,https://www.google.com/maps/place/?q=place_id:ChIJ-b0qX3PWbZER7qJNnXC2org,Pizzeria Trattoria Casa Grande Cusco (La mejor Pizza Artesanal a Leña),Pizzería,"Sta. Catalina Ancha 357, Cusco 08000",951 377 046,+51 951 377 046,pizzeriatrattoriacasagrande.com,http://www.pizzeriatrattoriacasagrande.com/,"-13.517026999999999,-71.9766772",4.5,,"Pizzería en el distrito de Quiquijana, Quispicanchi, Cusco, Perú"
