id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJgdmSD-jdbZERVSgFK1sCQvE,https://www.google.com/maps/place/?q=place_id:ChIJgdmSD-jdbZERVSgFK1sCQvE,pollería Amigos - Urubamba,Restaurante especializado en pollo,"Av. Berriozabal 237, Urubamba 08661",908 913 071,+51 908 913 071,google.com,https://www.google.com/polleriaamigosurubamba,"-13.305746899999999,-72.1185904",4,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJK8IB3v7dbZER8q4lCMzVzHE,https://www.google.com/maps/place/?q=place_id:ChIJK8IB3v7dbZER8q4lCMzVzHE,Polleria los angeles,Restaurante,"Jirón Comercio 311, Urubamba 08661",979 711 430,+51 979 711 430,,,"-13.3066743,-72.1151971",2.5,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJ2WABqxndbZERXvIBZwkiC1s,https://www.google.com/maps/place/?q=place_id:ChIJ2WABqxndbZERXvIBZwkiC1s,Oro's,Restaurante especializado en pollo,"Av. 1 de Mayo 1, Urubamba 08661",991 271 643,+51 991 271 643,,,"-13.303847399999999,-72.1190218",3.7,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJmwbSME3dbZER6-yuE4jaXgc,https://www.google.com/maps/place/?q=place_id:ChIJmwbSME3dbZER6-yuE4jaXgc,Pollería Inkas a la leña,Restaurante,"Av. Mariscal Castilla 565, Urubamba 08661",946 559 744,+51 946 559 744,facebook.com,https://web.facebook.com/profile.php?id=100090971452393,"-13.3078828,-72.1144654",3.3,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJjxcx0iPdbZERaHRucotjiKI,https://www.google.com/maps/place/?q=place_id:ChIJjxcx0iPdbZERaHRucotjiKI,Pollería GUYIN,Restaurante especializado en pollo,"Av. Mariscal Ramon Castilla 300, Urubamba 08661",937 662 372,+51 937 662 372,,,"-13.307568,-72.114166",3.5,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJEQxBMXvdbZER09JIEI0G998,https://www.google.com/maps/place/?q=place_id:ChIJEQxBMXvdbZER09JIEI0G998,Pollería D' CARBON del Valle,Restaurante especializado en pollo,"51, Urubamba 08661",,,,,"-13.3071597,-72.1142079",2.2,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJPTZERyjdbZERn4Z5dJBMyQA,https://www.google.com/maps/place/?q=place_id:ChIJPTZERyjdbZERn4Z5dJBMyQA,La Rueda Pollos y Parrillas,Tienda de aves de corral,"Av. 9 de Noviembre 440, Urubamba 08661",929 417 947,+51 929 417 947,,,"-13.3083572,-72.11188349999999",1,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJXefHCwzdbZER3WxD57Fl2GM,https://www.google.com/maps/place/?q=place_id:ChIJXefHCwzdbZER3WxD57Fl2GM,DON POLLO,Tienda de aves de corral,"175, Urubamba 08661",(084) 201050,+51 84 201050,,,"-13.3049176,-72.1178651",5,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJc7v_SADdbZERDYiez8cfFz4,https://www.google.com/maps/place/?q=place_id:ChIJc7v_SADdbZERDYiez8cfFz4,ANDINO'S Pollería & Pizzería,Restaurante,"Sagrario 738-754, Urubamba 08661",,,,,"-13.3043829,-72.1173515",5,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
ChIJMfXBJ3rDbZERjz3CIzqX6To,https://www.google.com/maps/place/?q=place_id:ChIJMfXBJ3rDbZERjz3CIzqX6To,Restaurant y Polleria Alondra,Restaurante,"CU-1166 / Jerusalén 303-283, Maras 08656",920 821 004,+51 920 821 004,,,"-13.3350771,-72.1569269",4.6,,"Pollería en el distrito de Maras, Urubamba, Cusco, Perú"
