id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJG2NHRm4LDpERSk2igWmA0Lc,https://www.google.com/maps/place/?q=place_id:ChIJG2NHRm4LDpERSk2igWmA0Lc,POLLERIA LA VILLA,Restaurante de comida tradicional americana,"Jirón Manco Capac 220, Huancavelica 09001",978 108 552,+51 978 108 552,facebook.com,https://www.facebook.com/LaVillaHuancavelica/,"-12.7858121,-74.9731351",4.1,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJwZLwdwALDpER7EAd40-pbSg,https://www.google.com/maps/place/?q=place_id:ChIJwZLwdwALDpER7EAd40-pbSg,Pollos y Parrilas ( A LA LEÑA),Restaurante especializado en pollo,"628H+9MW, Jr. Huayna Capac, Huancavelica 09001",,,,,"-12.784021899999999,-74.97080849999999",5,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJL9g7FQ0LDpERG6N2keLG7DE,https://www.google.com/maps/place/?q=place_id:ChIJL9g7FQ0LDpERG6N2keLG7DE,Pollería Mamá Berta,Restaurante especializado en pollo,"J1, Huancavelica 09001",,,,,"-12.782146299999999,-74.9687194",5,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJcV_pGwALDpER4kUBXUXkwJA,https://www.google.com/maps/place/?q=place_id:ChIJcV_pGwALDpER4kUBXUXkwJA,Pollería Huancayo II,Restaurante,"627G+385, Jr. Virrey Toledo 295, Huancavelica 09001",,,,,"-12.7874973,-74.9741513",3,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJU2wLMSALDpERgqoN7YisMy4,https://www.google.com/maps/place/?q=place_id:ChIJU2wLMSALDpERgqoN7YisMy4,Polleria CHANIN,Restaurante,"629J+5HG, Av. 28 de Abril, Huancavelica 09001",975 794 069,+51 975 794 069,,,"-12.7820574,-74.9685571",3.6,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJBe9JJ0ELDpERdZ_0l0AjHmA,https://www.google.com/maps/place/?q=place_id:ChIJBe9JJ0ELDpERdZ_0l0AjHmA,"Pollería Chifa ""Buda de Jade""",Restaurante,"Av, San Cristobal N°250, Huancavelica 09001",917 496 629,+51 917 496 629,,,"-12.783405199999999,-74.9715497",,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJP-a0cJ8LDpERT2zHxkyQP7k,https://www.google.com/maps/place/?q=place_id:ChIJP-a0cJ8LDpERT2zHxkyQP7k,Pollería la plaza,Restaurante,"Jirón Manuel Ascencio Segura 186, Huancavelica 09001",,,,,"-12.7876456,-74.9733852",3,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJY_jDsaGXDpEROeOnQCsliB0,https://www.google.com/maps/place/?q=place_id:ChIJY_jDsaGXDpEROeOnQCsliB0,Restaurant & Polleria La Tarmeñita,Restaurante,"3 De Diciembre 12428, Junín 12428",,,,,"-12.1079387,-75.2353275",,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJZ9_i35wLDpER8H_5YjwToR0,https://www.google.com/maps/place/?q=place_id:ChIJZ9_i35wLDpER8H_5YjwToR0,Polleria Ccarhuarrazu,Restaurante,"Av. Celestino Manchego Muñoz, Huancavelica 09001",967 995 008,+51 967 995 008,,,"-12.786317799999999,-74.96890739999999",3.5,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJdwqlUqkLDpER-LWo_gpnR0o,https://www.google.com/maps/place/?q=place_id:ChIJdwqlUqkLDpER-LWo_gpnR0o,golden,Pollería,"Jr. Virrey Toledo 257, Huancavelica 09001",933 350 040,+51 933 350 040,,,"-12.7873064,-74.97396549999999",,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJn9EIcD0LDpERXXdkEOPRIeU,https://www.google.com/maps/place/?q=place_id:ChIJn9EIcD0LDpERXXdkEOPRIeU,Pollos Y Parrilladas Fogones,Restaurante especializado en pollo,"627J+GJF, Huancavelica 09001",,,,,"-12.786185999999999,-74.9684663",3.7,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJBeNFiIoKDpERYAdYFGk4VT8,https://www.google.com/maps/place/?q=place_id:ChIJBeNFiIoKDpERYAdYFGk4VT8,Restaurante Los Leones,Restaurante,"Garcilaso De La Vega 128, Huancavelica 09001",949 500 964,+51 949 500 964,,,"-12.7834497,-74.98816029999999",3.8,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJtw6gGgCXDpERwVxPiRxMz2I,https://www.google.com/maps/place/?q=place_id:ChIJtw6gGgCXDpERwVxPiRxMz2I,"Fogones, pollos y parrillas",Tienda de aves de corral,"Av. Huancavelica 1953, 12006",,,,,"-12.0542918,-75.224863",5,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJ7af4RLALDpERvxvcJiBfMP0,https://www.google.com/maps/place/?q=place_id:ChIJ7af4RLALDpERvxvcJiBfMP0,Elizabet Pollos a la Brasa,Restaurante,"Jr. Manuel P. Fernández 287, Huancavelica 09001",,,,,"-12.7889111,-74.9754519",,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJB-yPxd0LDpER7rySFc2jQWo,https://www.google.com/maps/place/?q=place_id:ChIJB-yPxd0LDpER7rySFc2jQWo,NOSKYS BROASTERIA,Restaurante,"051, Huancavelica 05167",967 693 448,+51 967 693 448,,,"-12.788229,-74.9725121",3,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJD7_DAQoLDpERIs9oADQVGRw,https://www.google.com/maps/place/?q=place_id:ChIJD7_DAQoLDpERIs9oADQVGRw,PIZZ-BROSS,Restaurante especializado en pollo,"San Cristobal, Huancavelica 09001",994 871 442,+51 994 871 442,,,"-12.783472399999999,-74.97134199999999",5,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJp3J8LnwKDpERTJgAnUUliN8,https://www.google.com/maps/place/?q=place_id:ChIJp3J8LnwKDpERTJgAnUUliN8,Peru Chef,Restaurante,"627G+C9G, Esquina de, Jr. Arequipa, y, Jr, Jiron Agustin Gamarra, Huancavelica",,,,,"-12.786440599999999,-74.9740561",3.6,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJTRJx-doLDpEReBFvI_nCNCY,https://www.google.com/maps/place/?q=place_id:ChIJTRJx-doLDpEReBFvI_nCNCY,"Chifa-Polleria ""La Pequeña Suiza""",Restaurante chino,Huancavelica 09001,982 808 061,+51 982 808 061,,,"-12.7774665,-74.9957104",1,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJU59iELaXDpEROxfZhGM8dCs,https://www.google.com/maps/place/?q=place_id:ChIJU59iELaXDpEROxfZhGM8dCs,Polleria «La Hoguera»,Restaurante,"Av. Huancavelica 2009, 12006",(064) 411304,+51 64 411304,,,"-12.0539771,-75.2250811",5,,"Pollería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJJ91mzNdvDpERxM2zHHb0ibA,https://www.google.com/maps/place/?q=place_id:ChIJJ91mzNdvDpERxM2zHHb0ibA,Manta,,09810,,,,,"-12.638392999999999,-75.1778853",,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJWVneJR0LDpERrq2zKgSGge4,https://www.google.com/maps/place/?q=place_id:ChIJWVneJR0LDpERrq2zKgSGge4,Marisquería Puerto Marino,Marisquería,"Jr. Jorge Chávez 210, Huancavelica 09001",945 502 731,+51 945 502 731,,,"-12.787394599999999,-74.9762875",4.6,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJA_gb8I8LDpERPwn7F9FCVj8,https://www.google.com/maps/place/?q=place_id:ChIJA_gb8I8LDpERPwn7F9FCVj8,"Cevichería ""El Mirador"" ceviches y criollos",Restaurante,"09000, Huancavelica 09000",,,,,"-12.788849299999999,-74.9805755",2.7,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJiczLIaHhK5ARImkB2vCEt0w,https://www.google.com/maps/place/?q=place_id:ChIJiczLIaHhK5ARImkB2vCEt0w,Fish Cevichería,Restaurante,"Entre calle, Av Flavio Reyes 31, 30 y, 130802 Manta, Ecuador",096 350 4663,+593 96 350 4663,,,"-0.9443476,-80.74102189999999",4.5,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJic0SVyELDpERAmBLLtwW6B8,https://www.google.com/maps/place/?q=place_id:ChIJic0SVyELDpERAmBLLtwW6B8,Pez Rojo Cevicheria,Restaurante,"Jirón Monseñor Demetrio Molly 210-571, Huancavelica 09001",966 718 710,+51 966 718 710,,,"-12.7877878,-74.9742273",3.7,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJNyVPTSoLDpER-WtHDuk5Km4,https://www.google.com/maps/place/?q=place_id:ChIJNyVPTSoLDpER-WtHDuk5Km4,los delfines,Restaurante,"tras el parque san Sebastián- del cercado, Pasaje Miraflores s/n, Huancavelica 09001",973 982 924,+51 973 982 924,,,"-12.788060199999999,-74.9765419",3.6,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJWfJxYzHhK5ARh3JoRvQbOCQ,https://www.google.com/maps/place/?q=place_id:ChIJWfJxYzHhK5ARh3JoRvQbOCQ,Fish Cevichería - Córdova,Restaurante,"Manta, Ecuador",(05) 262-2982,+593 5-262-2982,,,"-0.9434058999999999,-80.7272928",4.6,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJxe_OOHgLDpERgMqtUcOmQQs,https://www.google.com/maps/place/?q=place_id:ChIJxe_OOHgLDpERgMqtUcOmQQs,Cevichería Pez Marino,Restaurante,"Jr. Nicolás de Piérola 495-387, Huancavelica 09001",,,,,"-12.786970799999999,-74.9751989",3.9,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJ_T6qNn8KDpER-zs0kiE3038,https://www.google.com/maps/place/?q=place_id:ChIJ_T6qNn8KDpER-zs0kiE3038,Chifa Marisqueria Y Cebicheria,Restaurante,Huancavelica 09001,,,,,"-12.788234899999999,-74.9694449",4,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJubOI8rrhK5ARxvv3-wZ4DP4,https://www.google.com/maps/place/?q=place_id:ChIJubOI8rrhK5ARxvv3-wZ4DP4,La Cevichería,Restaurante,"frente al Portal del Sol, Av. Universitaria 2, Manta, Ecuador",099 435 2048,+593 99 435 2048,,,"-0.9467388999999999,-80.7470763",4.1,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJm3Gx_GBKQpER8T8fLFYIV3I,https://www.google.com/maps/place/?q=place_id:ChIJm3Gx_GBKQpER8T8fLFYIV3I,Manta Yanahuara,Restaurante,"URB. MAGISTERIAL TERCERA ETAPA NRO174 MANZANA A, Yanahuara 04013",987 099 972,+51 987 099 972,mantaperu.com,http://www.mantaperu.com/,"-16.4007941,-71.55304509999999",4.4,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJV8cDCzThK5ARmhFOey4fivU,https://www.google.com/maps/place/?q=place_id:ChIJV8cDCzThK5ARmhFOey4fivU,Cevicheria Pepe 2,Marisquería,"373F+CV8, Av. 8, Manta, Ecuador",,,,,"-0.9464555,-80.7253006",4.6,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
ChIJL-fYCUnhK5ARCFiWrHieaa8,https://www.google.com/maps/place/?q=place_id:ChIJL-fYCUnhK5ARCFiWrHieaa8,Cevichería 《Juventud Italiana》,Restaurante,"27WC+WG2, Av. 24, Manta, Ecuador",096 377 4117,+593 96 377 4117,,,"-0.9527414,-80.7287202",4.5,,"Cevichería en el distrito de Manta, Huancavelica, Huancavelica, Perú"
