id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJpc80Bc7TDZER6JBll9WOMns,https://www.google.com/maps/place/?q=place_id:ChIJpc80Bc7TDZER6JBll9WOMns,JOMARS POLLOS Y PARRILLAS,Pollería,"09156, Daniel Hernández",916 669 817,+51 916 669 817,,,"-12.3954176,-74.8625332",5,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJG2NHRm4LDpERSk2igWmA0Lc,https://www.google.com/maps/place/?q=place_id:ChIJG2NHRm4LDpERSk2igWmA0Lc,POLLERIA LA VILLA,Restaurante de comida tradicional americana,"Jirón Manco Capac 220, Huancavelica 09001",978 108 552,+51 978 108 552,facebook.com,https://www.facebook.com/LaVillaHuancavelica/,"-12.7858121,-74.9731351",4.1,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJwZLwdwALDpER7EAd40-pbSg,https://www.google.com/maps/place/?q=place_id:ChIJwZLwdwALDpER7EAd40-pbSg,Pollos y Parrilas ( A LA LEÑA),Restaurante especializado en pollo,"628H+9MW, Jr. Huayna Capac, Huancavelica 09001",,,,,"-12.784021899999999,-74.97080849999999",5,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJcV_pGwALDpER4kUBXUXkwJA,https://www.google.com/maps/place/?q=place_id:ChIJcV_pGwALDpER4kUBXUXkwJA,Pollería Huancayo II,Restaurante,"627G+385, Jr. Virrey Toledo 295, Huancavelica 09001",,,,,"-12.7874973,-74.9741513",3,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJP-a0cJ8LDpERT2zHxkyQP7k,https://www.google.com/maps/place/?q=place_id:ChIJP-a0cJ8LDpERT2zHxkyQP7k,Pollería la plaza,Restaurante,"Jirón Manuel Ascencio Segura 186, Huancavelica 09001",,,,,"-12.7876456,-74.9733852",3,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJBe9JJ0ELDpERdZ_0l0AjHmA,https://www.google.com/maps/place/?q=place_id:ChIJBe9JJ0ELDpERdZ_0l0AjHmA,"Pollería Chifa ""Buda de Jade""",Restaurante,"Av, San Cristobal N°250, Huancavelica 09001",917 496 629,+51 917 496 629,,,"-12.783405199999999,-74.9715497",,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJL9g7FQ0LDpERG6N2keLG7DE,https://www.google.com/maps/place/?q=place_id:ChIJL9g7FQ0LDpERG6N2keLG7DE,Pollería Mamá Berta,Restaurante especializado en pollo,"J1, Huancavelica 09001",,,,,"-12.782146299999999,-74.9687194",5,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJZ88_dwCXDpERRGiFyYdOaNk,https://www.google.com/maps/place/?q=place_id:ChIJZ88_dwCXDpERRGiFyYdOaNk,Pollería sullca,Tienda de aves de corral,"Parque grau, Jose Olaya 178, Huancayo 12002",,,,,"-12.0637859,-75.2001113",,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJU2wLMSALDpERgqoN7YisMy4,https://www.google.com/maps/place/?q=place_id:ChIJU2wLMSALDpERgqoN7YisMy4,Polleria CHANIN,Restaurante,"629J+5HG, Av. 28 de Abril, Huancavelica 09001",975 794 069,+51 975 794 069,,,"-12.7820574,-74.9685571",3.6,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJj0rc9ReXDpERH9PoKzT8qD0,https://www.google.com/maps/place/?q=place_id:ChIJj0rc9ReXDpERH9PoKzT8qD0,Pollos A La Brasa La Chacra,Restaurante,12000,,,,,"-12.102718999999999,-75.1894544",5,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJ7af4RLALDpERvxvcJiBfMP0,https://www.google.com/maps/place/?q=place_id:ChIJ7af4RLALDpERvxvcJiBfMP0,Elizabet Pollos a la Brasa,Restaurante,"Jr. Manuel P. Fernández 287, Huancavelica 09001",,,,,"-12.7889111,-74.9754519",,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJ9wUvBQDTDZERNVfsYRdFNxs,https://www.google.com/maps/place/?q=place_id:ChIJ9wUvBQDTDZERNVfsYRdFNxs,"POLLERIA ""LA TAYA""",Restaurante,"Jr. Colon 151, Pampas 09156",,,,,"-12.399494899999999,-74.8685029",4.7,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJZ9_i35wLDpER8H_5YjwToR0,https://www.google.com/maps/place/?q=place_id:ChIJZ9_i35wLDpER8H_5YjwToR0,Polleria Ccarhuarrazu,Restaurante,"Av. Celestino Manchego Muñoz, Huancavelica 09001",967 995 008,+51 967 995 008,,,"-12.786317799999999,-74.96890739999999",3.5,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJCVTbEfzTDZERBou3qf17OnU,https://www.google.com/maps/place/?q=place_id:ChIJCVTbEfzTDZERBou3qf17OnU,Pollos y parrillas chifa dahana,Tienda de aves de corral,"Av. Arequipa 09156, Pampas 09156",906 620 839,+51 906 620 839,,,"-12.3964264,-74.8639783",,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJW8SpBo3TDZERgnXIc0u1d_c,https://www.google.com/maps/place/?q=place_id:ChIJW8SpBo3TDZERgnXIc0u1d_c,"Polleria ""Aminic""",Restaurante familiar,"Jr. Moore 199, Pampas 09156",992 804 639,+51 992 804 639,,,"-12.3998604,-74.8683089",4.3,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJn9EIcD0LDpERXXdkEOPRIeU,https://www.google.com/maps/place/?q=place_id:ChIJn9EIcD0LDpERXXdkEOPRIeU,Pollos Y Parrilladas Fogones,Restaurante especializado en pollo,"627J+GJF, Huancavelica 09001",,,,,"-12.786185999999999,-74.9684663",3.7,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJgwEyA_qWDpERkke86Rd22xE,https://www.google.com/maps/place/?q=place_id:ChIJgwEyA_qWDpERkke86Rd22xE,Restaurante Chifa Polleria,Restaurante,12003,,,,,"-12.088553899999999,-75.21219239999999",5,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJdwqlUqkLDpER-LWo_gpnR0o,https://www.google.com/maps/place/?q=place_id:ChIJdwqlUqkLDpER-LWo_gpnR0o,golden,Pollería,"Jr. Virrey Toledo 257, Huancavelica 09001",933 350 040,+51 933 350 040,,,"-12.7873064,-74.97396549999999",,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJP6zcCPqWDpERd_DdlTm7hIM,https://www.google.com/maps/place/?q=place_id:ChIJP6zcCPqWDpERd_DdlTm7hIM,Pollos Don Víctor,Pollería,12003,902 251 858,+51 902 251 858,,,"-12.0891843,-75.21260509999999",5,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJQ2BdIvmWDpERDO3ur8zNFvE,https://www.google.com/maps/place/?q=place_id:ChIJQ2BdIvmWDpERDO3ur8zNFvE,D' Brasa,Restaurante especializado en pollo,"Av. Huancavelica 586, Huancayo 12003",977 326 043,+51 977 326 043,,,"-12.0858352,-75.2084316",4,,"Pollería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJA_gb8I8LDpERPwn7F9FCVj8,https://www.google.com/maps/place/?q=place_id:ChIJA_gb8I8LDpERPwn7F9FCVj8,"Cevichería ""El Mirador"" ceviches y criollos",Restaurante,"09000, Huancavelica 09000",,,,,"-12.788849299999999,-74.9805755",2.7,,"Cevichería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJiwiO3zvPBZERIiHvO3FXjJk,https://www.google.com/maps/place/?q=place_id:ChIJiwiO3zvPBZERIiHvO3FXjJk,El Peje,Restaurante,"Jr. C. A. Salaverry 3858, Lima 15301",(01) 7769296,+51 1 7769296,,,"-11.988979899999999,-77.06535939999999",4.4,,"Cevichería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
ChIJic0SVyELDpERAmBLLtwW6B8,https://www.google.com/maps/place/?q=place_id:ChIJic0SVyELDpERAmBLLtwW6B8,Pez Rojo Cevicheria,Restaurante,"Jirón Monseñor Demetrio Molly 210-571, Huancavelica 09001",966 718 710,+51 966 718 710,,,"-12.7877878,-74.9742273",3.7,,"Cevichería en el distrito de Daniel Hernández, Tayacaja, Huancavelica, Perú"
