id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJNcVF4ZiVDpERaFNB3ew-5UI,https://www.google.com/maps/place/?q=place_id:ChIJNcVF4ZiVDpERaFNB3ew-5UI,El Roble CHUPACA,Restaurante,"Andrea Arauco, 358, Chupaca 12456",(064) 393589,+51 64 393589,,,"-12.062065599999999,-75.28677689999999",3.5,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJG2NHRm4LDpERSk2igWmA0Lc,https://www.google.com/maps/place/?q=place_id:ChIJG2NHRm4LDpERSk2igWmA0Lc,POLLERIA LA VILLA,Restaurante de comida tradicional americana,"Jirón Manco Capac 220, Huancavelica 09001",978 108 552,+51 978 108 552,facebook.com,https://www.facebook.com/LaVillaHuancavelica/,"-12.7858121,-74.9731351",4.1,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJpeZH5hS5DpERNE4wOGRkNNc,https://www.google.com/maps/place/?q=place_id:ChIJpeZH5hS5DpERNE4wOGRkNNc,Pollería el roble,Carnicería,"Jr. Bolivar 525-407, Concepción 12126",974 706 706,+51 974 706 706,,,"-11.9185426,-75.3139954",4,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJpa4LJQDNDpERgP8YhGVnLFQ,https://www.google.com/maps/place/?q=place_id:ChIJpa4LJQDNDpERgP8YhGVnLFQ,Pollos y parrillas El Roble prime,Restaurante especializado en pollo,"Jirón Junín 1150, Jauja 12601",,,,,"-11.7777692,-75.4984494",3.8,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJvca0mzLJBZERgb3FUHRfJHA,https://www.google.com/maps/place/?q=place_id:ChIJvca0mzLJBZERgb3FUHRfJHA,Las Brasas del Roble - Polleria,Restaurante,"Av. Mariano H. Cornejo 2249, Pueblo Libre 15088",919 618 055,+51 919 618 055,m.facebook.com,https://m.facebook.com/Las-Brasas-del-Roble-108464611790245/,"-12.068455199999999,-77.0764154",4.3,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJFXneyPO4DpEROq4b0JxqhjU,https://www.google.com/maps/place/?q=place_id:ChIJFXneyPO4DpEROq4b0JxqhjU,Pollos y parrillas el Roble,Restaurante,"Jr. Bolivar 454, Concepción 12126",988 071 325,+51 988 071 325,,,"-11.9182601,-75.3140573",3.4,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJu-91f-OVDpERTNiE1vM4vgI,https://www.google.com/maps/place/?q=place_id:ChIJu-91f-OVDpERTNiE1vM4vgI,X,Huerto,"Jr. Puruchuco pilcomayo Jr. Puruchuco, Huancayo",,,,,"-12.0539282,-75.2541821",3.6,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJZ88_dwCXDpERRGiFyYdOaNk,https://www.google.com/maps/place/?q=place_id:ChIJZ88_dwCXDpERRGiFyYdOaNk,Pollería sullca,Tienda de aves de corral,"Parque grau, Jose Olaya 178, Huancayo 12002",,,,,"-12.0637859,-75.2001113",,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJleXEtkSWDpERDjdrjZCbJJg,https://www.google.com/maps/place/?q=place_id:ChIJleXEtkSWDpERDjdrjZCbJJg,El Roble,Parrilla,"Av. Daniel Alcides Carrion 1244, Huancayo 12001",959 155 020,+51 959 155 020,,,"-12.071477199999999,-75.2175893",4,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
ChIJlw5QK7rFBZERn4lkvz1Tocs,https://www.google.com/maps/place/?q=place_id:ChIJlw5QK7rFBZERn4lkvz1Tocs,Pollos ala Brasa Rocker,Restaurante,"Av. Tullipanes, Cercado de Lima 15416",920 434 875,+51 920 434 875,facebook.com,https://www.facebook.com/polleriarocker?mibextid=ZbWKwL,"-11.9536081,-77.0036597",3.4,,"Pollería en el distrito de Roble, Tayacaja, Huancavelica, Perú"
