id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJQ6R8wyQxDJERZcqp6YQF898,https://www.google.com/maps/place/?q=place_id:ChIJQ6R8wyQxDJERZcqp6YQF898,Municipalidad Distrital de Salcabamba,Oficinas de empresa,"Q6X9+7RQ, 09201",,,,,"-12.2017917,-74.78039969999999",4.3,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJU2wLMSALDpERgqoN7YisMy4,https://www.google.com/maps/place/?q=place_id:ChIJU2wLMSALDpERgqoN7YisMy4,Polleria CHANIN,Restaurante,"629J+5HG, Av. 28 de Abril, Huancavelica 09001",975 794 069,+51 975 794 069,,,"-12.7820574,-74.9685571",3.6,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJZ88_dwCXDpERRGiFyYdOaNk,https://www.google.com/maps/place/?q=place_id:ChIJZ88_dwCXDpERRGiFyYdOaNk,Pollería sullca,Tienda de aves de corral,"Parque grau, Jose Olaya 178, Huancayo 12002",,,,,"-12.0637859,-75.2001113",,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJj0rc9ReXDpERH9PoKzT8qD0,https://www.google.com/maps/place/?q=place_id:ChIJj0rc9ReXDpERH9PoKzT8qD0,Pollos A La Brasa La Chacra,Restaurante,12000,,,,,"-12.102718999999999,-75.1894544",5,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJtw6gGgCXDpERwVxPiRxMz2I,https://www.google.com/maps/place/?q=place_id:ChIJtw6gGgCXDpERwVxPiRxMz2I,"Fogones, pollos y parrillas",Tienda de aves de corral,"Av. Huancavelica 1953, 12006",,,,,"-12.0542918,-75.224863",5,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJhw2N_VebDpERlupcrTqifwM,https://www.google.com/maps/place/?q=place_id:ChIJhw2N_VebDpERlupcrTqifwM,Chicken Hooken (Pollería & Chifa),Pollería,12000,916 994 510,+51 916 994 510,chickenhooken.com,https://www.chickenhooken.com/,"-12.172502,-75.1464428",5,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJp8mH1ffTDZERG1baikWyTMs,https://www.google.com/maps/place/?q=place_id:ChIJp8mH1ffTDZERG1baikWyTMs,"Pollos y parrillas ""CRISPIN""",Restaurante especializado en pollo,"J42J+MMV, Av. Progreso, Pampas 09156",989 535 292,+51 989 535 292,,,"-12.398259699999999,-74.8683193",2,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJ8SfrdRJKkmURbPEXOqoLwIk,https://www.google.com/maps/place/?q=place_id:ChIJ8SfrdRJKkmURbPEXOqoLwIk,2B Pollos a la Brasa,Comida a domicilio,,954 679 481,+51 954 679 481,,,"-11.9903409,-75.110141",,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJ3VqeA04Tgi4RQzf2GHi6ISw,https://www.google.com/maps/place/?q=place_id:ChIJ3VqeA04Tgi4RQzf2GHi6ISw,Polleria Huanuqueño 'AL PASO',Tienda de aves de corral,,961 600 272,+51 961 600 272,,,"-9.2435385,-75.01950459999999",,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJ1w8pTDaXDpERDNKghOrzck0,https://www.google.com/maps/place/?q=place_id:ChIJ1w8pTDaXDpERDNKghOrzck0,Polleria Chifa,Restaurante,12400,,,,,"-12.1175076,-75.1798608",,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJJ3JnBoeRDpERaT5h9zX9Tto,https://www.google.com/maps/place/?q=place_id:ChIJJ3JnBoeRDpERaT5h9zX9Tto,Pollería-Chifa HUANCAYO,Restaurante,"VQ6G+QFW, Avenida 10 de Noviembre, Huayucachi 12408",964 527 666,+51 964 527 666,,,"-12.1380123,-75.2237983",3.1,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJPVwINNGXDpERdgG922LXjX8,https://www.google.com/maps/place/?q=place_id:ChIJPVwINNGXDpERdgG922LXjX8,Restaurant pollería la chakra,Restaurante,Huancayo 12001,,,,,"-12.0431484,-75.1935795",1,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJK8IB3v7dbZER8q4lCMzVzHE,https://www.google.com/maps/place/?q=place_id:ChIJK8IB3v7dbZER8q4lCMzVzHE,Polleria los angeles,Restaurante,"Jirón Comercio 311, Urubamba 08661",979 711 430,+51 979 711 430,,,"-13.3066743,-72.1151971",2.5,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
ChIJK7OxTTaXDpERmE-JsOP6Crg,https://www.google.com/maps/place/?q=place_id:ChIJK7OxTTaXDpERmE-JsOP6Crg,Polleria D'Nikos,Restaurante,12400,,,,,"-12.1174018,-75.1799257",5,,"Pollería en el distrito de Salcabamba, Tayacaja, Huancavelica, Perú"
