id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ9wUvBQDTDZERNVfsYRdFNxs,https://www.google.com/maps/place/?q=place_id:ChIJ9wUvBQDTDZERNVfsYRdFNxs,"POLLERIA ""LA TAYA""",Restaurante,"Jr. Colon 151, Pampas 09156",,,,,"-12.399494899999999,-74.8685029",4.7,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJY_jDsaGXDpEROeOnQCsliB0,https://www.google.com/maps/place/?q=place_id:ChIJY_jDsaGXDpEROeOnQCsliB0,Restaurant & Polleria La Tarmeñita,Restaurante,"3 De Diciembre 12428, Junín 12428",,,,,"-12.1079387,-75.2353275",,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJZ88_dwCXDpERRGiFyYdOaNk,https://www.google.com/maps/place/?q=place_id:ChIJZ88_dwCXDpERRGiFyYdOaNk,Pollería sullca,Tienda de aves de corral,"Parque grau, Jose Olaya 178, Huancayo 12002",,,,,"-12.0637859,-75.2001113",,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJp8mH1ffTDZERG1baikWyTMs,https://www.google.com/maps/place/?q=place_id:ChIJp8mH1ffTDZERG1baikWyTMs,"Pollos y parrillas ""CRISPIN""",Restaurante especializado en pollo,"J42J+MMV, Av. Progreso, Pampas 09156",989 535 292,+51 989 535 292,,,"-12.398259699999999,-74.8683193",2,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJfTk4yELTDZERDCfoONqbnGM,https://www.google.com/maps/place/?q=place_id:ChIJfTk4yELTDZERDCfoONqbnGM,"Pollos y parrillas ""Góndolas""",Restaurante,"Jirón Bolognesi 230, Pampas 09156",929 453 648,+51 929 453 648,facebook.com,https://www.facebook.com/Polleria-gondolas-103197481700035/,"-12.3985212,-74.8691268",2,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJP6zcCPqWDpERd_DdlTm7hIM,https://www.google.com/maps/place/?q=place_id:ChIJP6zcCPqWDpERd_DdlTm7hIM,Pollos Don Víctor,Pollería,12003,902 251 858,+51 902 251 858,,,"-12.0891843,-75.21260509999999",5,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJj0rc9ReXDpERH9PoKzT8qD0,https://www.google.com/maps/place/?q=place_id:ChIJj0rc9ReXDpERH9PoKzT8qD0,Pollos A La Brasa La Chacra,Restaurante,12000,,,,,"-12.102718999999999,-75.1894544",5,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJhw2N_VebDpERlupcrTqifwM,https://www.google.com/maps/place/?q=place_id:ChIJhw2N_VebDpERlupcrTqifwM,Chicken Hooken (Pollería & Chifa),Pollería,12000,916 994 510,+51 916 994 510,chickenhooken.com,https://www.chickenhooken.com/,"-12.172502,-75.1464428",5,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ6z5K_XC4BZEREfycL-eU0Tk,https://www.google.com/maps/place/?q=place_id:ChIJ6z5K_XC4BZEREfycL-eU0Tk,Chickenjaus Pollos a la Brasa,Restaurante especializado en pollo,"Av Cerro Chico 231, Santiago de Surco 15803",(01) 2790384,+51 1 2790384,chickenjaus.com.pe,http://chickenjaus.com.pe/,"-12.1355009,-76.9786513",4.4,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJU2wLMSALDpERgqoN7YisMy4,https://www.google.com/maps/place/?q=place_id:ChIJU2wLMSALDpERgqoN7YisMy4,Polleria CHANIN,Restaurante,"629J+5HG, Av. 28 de Abril, Huancavelica 09001",975 794 069,+51 975 794 069,,,"-12.7820574,-74.9685571",3.6,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJgwEyA_qWDpERkke86Rd22xE,https://www.google.com/maps/place/?q=place_id:ChIJgwEyA_qWDpERkke86Rd22xE,Restaurante Chifa Polleria,Restaurante,12003,,,,,"-12.088553899999999,-75.21219239999999",5,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ8SfrdRJKkmURbPEXOqoLwIk,https://www.google.com/maps/place/?q=place_id:ChIJ8SfrdRJKkmURbPEXOqoLwIk,2B Pollos a la Brasa,Comida a domicilio,,954 679 481,+51 954 679 481,,,"-11.9903409,-75.110141",,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJL2TknlnLBZERnkVOcfwlU1I,https://www.google.com/maps/place/?q=place_id:ChIJL2TknlnLBZERnkVOcfwlU1I,"Pollería Restaurante ""ROJAS""",Tienda de aves de corral,"51, La Perla 07016",982 148 591,+51 982 148 591,,,"-12.076089999999999,-77.1140009",4,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJK7OxTTaXDpERmE-JsOP6Crg,https://www.google.com/maps/place/?q=place_id:ChIJK7OxTTaXDpERmE-JsOP6Crg,Polleria D'Nikos,Restaurante,12400,,,,,"-12.1174018,-75.1799257",5,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ20ZEjLSQDpERtihP2xE70lE,https://www.google.com/maps/place/?q=place_id:ChIJ20ZEjLSQDpERtihP2xE70lE,Pollos Y Parrillas El Rey,Restaurante,12400,,,,,"-12.1274765,-75.17326369999999",,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJY5hojeyXDpER4kLBNZI-4Pc,https://www.google.com/maps/place/?q=place_id:ChIJY5hojeyXDpER4kLBNZI-4Pc,D´ TOMMI,Tienda de aves de corral,"A.V LOS PROCERES 692, Av. Próceres Y, BELEGUIA",981 816 061,+51 981 816 061,,,"-12.0864774,-75.2004929",,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ1w8pTDaXDpERDNKghOrzck0,https://www.google.com/maps/place/?q=place_id:ChIJ1w8pTDaXDpERDNKghOrzck0,Polleria Chifa,Restaurante,12400,,,,,"-12.1175076,-75.1798608",,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ3Yc4gDGXDpERty6i1yendR8,https://www.google.com/maps/place/?q=place_id:ChIJ3Yc4gDGXDpERty6i1yendR8,La granja Pollos y parrillas,Pollería,"Av. Huancavelica 1940, Huancayo 12006",(064) 420000,+51 64 420000,,,"-12.054141,-75.2246559",3.7,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJJ3JnBoeRDpERaT5h9zX9Tto,https://www.google.com/maps/place/?q=place_id:ChIJJ3JnBoeRDpERaT5h9zX9Tto,Pollería-Chifa HUANCAYO,Restaurante,"VQ6G+QFW, Avenida 10 de Noviembre, Huayucachi 12408",964 527 666,+51 964 527 666,,,"-12.1380123,-75.2237983",3.1,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJG8go4VGWDpERqRztWMCXQr8,https://www.google.com/maps/place/?q=place_id:ChIJG8go4VGWDpERqRztWMCXQr8,Pollos A La Leña Royal,Restaurante,"WQHR+4RM, Ca. Real, Caraz 12001",(064) 211445,+51 64 211445,,,"-12.0721569,-75.2079378",3.8,,"Pollería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ3_NWGkDPBZER8uYFzM7hPh0,https://www.google.com/maps/place/?q=place_id:ChIJ3_NWGkDPBZER8uYFzM7hPh0,Cevicheria Rimac,Restaurante,"Montanes 129, Lima 15096",948 268 282,+51 948 268 282,,,"-12.0193777,-77.0328902",4.4,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ68MEajvTDZEReSXH_svfEjE,https://www.google.com/maps/place/?q=place_id:ChIJ68MEajvTDZEReSXH_svfEjE,Cevicheria - Marisqueria PUERTO CRUZ,Restaurante de cocina centroamericana,"Jr. Jose Olaya 255, Pampas 09156",938 661 396,+51 938 661 396,facebook.com,https://www.facebook.com/gordiher/?locale=es_LA,"-12.398031699999999,-74.8678065",,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJlQavv92XDpERm-0ug__Zix0,https://www.google.com/maps/place/?q=place_id:ChIJlQavv92XDpERm-0ug__Zix0,"Cevicheria ""LA CONCHA DE SU MAR""",Restaurante,"3SC, 12400",,,,,"-12.117574099999999,-75.1800389",3.8,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ6_qBG_qWDpERJm0rElMACUM,https://www.google.com/maps/place/?q=place_id:ChIJ6_qBG_qWDpERJm0rElMACUM,Restaurant Cevicheria,Restaurante,12003,,,,,"-12.0886912,-75.2119854",,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJQwWenefGBZERi0YZmLBtk30,https://www.google.com/maps/place/?q=place_id:ChIJQwWenefGBZERi0YZmLBtk30,Tumbes Mar Pescados Y Mariscos,Restaurante,"Av. la Fontana 1249, La Molina 15024",(01) 3486032,+51 1 3486032,facebook.com,https://www.facebook.com/tumbesmarmolina/,"-12.072932,-76.9421631",4.1,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJc6s7KgCXDpER7NfTaMKw1B8,https://www.google.com/maps/place/?q=place_id:ChIJc6s7KgCXDpER7NfTaMKw1B8,Cevicheria chalupitas,Marisquería,"Av. Ferrocarril 821, Huancayo 12003",,,,,"-12.0834712,-75.21191619999999",,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJS8WJXkx_DpER_5lHE0NqhnA,https://www.google.com/maps/place/?q=place_id:ChIJS8WJXkx_DpER_5lHE0NqhnA,"Piscigranja Restaurante ""La Cabaña""",Restaurante,"3S 26, 09125",,,,,"-12.3904409,-75.0561608",3.8,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJp9sFDADPBZERht-TQSY64Nw,https://www.google.com/maps/place/?q=place_id:ChIJp9sFDADPBZERht-TQSY64Nw,Cevichería Javicho,Restaurante,"Av. Guardia Republicana 1105, Rímac 15094",,,,,"-12.028217399999999,-77.0383797",3.4,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJqRYMUOiRDpERd2h_1iMfJk4,https://www.google.com/maps/place/?q=place_id:ChIJqRYMUOiRDpERd2h_1iMfJk4,"Restaurante - Cevichería ""Así es mi Tierra""",Restaurante,"Av. San Martin, 12401",900 931 614,+51 900 931 614,,,"-12.1175032,-75.17926039999999",5,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJRT3dPdDLBZERyGa68e7yj8o,https://www.google.com/maps/place/?q=place_id:ChIJRT3dPdDLBZERyGa68e7yj8o,concha y mar,Restaurante peruano,"Av. Costanera 2433, La Perla 07011",956 227 363,+51 956 227 363,conchaymar.com,https://www.conchaymar.com/,"-12.0773501,-77.1139269",2.8,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJQWsX8UjJBZER-8gLIG8TM50,https://www.google.com/maps/place/?q=place_id:ChIJQWsX8UjJBZER-8gLIG8TM50,Terminal Pesquero Cevichería San Miguel,Restaurante peruano,"Av. José de la Riva Agüero 740, San Miguel 15088",908 807 295,+51 908 807 295,terminalpesquero.com,https://terminalpesquero.com/,"-12.075214299999999,-77.0838545",4.4,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ7Rp6IKSXDpERlGuod8i_zh4,https://www.google.com/maps/place/?q=place_id:ChIJ7Rp6IKSXDpERlGuod8i_zh4,El Rincón,Restaurante,"Cto. Los Heroes 171, 12000",912 053 150,+51 912 053 150,facebook.com,https://www.facebook.com/cevicheriaelrincon/,"-12.060765799999999,-75.2225315",3.8,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJQx4RHxyXDpERDXiEuMwVHkQ,https://www.google.com/maps/place/?q=place_id:ChIJQx4RHxyXDpERDXiEuMwVHkQ,Aji Limo,Marisquería,"Jr, Jr. Pedro Gálvez N° 635, Junín 12004",933 702 729,+51 933 702 729,,,"-12.0565921,-75.21942539999999",3.6,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJtfyky_yXDpERhej9KjvXYs4,https://www.google.com/maps/place/?q=place_id:ChIJtfyky_yXDpERhej9KjvXYs4,Mar y Luna Cevichería Restobar,Restaurante,"Av. Mariátegui 119, Junín 12007",910 985 154,+51 910 985 154,,,"-12.0512529,-75.2145523",3.9,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJA9_FrRqXDpERFQrgfSyk2FI,https://www.google.com/maps/place/?q=place_id:ChIJA9_FrRqXDpERFQrgfSyk2FI,"Cevichería ""Mero de peña""",Marisquería,"WQF6+M5M, Ave Progreso, Huamancaca 12425",933 247 778,+51 933 247 778,,,"-12.0757924,-75.239567",5,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJpS6KgsKXDpERHZ8p3oroe9Y,https://www.google.com/maps/place/?q=place_id:ChIJpS6KgsKXDpERHZ8p3oroe9Y,Pedro Barca Cevichería,Marisquería,"C. Moquegua 1404, 12000",918 589 356,+51 918 589 356,,,"-12.056634599999999,-75.2198461",3.6,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJTbrjT8KWDpERXa2g5Pw-ajA,https://www.google.com/maps/place/?q=place_id:ChIJTbrjT8KWDpERXa2g5Pw-ajA,"Cevicheria "" El Camaron """,Restaurante,Huancan 12051,,,,,"-12.107401099999999,-75.2165614",1,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJv4cY-GiXDpERvVnI5fkWU2U,https://www.google.com/maps/place/?q=place_id:ChIJv4cY-GiXDpERvVnI5fkWU2U,Cevichería del Doc,Restaurante,"Pje. José A. Encinas N° 304, Tambo 12007",918 889 541,+51 918 889 541,beacons.ai,https://beacons.ai/cevicheriadeldoc?fbclid=IwZXh0bgNhZW0CMTEAAR1ZMoPEelYUC5rsbtiHQvtAZNg8sC3YCEnCXkU7GPfom5BwEl_ew1D7p58_aem_ScAo9ouEmsNKIaWpeG586Q,"-12.052957,-75.2082753",4.3,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
ChIJ_07IvD6WDpERGkWyCtYRiK0,https://www.google.com/maps/place/?q=place_id:ChIJ_07IvD6WDpERGkWyCtYRiK0,El Sitio,Marisquería,"Tambo, Psj N° 180, Huancayo 12004",983 842 424,+51 983 842 424,,,"-12.056036599999999,-75.2200968",3.7,,"Cevichería en el distrito de Santiago de Tucuma, Tayacaja, Huancavelica, Perú"
