id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ9wUvBQDTDZERNVfsYRdFNxs,https://www.google.com/maps/place/?q=place_id:ChIJ9wUvBQDTDZERNVfsYRdFNxs,"POLLERIA ""LA TAYA""",Restaurante,"Jr. Colon 151, Pampas 09156",,,,,"-12.399494899999999,-74.8685029",4.7,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJZ88_dwCXDpERRGiFyYdOaNk,https://www.google.com/maps/place/?q=place_id:ChIJZ88_dwCXDpERRGiFyYdOaNk,Pollería sullca,Tienda de aves de corral,"Parque grau, Jose Olaya 178, Huancayo 12002",,,,,"-12.0637859,-75.2001113",,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJbRUgMQA5DJERHS_Pt_Ai4JU,https://www.google.com/maps/place/?q=place_id:ChIJbRUgMQA5DJERHS_Pt_Ai4JU,Restauran pollería chifa (Cristian's),Restaurante especializado en pollo,"V9MC+J2M S/N, SURCUBAMBA 09241",982 173 589,+51 982 173 589,,,"-12.1159096,-74.6299413",5,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJW8SpBo3TDZERgnXIc0u1d_c,https://www.google.com/maps/place/?q=place_id:ChIJW8SpBo3TDZERgnXIc0u1d_c,"Polleria ""Aminic""",Restaurante familiar,"Jr. Moore 199, Pampas 09156",992 804 639,+51 992 804 639,,,"-12.3998604,-74.8683089",4.3,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJp8mH1ffTDZERG1baikWyTMs,https://www.google.com/maps/place/?q=place_id:ChIJp8mH1ffTDZERG1baikWyTMs,"Pollos y parrillas ""CRISPIN""",Restaurante especializado en pollo,"J42J+MMV, Av. Progreso, Pampas 09156",989 535 292,+51 989 535 292,,,"-12.398259699999999,-74.8683193",2,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJU2wLMSALDpERgqoN7YisMy4,https://www.google.com/maps/place/?q=place_id:ChIJU2wLMSALDpERgqoN7YisMy4,Polleria CHANIN,Restaurante,"629J+5HG, Av. 28 de Abril, Huancavelica 09001",975 794 069,+51 975 794 069,,,"-12.7820574,-74.9685571",3.6,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJj0rc9ReXDpERH9PoKzT8qD0,https://www.google.com/maps/place/?q=place_id:ChIJj0rc9ReXDpERH9PoKzT8qD0,Pollos A La Brasa La Chacra,Restaurante,12000,,,,,"-12.102718999999999,-75.1894544",5,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJ1w8pTDaXDpERDNKghOrzck0,https://www.google.com/maps/place/?q=place_id:ChIJ1w8pTDaXDpERDNKghOrzck0,Polleria Chifa,Restaurante,12400,,,,,"-12.1175076,-75.1798608",,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJr5MoY-vTDZERxcfuDMGlP5g,https://www.google.com/maps/place/?q=place_id:ChIJr5MoY-vTDZERxcfuDMGlP5g,"POLLERIA Y PARRILLA ""TIO CHEPE""",Restaurante especializado en pollo,"Jiron Zavala 208, Pampas 09156",917 318 252,+51 917 318 252,,,"-12.399324499999999,-74.8721901",3,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJ20ZEjLSQDpERtihP2xE70lE,https://www.google.com/maps/place/?q=place_id:ChIJ20ZEjLSQDpERtihP2xE70lE,Pollos Y Parrillas El Rey,Restaurante,12400,,,,,"-12.1274765,-75.17326369999999",,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJK7OxTTaXDpERmE-JsOP6Crg,https://www.google.com/maps/place/?q=place_id:ChIJK7OxTTaXDpERmE-JsOP6Crg,Polleria D'Nikos,Restaurante,12400,,,,,"-12.1174018,-75.1799257",5,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJsWitPqKQDpER_vk0y5OKoZI,https://www.google.com/maps/place/?q=place_id:ChIJsWitPqKQDpER_vk0y5OKoZI,Polleria Pi - Canton Rooster,Restaurante,12401,,,,,"-12.1450388,-75.16151219999999",,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJNW8xbgCXDpERMjS12ZYQGkc,https://www.google.com/maps/place/?q=place_id:ChIJNW8xbgCXDpERMjS12ZYQGkc,Pollos y Parrilla LA FAMILIA,Tienda de aves de corral,"Ca. Real, 12000",,,,,"-12.1020693,-75.1898398",5,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJhw2N_VebDpERlupcrTqifwM,https://www.google.com/maps/place/?q=place_id:ChIJhw2N_VebDpERlupcrTqifwM,Chicken Hooken (Pollería & Chifa),Pollería,12000,916 994 510,+51 916 994 510,chickenhooken.com,https://www.chickenhooken.com/,"-12.172502,-75.1464428",5,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJu8LhLlOZTJARcHU47xAzWvY,https://www.google.com/maps/place/?q=place_id:ChIJu8LhLlOZTJARcHU47xAzWvY,"Polleria ""El Paisita""",Restaurante,"Elias Aguirre 351, Jayanca 14151",996 524 950,+51 996 524 950,,,"-6.3925754999999995,-79.8233664",3.8,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJE7Jyd0AQaZERRx4OrwuFlXE,https://www.google.com/maps/place/?q=place_id:ChIJE7Jyd0AQaZERRx4OrwuFlXE,Polleria Tayta,Restaurante,"6H4R+5P5, Espinar 08301",982 340 002,+51 982 340 002,,,"-14.7946008,-71.40813539999999",3.3,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJtw6gGgCXDpERwVxPiRxMz2I,https://www.google.com/maps/place/?q=place_id:ChIJtw6gGgCXDpERwVxPiRxMz2I,"Fogones, pollos y parrillas",Tienda de aves de corral,"Av. Huancavelica 1953, 12006",,,,,"-12.0542918,-75.224863",5,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJb82jxdaXDpERmlc_l5x4Ynw,https://www.google.com/maps/place/?q=place_id:ChIJb82jxdaXDpERmlc_l5x4Ynw,Polleria Parihuanquino,,Huancayo 12001,,,,,"-12.0420488,-75.1934132",,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJxauBKzPNDpERMg83Z7R5hFY,https://www.google.com/maps/place/?q=place_id:ChIJxauBKzPNDpERMg83Z7R5hFY,Brosteria y Polleria el Paishita,Tienda de alimentación,"6GC3+3X5, Jauja 12601",,,,,"-11.779864799999999,-75.4950137",3,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJtZEY5kyWDpERPGsBUcEqXMI,https://www.google.com/maps/place/?q=place_id:ChIJtZEY5kyWDpERPGsBUcEqXMI,Polleria El Porvenir,,Huancayo 12001,,,,,"-12.0677088,-75.2029651",,,"Pollería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJx8JK41xPDJERk-moHsUDTj8,https://www.google.com/maps/place/?q=place_id:ChIJx8JK41xPDJERk-moHsUDTj8,Tintay Puncu,,09260,,,,,"-12.1411815,-74.4642861",,,"Cevichería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJUfd1VJFGDJERx6hdq1osc1E,https://www.google.com/maps/place/?q=place_id:ChIJUfd1VJFGDJERx6hdq1osc1E,Tintay,,,,,,,"-12.15142,-74.5440437",,,"Cevichería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJ6_qBG_qWDpERJm0rElMACUM,https://www.google.com/maps/place/?q=place_id:ChIJ6_qBG_qWDpERJm0rElMACUM,Restaurant Cevicheria,Restaurante,12003,,,,,"-12.0886912,-75.2119854",,,"Cevichería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJx8JK41xPDJERk-moHsUDTj8,https://www.google.com/maps/place/?q=place_id:ChIJx8JK41xPDJERk-moHsUDTj8,Tintay Puncu,,09260,,,,,"-12.1411815,-74.4642861",,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJd0cixQ3lrZERpFmM8FtRTkY,https://www.google.com/maps/place/?q=place_id:ChIJd0cixQ3lrZERpFmM8FtRTkY,Pizzeria TANTAL,Restaurante,"Jr. Estete 591, Huamachuco 13301",948 587 240,+51 948 587 240,,,"-7.813216199999999,-78.0451822",3.8,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJ8Zm4n7FxbpERGtTtoJ4X4-8,https://www.google.com/maps/place/?q=place_id:ChIJ8Zm4n7FxbpERGtTtoJ4X4-8,Pizzeria Bar Sisaya,Pizzería,"Amazonas s/n, Písac 08106",993 090 669,+51 993 090 669,,,"-13.423213299999999,-71.85035549999999",4.8,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJ8a8Eei7TDZER8iMbufaM4aw,https://www.google.com/maps/place/?q=place_id:ChIJ8a8Eei7TDZER8iMbufaM4aw,PIZZA D’ DON LEO,Pizzería,"Jr. Colon 166, Pampas 09156",916 681 190,+51 916 681 190,pizzaddonleo.ola.click,https://pizzaddonleo.ola.click/landing,"-12.3996107,-74.8685179",4.9,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJKT7WnFrTDZERNrL5cmxAZnc,https://www.google.com/maps/place/?q=place_id:ChIJKT7WnFrTDZERNrL5cmxAZnc,Pizzeria Pampitas,Restaurante,"Jr. Lima 433, Pampas 09156",942 439 822,+51 942 439 822,,,"-12.396957599999999,-74.8693732",4.2,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJYWNKBAA5DJERare9K2oecnA,https://www.google.com/maps/place/?q=place_id:ChIJYWNKBAA5DJERare9K2oecnA,Hallapa restaurante,Pizzería,"V9M9+4P3, SURCUBAMBA 09241",914 924 356,+51 914 924 356,,,"-12.117626699999999,-74.6316976",,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJd-oetYXrbZER0A-48UKTMNU,https://www.google.com/maps/place/?q=place_id:ChIJd-oetYXrbZER0A-48UKTMNU,Kutimuy Pizzería Ollantaytambo,Restaurante,"C. Ventiderio 124, Ollantaytambo 08676",973 275 055,+51 973 275 055,,,"-13.2584538,-72.2640741",4.6,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
ChIJpyKfCvznSZARk-MrmLLXVU0,https://www.google.com/maps/place/?q=place_id:ChIJpyKfCvznSZARk-MrmLLXVU0,Mr. Pizza Paita,Pizzería,Paita 20700,983 736 194,+51 983 736 194,instagram.com,https://www.instagram.com/mr.pizza.paita/,"-5.0969079,-81.0975083",4.5,,"Pizzería en el distrito de Tintay Puncu, Tayacaja, Huancavelica, Perú"
