id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ0cZHPbaADpERieT2YB1Sz98,https://www.google.com/maps/place/?q=place_id:ChIJ0cZHPbaADpERieT2YB1Sz98,Polleria El Picon,Restaurante,Acostambo 09125,,,,,"-12.364288,-75.0537296",,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJP6zcCPqWDpERd_DdlTm7hIM,https://www.google.com/maps/place/?q=place_id:ChIJP6zcCPqWDpERd_DdlTm7hIM,Pollos Don Víctor,Pollería,12003,902 251 858,+51 902 251 858,,,"-12.0891843,-75.21260509999999",5,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJZ88_dwCXDpERRGiFyYdOaNk,https://www.google.com/maps/place/?q=place_id:ChIJZ88_dwCXDpERRGiFyYdOaNk,Pollería sullca,Tienda de aves de corral,"Parque grau, Jose Olaya 178, Huancayo 12002",,,,,"-12.0637859,-75.2001113",,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJgwEyA_qWDpERkke86Rd22xE,https://www.google.com/maps/place/?q=place_id:ChIJgwEyA_qWDpERkke86Rd22xE,Restaurante Chifa Polleria,Restaurante,12003,,,,,"-12.088553899999999,-75.21219239999999",5,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJcV_pGwALDpER4kUBXUXkwJA,https://www.google.com/maps/place/?q=place_id:ChIJcV_pGwALDpER4kUBXUXkwJA,Pollería Huancayo II,Restaurante,"627G+385, Jr. Virrey Toledo 295, Huancavelica 09001",,,,,"-12.7874973,-74.9741513",3,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJY_jDsaGXDpEROeOnQCsliB0,https://www.google.com/maps/place/?q=place_id:ChIJY_jDsaGXDpEROeOnQCsliB0,Restaurant & Polleria La Tarmeñita,Restaurante,"3 De Diciembre 12428, Junín 12428",,,,,"-12.1079387,-75.2353275",,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJG2NHRm4LDpERSk2igWmA0Lc,https://www.google.com/maps/place/?q=place_id:ChIJG2NHRm4LDpERSk2igWmA0Lc,POLLERIA LA VILLA,Restaurante de comida tradicional americana,"Jirón Manco Capac 220, Huancavelica 09001",978 108 552,+51 978 108 552,facebook.com,https://www.facebook.com/LaVillaHuancavelica/,"-12.7858121,-74.9731351",4.1,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJj0rc9ReXDpERH9PoKzT8qD0,https://www.google.com/maps/place/?q=place_id:ChIJj0rc9ReXDpERH9PoKzT8qD0,Pollos A La Brasa La Chacra,Restaurante,12000,,,,,"-12.102718999999999,-75.1894544",5,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJYcJUsW6HDpERmHEz7yKe0U4,https://www.google.com/maps/place/?q=place_id:ChIJYcJUsW6HDpERmHEz7yKe0U4,Municipalidad Distrital de Ñahuimpuquio,Diputación,"MWCJ+963 Provincia de, Acostambo 09130",945 233 362,+51 945 233 362,,,"-12.3291022,-75.06946099999999",,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
ChIJtZEY5kyWDpERPGsBUcEqXMI,https://www.google.com/maps/place/?q=place_id:ChIJtZEY5kyWDpERPGsBUcEqXMI,Polleria El Porvenir,,Huancayo 12001,,,,,"-12.0677088,-75.2029651",,,"Pollería en el distrito de Ñahuimpuquio, Tayacaja, Huancavelica, Perú"
