id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJVyTxianvp5ERaxj8jrC7km4,https://www.google.com/maps/place/?q=place_id:ChIJVyTxianvp5ERaxj8jrC7km4,POLLERIA EMILY´S,Restaurante,"10420 ex grifo unión carretera central, Ambo 10420",927 378 889,+51 927 378 889,facebook.com,https://www.facebook.com/emilysbrasa,"-10.1224799,-76.2058839",4.4,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJfXrXWyzvp5ERar0O7nItT-k,https://www.google.com/maps/place/?q=place_id:ChIJfXrXWyzvp5ERar0O7nItT-k,POLLERIA SUMAQ MIKHUY,Restaurante especializado en pollo,"Av.las américas MZ B lote 2 AMBO,ARCOPUNCO, Huánuco 10421",915 080 765,+51 915 080 765,,,"-10.1236886,-76.20552529999999",5,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJq54YmRPvp5EReLC8TeJzhfY,https://www.google.com/maps/place/?q=place_id:ChIJq54YmRPvp5EReLC8TeJzhfY,Don Pedrito,Restaurante especializado en pollo,"Jr. Libertad 390, Ambo 10421",993 925 123,+51 993 925 123,,,"-10.1295556,-76.2047412",5,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJpZxKI33Dp5ER3EJ0ke3ZIX0,https://www.google.com/maps/place/?q=place_id:ChIJpZxKI33Dp5ER3EJ0ke3ZIX0,"Chifa & Pollería ""Long Wa""",Restaurante chino,"Jirón 28 de Julio N° 661, Ambo 10421",942 372 035,+51 942 372 035,,,"-10.128214999999999,-76.2050294",4,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJnwO--RLvp5ERM4CfcgCU8eQ,https://www.google.com/maps/place/?q=place_id:ChIJnwO--RLvp5ERM4CfcgCU8eQ,Pollito Pio,Restaurante,"VQCV+JRW, Ambo 10421",961 747 441,+51 961 747 441,,,"-10.128075599999999,-76.20558539999999",3.6,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJWZDPUuLCp5ERwIsxGEDzrEM,https://www.google.com/maps/place/?q=place_id:ChIJWZDPUuLCp5ERwIsxGEDzrEM,Pollería Carlos Huánuco,Pollería,"Jr. 28 de Julio 861, Huánuco 10001",(062) 513850,+51 62 513850,,,"-9.9305688,-76.2399161",3.8,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJwf20kz7up5ERvUXH3hfTY-Q,https://www.google.com/maps/place/?q=place_id:ChIJwf20kz7up5ERvUXH3hfTY-Q,Pollería - Restaurant El Encuentro,Restaurante,"VQFV+3V2, Jirón 28 de Julio, Ambo 10421",,,,,"-10.1273503,-76.2053482",,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJpTGCH-HCp5ERxpHus6izEpY,https://www.google.com/maps/place/?q=place_id:ChIJpTGCH-HCp5ERxpHus6izEpY,Pollería El Viajero,Restaurante,"Jirón Huallayco 580, Huánuco 10001",981 506 766,+51 981 506 766,amazonafiliadosehistengodoypacheco.blogspot.com,https://amazonafiliadosehistengodoypacheco.blogspot.com/,"-9.932017199999999,-76.2448471",3.5,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJ3biLUTnDp5EREDAnbqwslYM,https://www.google.com/maps/place/?q=place_id:ChIJ3biLUTnDp5EREDAnbqwslYM,Pollería Mario's Huánuco,Restaurante especializado en pollo,"Jr. 28 de Julio 879, Huánuco 10001",962 519 438,+51 962 519 438,,,"-9.930429499999999,-76.2398333",4.2,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
ChIJyQddtyzDp5ERzbJj20jdASk,https://www.google.com/maps/place/?q=place_id:ChIJyQddtyzDp5ERzbJj20jdASk,"Pollos a la brasa - Chifa ""La Cabaña""",Restaurante especializado en pollo,"Jr. 28 de Julio 869, Huánuco 10001",(062) 513376,+51 62 513376,,,"-9.930462,-76.23986719999999",3.8,,"Pollería en el distrito de Huacar, Ambo, Huánuco, Perú"
