id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJOZNxEI9BppERFSm2ykJbK4Q,https://www.google.com/maps/place/?q=place_id:ChIJOZNxEI9BppERFSm2ykJbK4Q,Pollería El Dorado,Restaurante,"PX3X+6P9, Av. Tito Jaime, Tingo María 10131",(01) 2534590,+51 1 2534590,,,"-9.2969638,-76.0006437",3.9,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJH7UPOqVBppERcdnvPWwidog,https://www.google.com/maps/place/?q=place_id:ChIJH7UPOqVBppERcdnvPWwidog,Chifa pollería PHAGODA,Restaurante,"Frente a la posta de castillo grande, Av Maria Parado de Bellido, 10131",957 202 762,+51 957 202 762,,,"-9.2803455,-76.0089196",3.4,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJFcrWXlpBppERv0fINQ5OtH8,https://www.google.com/maps/place/?q=place_id:ChIJFcrWXlpBppERv0fINQ5OtH8,MONTALVOS Pollería,Tienda de aves de corral,"Av. Enrique Pimentel 559, Tingo María 10131",990 948 309,+51 990 948 309,goo.su,https://goo.su/v7QWg,"-9.306297899999999,-76.0021883",3.7,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJN7Lsvo5BppERuPY-5OmOBb4,https://www.google.com/maps/place/?q=place_id:ChIJN7Lsvo5BppERuPY-5OmOBb4,CHIFA POLLERIA BROSTERIA AL PASO,Restaurante,"Pucallpa 460, Huánuco 10130",951 078 571,+51 951 078 571,facebook.com,https://www.facebook.com/AlPasoTingoMaria,"-9.2980014,-75.9991175",4,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJFVxeUuNBppERwmQ31mzWacU,https://www.google.com/maps/place/?q=place_id:ChIJFVxeUuNBppERwmQ31mzWacU,Restaurante Polleria el Pollito Locuas,Restaurante,"Aguaytia 436, Huanuco 10131",964 765 568,+51 964 765 568,,,"-9.294062799999999,-75.9971357",3.5,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJdRXZoUzDp5ERORdUx8OdrYw,https://www.google.com/maps/place/?q=place_id:ChIJdRXZoUzDp5ERORdUx8OdrYw,Pollería y restaurante Gerald,Tienda de aves de corral,"Jirón Crespo Castillo 525, Huánuco 10000",940 509 016,+51 940 509 016,,,"-9.9273914,-76.2398632",5,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJNSRAt-hBppERtv5s61PFO9A,https://www.google.com/maps/place/?q=place_id:ChIJNSRAt-hBppERtv5s61PFO9A,Pollería MANÁ,Tienda de aves de corral,"Jr. Leoncio Prado 360, Huánuco 10131",,,,,"-9.3067368,-75.9999948",,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJTVenXwBBppERuwzWd2Pii7Q,https://www.google.com/maps/place/?q=place_id:ChIJTVenXwBBppERuwzWd2Pii7Q,YORDYS EL RINCÓN DE LAS BRASAS,Restaurante especializado en pollo,"Ucayali 1070, Tingo María 10131",975 645 467,+51 975 645 467,,,"-9.293775799999999,-75.9961331",5,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJ1yU7qo9BppERTDFt4xkKiAo,https://www.google.com/maps/place/?q=place_id:ChIJ1yU7qo9BppERTDFt4xkKiAo,Pollos A La Brasa Rey,Restaurante,"Raymondi 565, Tingo María 10131",987 331 480,+51 987 331 480,,,"-9.296674399999999,-76.0018718",3.9,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
ChIJv-06BQBBppERMiKctewyLew,https://www.google.com/maps/place/?q=place_id:ChIJv-06BQBBppERMiKctewyLew,Polleria Ruben,,"Raymondi 413, Tingo María 10131",,,,,"-9.2981471,-76.0027509",3.4,,"Pollería en el distrito de Castillo Grande, Leoncio Prado, Huánuco, Perú"
