id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJWZDPUuLCp5ERwIsxGEDzrEM,https://www.google.com/maps/place/?q=place_id:ChIJWZDPUuLCp5ERwIsxGEDzrEM,Pollería Carlos Huánuco,Pollería,"Jr. 28 de Julio 861, Huánuco 10001",(062) 513850,+51 62 513850,,,"-9.9305688,-76.2399161",3.8,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJdRXZoUzDp5ERORdUx8OdrYw,https://www.google.com/maps/place/?q=place_id:ChIJdRXZoUzDp5ERORdUx8OdrYw,Pollería y restaurante Gerald,Tienda de aves de corral,"Jirón Crespo Castillo 525, Huánuco 10000",940 509 016,+51 940 509 016,,,"-9.9273914,-76.2398632",5,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJ3biLUTnDp5EREDAnbqwslYM,https://www.google.com/maps/place/?q=place_id:ChIJ3biLUTnDp5EREDAnbqwslYM,Pollería Mario's Huánuco,Restaurante especializado en pollo,"Jr. 28 de Julio 879, Huánuco 10001",962 519 438,+51 962 519 438,,,"-9.930429499999999,-76.2398333",4.2,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJ9Vnub-LCp5ERj4JG0d-jAnE,https://www.google.com/maps/place/?q=place_id:ChIJ9Vnub-LCp5ERj4JG0d-jAnE,Shorton Grill,Restaurante,"Jirón Dámaso Beraún 685, Huánuco 10001",992 289 390,+51 992 289 390,shortongrillhuanuco.com,https://www.shortongrillhuanuco.com/,"-9.928480799999999,-76.24001109999999",3.8,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJyQddtyzDp5ERzbJj20jdASk,https://www.google.com/maps/place/?q=place_id:ChIJyQddtyzDp5ERzbJj20jdASk,"Pollos a la brasa - Chifa ""La Cabaña""",Restaurante especializado en pollo,"Jr. 28 de Julio 869, Huánuco 10001",(062) 513376,+51 62 513376,,,"-9.930462,-76.23986719999999",3.8,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJzfi4AN7Cp5ERUrZho3kGwfo,https://www.google.com/maps/place/?q=place_id:ChIJzfi4AN7Cp5ERUrZho3kGwfo,Chifa Pollería restaurant Mafer,Restaurante chino,"Leoncio Prado 404-420, Huánuco 10001",(062) 626138,+51 62 626138,,,"-9.9337023,-76.24825729999999",3.4,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJqz9puufDp5ERe_o0Yu3Butk,https://www.google.com/maps/place/?q=place_id:ChIJqz9puufDp5ERe_o0Yu3Butk,Don Salvador,Restaurante especializado en pollo,"Esquina de, Leoncio Prado con, Huánuco 10001",931 477 469,+51 931 477 469,instagram.com,https://www.instagram.com/donsalvador.pe?igsh=M2o0aTI2ZGlla2Nt&utm_source=qr,"-9.9245349,-76.2425305",4.3,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJQSnYDeHCp5ER9eFDtwSvzUI,https://www.google.com/maps/place/?q=place_id:ChIJQSnYDeHCp5ER9eFDtwSvzUI,Pollería De Los REYES,Restaurante especializado en pollo,"Jirón Aguilar 428, Huánuco 10001",986 576 297,+51 986 576 297,facebook.com,https://www.facebook.com/share/1H5iF9iGRs/,"-9.9313673,-76.24393119999999",4,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJZVRypBrDp5ERwBn66MUGVR4,https://www.google.com/maps/place/?q=place_id:ChIJZVRypBrDp5ERwBn66MUGVR4,Polleria Falcón,Restaurante,"Circunvalacion 350, Huánuco 10001",(062) 516442,+51 62 516442,,,"-9.917350299999999,-76.2373787",3.9,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJr8JYSYhBppERD6VyQg2SRIQ,https://www.google.com/maps/place/?q=place_id:ChIJr8JYSYhBppERD6VyQg2SRIQ,SUPER BROASTER,Restaurante especializado en pollo,"Av. José Carlos Mariátegui 440, Huánuco 10131",939 416 211,+51 939 416 211,fb.me,https://fb.me/SuperBroasterpe,"-9.2958866,-76.00758789999999",5,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJTVenXwBBppERuwzWd2Pii7Q,https://www.google.com/maps/place/?q=place_id:ChIJTVenXwBBppERuwzWd2Pii7Q,YORDYS EL RINCÓN DE LAS BRASAS,Restaurante especializado en pollo,"Ucayali 1070, Tingo María 10131",975 645 467,+51 975 645 467,,,"-9.293775799999999,-75.9961331",5,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJO0i5hSvDp5ERDWSJoak5u30,https://www.google.com/maps/place/?q=place_id:ChIJO0i5hSvDp5ERDWSJoak5u30,Bravos huanuco,,"Av. Universitaria 798, Pillco Marca 10003",935 756 480,+51 935 756 480,,,"-9.956198599999999,-76.2481253",,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJNSRAt-hBppERtv5s61PFO9A,https://www.google.com/maps/place/?q=place_id:ChIJNSRAt-hBppERtv5s61PFO9A,Pollería MANÁ,Tienda de aves de corral,"Jr. Leoncio Prado 360, Huánuco 10131",,,,,"-9.3067368,-75.9999948",,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJv-06BQBBppERMiKctewyLew,https://www.google.com/maps/place/?q=place_id:ChIJv-06BQBBppERMiKctewyLew,Polleria Ruben,,"Raymondi 413, Tingo María 10131",,,,,"-9.2981471,-76.0027509",3.4,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJFcrWXlpBppERv0fINQ5OtH8,https://www.google.com/maps/place/?q=place_id:ChIJFcrWXlpBppERv0fINQ5OtH8,MONTALVOS Pollería,Tienda de aves de corral,"Av. Enrique Pimentel 559, Tingo María 10131",990 948 309,+51 990 948 309,goo.su,https://goo.su/v7QWg,"-9.306297899999999,-76.0021883",3.7,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJyav8OBrDp5ERJsd88cSthsg,https://www.google.com/maps/place/?q=place_id:ChIJyav8OBrDp5ERJsd88cSthsg,Pollería Chato's,Restaurante,"3QJ5+FM3, Av. Alfonso Ugarte, Huánuco 10001",,,,,"-9.9188519,-76.240821",,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJOZNxEI9BppERFSm2ykJbK4Q,https://www.google.com/maps/place/?q=place_id:ChIJOZNxEI9BppERFSm2ykJbK4Q,Pollería El Dorado,Restaurante,"PX3X+6P9, Av. Tito Jaime, Tingo María 10131",(01) 2534590,+51 1 2534590,,,"-9.2969638,-76.0006437",3.9,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJFVxeUuNBppERwmQ31mzWacU,https://www.google.com/maps/place/?q=place_id:ChIJFVxeUuNBppERwmQ31mzWacU,Restaurante Polleria el Pollito Locuas,Restaurante,"Aguaytia 436, Huanuco 10131",964 765 568,+51 964 765 568,,,"-9.294062799999999,-75.9971357",3.5,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJPdu6dqxBppERuQ_gYVAc_k0,https://www.google.com/maps/place/?q=place_id:ChIJPdu6dqxBppERuQ_gYVAc_k0,MONTALVO'S TINGO MARIA,Tienda de aves de corral,"Av. Enrique Pimentel 579, 10131",990 948 309,+51 990 948 309,facebook.com,https://www.facebook.com/montalvostingomaria,"-9.306574999999999,-76.001987",3.5,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJXz3ny8rDp5ERLXplsxH7fEk,https://www.google.com/maps/place/?q=place_id:ChIJXz3ny8rDp5ERLXplsxH7fEk,BERNARDO RESTAURANTE,Restaurante,"Jirón Crespo Castillo 549, Huánuco 10001",962 199 892,+51 962 199 892,facebook.com,https://www.facebook.com/profile.php?id=100068398924352,"-9.927527999999999,-76.2396193",4.5,,"Pollería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJJ4aoeR3Dp5ERB3HXuPNrA2M,https://www.google.com/maps/place/?q=place_id:ChIJJ4aoeR3Dp5ERB3HXuPNrA2M,El Cevichano,Restaurante,"Jirón 2 de Mayo 1353, Huánuco 10001",962 548 663,+51 962 548 663,,,"-9.9273448,-76.2390788",4,,"Cevichería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJtdyNvgrDp5ER_a29p9Aapj8,https://www.google.com/maps/place/?q=place_id:ChIJtdyNvgrDp5ER_a29p9Aapj8,El Cevichano,Marisquería,"Jirón Progreso 259, Huánuco 10001",(062) 288668,+51 62 288668,,,"-9.9246468,-76.2400938",4.2,,"Cevichería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJi1aNIgDDp5ERCf_MG7yCGTY,https://www.google.com/maps/place/?q=place_id:ChIJi1aNIgDDp5ERCf_MG7yCGTY,Mar y Fuego Cevicheria Restobar,Restaurante,"Jirón Crespo Castillo 518, Huánuco 10001",992 580 577,+51 992 580 577,,,"-9.9275263,-76.2399923",5,,"Cevichería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
ChIJxeA6NefCp5ERH8l2KBZHOHQ,https://www.google.com/maps/place/?q=place_id:ChIJxeA6NefCp5ERH8l2KBZHOHQ,Barra Marina Asumar,Restaurante,"Jirón Ayancocha 380, Huánuco 10001",(062) 281045,+51 62 281045,facebook.com,https://www.facebook.com/BarraMarinaAsumar1/,"-9.9338424,-76.2462504",4.2,,"Cevichería en el distrito de Mariano Damaso Beraun, Leoncio Prado, Huánuco, Perú"
