id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJjXnF9QzppZER3mSxRRqlYIo,https://www.google.com/maps/place/?q=place_id:ChIJjXnF9QzppZER3mSxRRqlYIo,Chifa Polleria & Broasteria Thaisa,Restaurante,"Fernando Belaunde Terry, Pucayacu 10170",977 113 936,+51 977 113 936,facebook.com,https://www.facebook.com/DondeTodoEsRico?mibextid=ZbWKwL,"-8.7488321,-76.1203774",,,"Pollería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJ66soGwALppERkjbwyexg10o,https://www.google.com/maps/place/?q=place_id:ChIJ66soGwALppERkjbwyexg10o,"Pollería Restaurant ""JJ""",Restaurante especializado en pollo,"Jr. Tupac Amaru 507, Aucayacu 10171",989 475 246,+51 989 475 246,facebook.com,https://www.facebook.com/profile.php?id=100063524950041,"-8.9303327,-76.115291",5,,"Pollería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJWZDPUuLCp5ERwIsxGEDzrEM,https://www.google.com/maps/place/?q=place_id:ChIJWZDPUuLCp5ERwIsxGEDzrEM,Pollería Carlos Huánuco,Pollería,"Jr. 28 de Julio 861, Huánuco 10001",(062) 513850,+51 62 513850,,,"-9.9305688,-76.2399161",3.8,,"Pollería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJ54LciS4LppERC6hp6R68caI,https://www.google.com/maps/place/?q=place_id:ChIJ54LciS4LppERC6hp6R68caI,Polleria NORY`S,Tienda de aves de corral,"3V9M+G65, Aucayacu, Jr, Lamas",(062) 488236,+51 62 488236,facebook.com,https://www.facebook.com/polleriaNorys/,"-8.9312325,-76.11689729999999",3.7,,"Pollería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJ4SXIWNnDp5ERG3BM8xxwoh0,https://www.google.com/maps/place/?q=place_id:ChIJ4SXIWNnDp5ERG3BM8xxwoh0,Piqueso pizzeria regional,Pizzería,"Ca. Huallaga 175, Huánuco 10000",943 230 783,+51 943 230 783,,,"-9.9381079,-76.24866399999999",4.8,,"Pizzería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJMVF4FeLCp5ERV2UWpmQ0KeM,https://www.google.com/maps/place/?q=place_id:ChIJMVF4FeLCp5ERV2UWpmQ0KeM,Pizzería Don Sancho Huánuco,Restaurante,"Jirón Gral. Prado 645, Huánuco 10001",(062) 516906,+51 62 516906,,,"-9.9292372,-76.2407832",4.1,,"Pizzería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJM9Ud8uLCp5ERocpm_ArnnYY,https://www.google.com/maps/place/?q=place_id:ChIJM9Ud8uLCp5ERocpm_ArnnYY,La Piazzetta,Pizzería,"Jirón Dámaso Beraún 845, Huánuco 10001",(062) 280311,+51 62 280311,lapiazzetta.com.pe,http://lapiazzetta.com.pe/,"-9.9294839,-76.2385201",4.2,,"Pizzería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJq_OgABERrK4RLn1EMQ1kLUA,https://www.google.com/maps/place/?q=place_id:ChIJq_OgABERrK4RLn1EMQ1kLUA,Bizzo Pizza,Pizzería,"Jr. 28 de Julio 974, Huánuco 10001",982 407 908,+51 982 407 908,,,"-9.929751099999999,-76.23905189999999",4.8,,"Pizzería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJlcgHDOrDp5ERCmANtl-LN8k,https://www.google.com/maps/place/?q=place_id:ChIJlcgHDOrDp5ERCmANtl-LN8k,La Trattoria,Pizzería,"Jirón Aguilar 742, Huánuco 10001",(062) 620767,+51 62 620767,facebook.com,http://www.facebook.com/TrattoriaHuanuco,"-9.9332429,-76.2411362",4.4,,"Pizzería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
ChIJ88sRyObCp5ER4xnRlT9c4Rc,https://www.google.com/maps/place/?q=place_id:ChIJ88sRyObCp5ER4xnRlT9c4Rc,Pizzería Tiffozzi Huánuco,Pizzería,"Jirón Mayro 683, Huánuco 10001",900 916 898,+51 900 916 898,,,"-9.9339643,-76.2437554",4.2,,"Pizzería en el distrito de Pucayacu, Leoncio Prado, Huánuco, Perú"
