id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ41ZjFwC_p5ER2p4xcdaEVTg,https://www.google.com/maps/place/?q=place_id:ChIJ41ZjFwC_p5ER2p4xcdaEVTg,CHIFA POLLERIA ESPINOZA,Restaurante,"Jirón Mayro 418, Panao 10220",949 710 381,+51 949 710 381,,,"-9.8981236,-75.99427",5,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJqRgCuJ--p5ER2Xso1rGI23w,https://www.google.com/maps/place/?q=place_id:ChIJqRgCuJ--p5ER2Xso1rGI23w,Restaurante Y Pollería San Rafael,Restaurante especializado en pollo,"4224+V87, Panao 10220",,,,,"-9.8978258,-75.9942114",4,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJTy_S-jK_p5ERaGWvNo3rHrk,https://www.google.com/maps/place/?q=place_id:ChIJTy_S-jK_p5ERaGWvNo3rHrk,"Restaurant- Pollería ""LA SAZÓN DE DOÑA VIKY""",Restaurante de desayunos,"Jr. Mayor N° 633, Panao 10220",987 065 952,+51 987 065 952,,,"-9.8978419,-75.9936957",4,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJKRgdV-LCp5ERan37BHqhThw,https://www.google.com/maps/place/?q=place_id:ChIJKRgdV-LCp5ERan37BHqhThw,"Restaurant - Chifa-Polleria ""LA PLAZA""",Tienda de aves de corral,,962 577 776,+51 962 577 776,facebook.com,https://www.facebook.com/Restaurante-Chifa-Polleria-La-Plaza-226831757760798/?fref=ts,"-9.891287,-76.2932629",4.3,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJ417Q7PK-p5ERZwSbdyF-oRU,https://www.google.com/maps/place/?q=place_id:ChIJ417Q7PK-p5ERZwSbdyF-oRU,Polleria Chifa Lungwha,Restaurante especializado en pollo,"3XRJ+9RP, Molino 10211",,,,,"-9.9090347,-76.0179136",5,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJWZDPUuLCp5ERwIsxGEDzrEM,https://www.google.com/maps/place/?q=place_id:ChIJWZDPUuLCp5ERwIsxGEDzrEM,Pollería Carlos Huánuco,Pollería,"Jr. 28 de Julio 861, Huánuco 10001",(062) 513850,+51 62 513850,,,"-9.9305688,-76.2399161",3.8,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJqewifx3Dp5ERQhll2SfQuhg,https://www.google.com/maps/place/?q=place_id:ChIJqewifx3Dp5ERQhll2SfQuhg,Opíparo Pollería Restaurante,Restaurante especializado en pollo,"Jirón 2 de Mayo 1320, Huánuco 10001",(062) 280030,+51 62 280030,,,"-9.9276366,-76.238998",3.8,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJ0WFdXVK7p5ERSIcOmLkkXFo,https://www.google.com/maps/place/?q=place_id:ChIJ0WFdXVK7p5ERSIcOmLkkXFo,Polleria Nodi’s,Restaurante,"100802, Distrito de Chaglla",,,,,"-9.844868499999999,-75.9026981",,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJ_1tDwgG4p5ER0cXsT0JK4-M,https://www.google.com/maps/place/?q=place_id:ChIJ_1tDwgG4p5ER0cXsT0JK4-M,Pollería - Chifa pio rico,Restaurante,"Calle huallaga s/n carretera central Huanuco - Tingo Maria (Pachachupan ACOMAYO, Huánuco",986 194 129,+51 986 194 129,,,"-9.7914015,-76.08139229999999",,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
ChIJZVRypBrDp5ERwBn66MUGVR4,https://www.google.com/maps/place/?q=place_id:ChIJZVRypBrDp5ERwBn66MUGVR4,Polleria Falcón,Restaurante,"Circunvalacion 350, Huánuco 10001",(062) 516442,+51 62 516442,,,"-9.917350299999999,-76.2373787",3.9,,"Pollería en el distrito de Panao, Pachitea, Huánuco, Perú"
