id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJQ_GCTiA_EJER4ML-KtpZwew,https://www.google.com/maps/place/?q=place_id:ChIJQ_GCTiA_EJER4ML-KtpZwew,Restaurant Polleria El Piedron,Restaurante,"Ca. Castilla 215, Alto Laran 11770",934 093 714,+51 934 093 714,,,"-13.442229399999999,-76.08482599999999",4.1,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJiS1XDQA_EJERY0MjoW4yXqg,https://www.google.com/maps/place/?q=place_id:ChIJiS1XDQA_EJERY0MjoW4yXqg,RESTAURANT POLLERIA ALICIA,Restaurante,"Ca. Simon Bolivar 107, Alto Laran 11770",951 485 698,+51 951 485 698,,,"-13.4424204,-76.0823119",5,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJF8eD38c_EJERoMcrWQuLF-g,https://www.google.com/maps/place/?q=place_id:ChIJF8eD38c_EJERoMcrWQuLF-g,Agropecuaria Maxi Pollos,Cooperativa agropecuaria,"HW7C+PG9, Unnamed Road, Alto Laran 11770",,,,,"-13.435715199999999,-76.0786274",4.7,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJkzRtTEs_EJER5Ei_G6F6Oh4,https://www.google.com/maps/place/?q=place_id:ChIJkzRtTEs_EJER5Ei_G6F6Oh4,Polleria D' Aguirre,Tienda de aves de corral,"HW68+PCM, Av. San Luis, Alto Laran 11770",,,,,"-13.43817,-76.0839573",,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJXYzU2nQVEJERjC08CHkatdo,https://www.google.com/maps/place/?q=place_id:ChIJXYzU2nQVEJERjC08CHkatdo,"Estadio Municipal de Alto Laran, Chincha, ICA, Perú",Club deportivo,"Carr. a Alto Laran, Alto Laran 11770",,,,,"-13.4392672,-76.0877936",4.4,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJGZqc40g_EJERnG_DXhN6F2o,https://www.google.com/maps/place/?q=place_id:ChIJGZqc40g_EJERnG_DXhN6F2o,Mr. Mag Chicken,Pollería,"Av San Luis lote Nro. 13 59-13A, Alto Laran 11701",985 403 384,+51 985 403 384,facebook.com,https://www.facebook.com/Mr-Mag-Chicken-102326325832500,"-13.437054999999999,-76.08695039999999",,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJVxv_I7MVEJERozqtQ0wv3i0,https://www.google.com/maps/place/?q=place_id:ChIJVxv_I7MVEJERozqtQ0wv3i0,Pollería MELCHORITA,Restaurante,"HW86+4RH, Alto Laran 11770",910 307 771,+51 910 307 771,,,"-13.4346917,-76.08787769999999",4.4,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJVzcNlu0_EJEREoyjGDnKrKw,https://www.google.com/maps/place/?q=place_id:ChIJVzcNlu0_EJEREoyjGDnKrKw,Restauran Campestre Los Camarones de Laran,Restaurante,"Carretera Huampullo Bajo S/N, Alto Laran 11770",914 494 395,+51 914 494 395,,,"-13.443728799999999,-76.0787904",4.2,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJzRn14hIXEJERFsCr1krFfwQ,https://www.google.com/maps/place/?q=place_id:ChIJzRn14hIXEJERFsCr1krFfwQ,Pollería Talón Rajao,Restaurante especializado en pollo,"C. Grau 513, Chincha Alta 11702",990 033 777,+51 990 033 777,polleriatalonrajao.com,https://polleriatalonrajao.com/,"-13.421881299999999,-76.1332189",4.6,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
ChIJpeN7oU4VEJERnaQocy9_J9w,https://www.google.com/maps/place/?q=place_id:ChIJpeN7oU4VEJERnaQocy9_J9w,EL SABOR DE LOS CUMPAS,Tienda de aves de corral,"HW87+G5R, CALLE LOS MARTIREZ, Alto Laran 11770",902 668 419,+51 902 668 419,,,"-13.4336316,-76.08709879999999",1,,"Pollería en el distrito de Alto Laran, Chincha , Ica, Perú"
