id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJbwDXIgBNEZERIDrq-gF9xCs,https://www.google.com/maps/place/?q=place_id:ChIJbwDXIgBNEZERIDrq-gF9xCs,Pollería Tío Billy,Restaurante familiar,"Ica 199-143, Palpa 11331",,,,,"-14.533744899999999,-75.18452169999999",,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJB2oV1kf9EJER5UscKLOyw54,https://www.google.com/maps/place/?q=place_id:ChIJB2oV1kf9EJER5UscKLOyw54,Polleria Las Brasas,Restaurante,"11002, Ica",,,,,"-14.031226499999999,-75.7349909",4,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJOawTec_iEJERah5Zc1uMd3Q,https://www.google.com/maps/place/?q=place_id:ChIJOawTec_iEJERah5Zc1uMd3Q,Pollería El Cruce,Restaurante,"Coop Señor de Luren, Urb. El Carmen A-1 Urb. San Carlos E-10A, Ica",993 188 082,+51 993 188 082,,,"-14.055536799999999,-75.74557659999999",4,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJ230O4TxNEZERpMoz6QWrw7o,https://www.google.com/maps/place/?q=place_id:ChIJ230O4TxNEZERpMoz6QWrw7o,Pollería El Gordito,Restaurante,"Ctra. Panamericana Sur 200, Palpa 11330",(056) 404083,+51 56 404083,,,"-14.534394899999999,-75.1878393",4.1,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJNdjzMJHiEJERoHQsKkCmEZY,https://www.google.com/maps/place/?q=place_id:ChIJNdjzMJHiEJERoHQsKkCmEZY,Gordo's Chicken,Restaurante especializado en pollo,"AV. CUTERVO MZA. L LOTE. 42 URB, Ica 11000",966 564 429,+51 966 564 429,,,"-14.072567999999999,-75.7291995",3.4,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJj7Y0Fh1NEZER1iyY9ADmy_Q,https://www.google.com/maps/place/?q=place_id:ChIJj7Y0Fh1NEZER1iyY9ADmy_Q,Los Gordito's Polleria,Restaurante,"11331, Palpa",975 134 508,+51 975 134 508,facebook.com,https://www.facebook.com/pollerialosgorditos/,"-14.533208199999999,-75.1868034",4.5,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJAzn_ZADjEJEREbZUYbGV8OQ,https://www.google.com/maps/place/?q=place_id:ChIJAzn_ZADjEJEREbZUYbGV8OQ,Pollería el Huarango,Restaurante especializado en pollo,"W6CM+Q4X, Ica 11004",918 973 178,+51 918 973 178,,,"-14.0781668,-75.7671745",5,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJU4zgZ5DiEJERZWoilKoEuLs,https://www.google.com/maps/place/?q=place_id:ChIJU4zgZ5DiEJERZWoilKoEuLs,Pío Rico - Pollos Y Parrillas,Restaurante,"Av San Martin 1285, Ica 11001",(056) 285579,+51 56 285579,piorico.pe,http://piorico.pe/,"-14.075393799999999,-75.726846",4.1,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJU4oICbjiEJERQFrt0RjM7hk,https://www.google.com/maps/place/?q=place_id:ChIJU4oICbjiEJERQFrt0RjM7hk,Polleria BRASA BRAVA,Restaurante,"Sta. Magdalena 391, Ica 11002",(056) 306211,+51 56 306211,,,"-14.056382999999999,-75.73721669999999",4.7,,"Pollería en el distrito de Río Grande, Palpa , Ica, Perú"
ChIJFY8WPILjEJERVGPPKbzNLDY,https://www.google.com/maps/place/?q=place_id:ChIJFY8WPILjEJERVGPPKbzNLDY,Cevichería El Pesquero,Restaurante,"Av. Ayabaca 1258, Ica 11000",973 726 613,+51 973 726 613,,,"-14.0713741,-75.7371642",4,,"Cevichería en el distrito de Río Grande, Palpa , Ica, Perú"
