id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJuWCoUgDHBZERQrOzzpRC2O8,https://www.google.com/maps/place/?q=place_id:ChIJuWCoUgDHBZERQrOzzpRC2O8,Cevicheria | El Paladar Tumbecino de Abraham | Restaurante,Restaurante,"Av. Separadora Industrial 1090, Ate 15022",958 125 611,+51 958 125 611,wa.link,https://wa.link/gnv0mw,"-12.0699317,-76.9757813",5,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJN7hPHj1NEZERS191XPUlZHg,https://www.google.com/maps/place/?q=place_id:ChIJN7hPHj1NEZERS191XPUlZHg,Restaurante Cevicheria Tradiciones Andinas,Restaurante,"FR86+7V2, Ctra. Panamericana Sur, Palpa 11330",956 294 999,+51 956 294 999,,,"-14.5343553,-75.1878693",4.2,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJrZdEzezFBZERMgzuAGYIfog,https://www.google.com/maps/place/?q=place_id:ChIJrZdEzezFBZERMgzuAGYIfog,Cevicheria Marymar,Restaurante,"Av.Lurigancho 1169 CP:, San Juan de Lurigancho 15427",922 493 679,+51 922 493 679,,,"-12.0167103,-76.9953328",4.1,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJgaqSTijGBZER6Wqb9GAEhLo,https://www.google.com/maps/place/?q=place_id:ChIJgaqSTijGBZER6Wqb9GAEhLo,Carpa Azul,Restaurante,"Av. Nicolás Arriola 1412, San Luis 15021",(01) 3243955,+51 1 3243955,facebook.com,https://www.facebook.com/carpaazulrestaurant,"-12.075601899999999,-77.00847279999999",3.8,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJFY8WPILjEJERVGPPKbzNLDY,https://www.google.com/maps/place/?q=place_id:ChIJFY8WPILjEJERVGPPKbzNLDY,Cevichería El Pesquero,Restaurante,"Av. Ayabaca 1258, Ica 11000",973 726 613,+51 973 726 613,,,"-14.0713741,-75.7371642",4,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJ673zDe3iEJERty6tOQUHQyc,https://www.google.com/maps/place/?q=place_id:ChIJ673zDe3iEJERty6tOQUHQyc,La Choza Náutica - Ica,Restaurante peruano,"Urb Puente Blanco Mz B Lote 04 Prolongación, Av Cutervo, Ica 11004",(056) 628200,+51 56 628200,instagram.com,https://www.instagram.com/lachozanauticaica?igsh=MXhkNW4zeXU3eDZ1dg==,"-14.076520299999999,-75.73931999999999",4,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJz4BoLgDjEJERfu8AQN-2joQ,https://www.google.com/maps/place/?q=place_id:ChIJz4BoLgDjEJERfu8AQN-2joQ,Cevichería El pajarito,Restaurante,"W747+9PC, Ica 11004",991 257 007,+51 991 257 007,,,"-14.09443,-75.7357543",4.4,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJCeFhRpHiEJERQWQI77SM_I8,https://www.google.com/maps/place/?q=place_id:ChIJCeFhRpHiEJERQWQI77SM_I8,Cevicheria Costa Sur Ica,Restaurante,"Av Cutervo D-32, Ica 11001",(056) 602719,+51 56 602719,facebook.com,https://www.facebook.com/RestaurantCevicheriaCostaSur/,"-14.0729653,-75.7301614",4,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJoTtgQxMDEZERu5J2dv5QBlA,https://www.google.com/maps/place/?q=place_id:ChIJoTtgQxMDEZERu5J2dv5QBlA,El Pajarito - Cevichería & Restaurante,Marisquería,"Mexico 1321, Ica 11003",(056) 765746,+51 56 765746,facebook.com,https://www.facebook.com/Restaurante-Cevicheria-El-Pajarito-103494031353844/,"-14.034072199999999,-75.698847",4.1,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJ7RZJ8lvjEJERdVRNw_pYpDg,https://www.google.com/maps/place/?q=place_id:ChIJ7RZJ8lvjEJERdVRNw_pYpDg,Cevichería Punto Marino ica,Restaurante,"Cerezos, Ica 11001",922 315 168,+51 922 315 168,facebook.com,https://www.facebook.com/cevicheriapuntomarinoica,"-14.069436,-75.72964809999999",4.6,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJnY_yxpXiEJERuBN8LDZgNa0,https://www.google.com/maps/place/?q=place_id:ChIJnY_yxpXiEJERuBN8LDZgNa0,Cevicheria La Quimba,Restaurante,"J.J. Elias 487, Ica 11001",(056) 238033,+51 56 238033,facebook.com,https://www.facebook.com/laquimba.ica/,"-14.0683832,-75.7324448",4.3,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJe8rg5ZPiEJERD6yS3xXETm0,https://www.google.com/maps/place/?q=place_id:ChIJe8rg5ZPiEJERD6yS3xXETm0,Cevichería La Buena Concha,Restaurante peruano,"C. Acacias B3, Ica 11001",,,indicaperu.com,http://www.indicaperu.com/Empresas.php?IDE=1063&IDC=13&IDSC=54&IDSCS=39,"-14.073206599999999,-75.731976",3.9,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJvRsCMYDjEJER11RpO4tKHyM,https://www.google.com/maps/place/?q=place_id:ChIJvRsCMYDjEJER11RpO4tKHyM,CEVICHERIA RESTAURANTE EN ICA HUARIQUE 25,Restaurante,Ica 11001,942 020 094,+51 942 020 094,indicaperu.com,https://indicaperu.com/Empresas.php?IDE=1150&IDC=13&IDSC=54&IDSCS=39,"-14.0847161,-75.75431929999999",4.1,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJRRDhH5rjEJERkqYEgzxST5Q,https://www.google.com/maps/place/?q=place_id:ChIJRRDhH5rjEJERkqYEgzxST5Q,Cevichería Duna Saraja,Restaurante,"Urb. Posada del sol H1-10, Ica",982 161 875,+51 982 161 875,cevicheriadunasaraja.com,https://cevicheriadunasaraja.com/,"-14.049247699999999,-75.74216559999999",4.3,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJgw32KAADEZERbnvXniEfgOw,https://www.google.com/maps/place/?q=place_id:ChIJgw32KAADEZERbnvXniEfgOw,Cevicheria EL PAJARITO,Marisquería,"El Parque 702, Ica 11003",,,,,"-14.036020599999999,-75.7066962",,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJCc7FN6NNEZER9pHtbO3H7pI,https://www.google.com/maps/place/?q=place_id:ChIJCc7FN6NNEZER9pHtbO3H7pI,Cevicheria Pierito,Restaurante,"cdra del cholo berrocal, Calle los Durazno MZ c7, Palpa 11330",,,,,"-14.530879899999999,-75.1804679",,,"Cevichería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJU-616JTFBZER6YpD1pc8Sp0,https://www.google.com/maps/place/?q=place_id:ChIJU-616JTFBZER6YpD1pc8Sp0,Papinoni's Pastas & Pizzas,Pizzería,"Residencial Mosha Mz.D LT. 10, San Juan de Lurigancho",918 772 049,+51 918 772 049,,,"-12.014643399999999,-76.9912362",4.1,,"Pizzería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJB0W6skRNEZER_evTVqUeMNc,https://www.google.com/maps/place/?q=place_id:ChIJB0W6skRNEZER_evTVqUeMNc,"PIZZERIA BE""ORGOES",Pizzería,"Ica 121, Palpa 11331",,,,,"-14.5332274,-75.18477709999999",3.5,,"Pizzería en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJMzdZ7nDIBZER9wpFDWXRAI0,https://www.google.com/maps/place/?q=place_id:ChIJMzdZ7nDIBZER9wpFDWXRAI0,Chifa Palacio,Restaurante,"Av. Canaval y Moreyra 606, San Isidro 15036",(01) 2259632,+51 1 2259632,chifapalacio.com.pe,https://chifapalacio.com.pe/,"-12.0979385,-77.0181625",3.7,,"Chifa en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJWWx50FXOBZERMBKiiGeF2lg,https://www.google.com/maps/place/?q=place_id:ChIJWWx50FXOBZERMBKiiGeF2lg,Chifa Palacio,Restaurante,"Av. Canaval y Moreyra 573, San Isidro 15036",(01) 4218833,+51 1 4218833,,,"-12.0973212,-77.01954599999999",3.6,,"Chifa en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJ4wz_UADJBZERnOjR7DEW1Ac,https://www.google.com/maps/place/?q=place_id:ChIJ4wz_UADJBZERnOjR7DEW1Ac,Chifa Palacio Javier Prado,Restaurante chino,"Av. Javier Prado Este 540, Lima 15046",995 553 303,+51 995 553 303,,,"-12.091673199999999,-77.0278197",2.7,,"Chifa en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJPRUcwrtLQpERZSWCID1LmRM,https://www.google.com/maps/place/?q=place_id:ChIJPRUcwrtLQpERZSWCID1LmRM,CHIFA PALACIO,Restaurante chino,"Ca. Alfz. Mariano Santos Mateos 174, San Isidro 15047",3083920,+51 3083920,,,"-12.09642,-77.0232231",3.5,,"Chifa en el distrito de Santa Cruz, Palpa , Ica, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de Santa Cruz, Palpa , Ica, Perú"
