id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJE1EQKIxlEJERD5mxJQ0dv30,https://www.google.com/maps/place/?q=place_id:ChIJE1EQKIxlEJERD5mxJQ0dv30,Pollería Pollo Gordo,Restaurante,"7QMV+652, Las Americas 965, Pisco 11601",964 929 747,+51 964 929 747,m.facebook.com,https://m.facebook.com/polleriapollogordo,"-13.716949,-76.2073176",4.3,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJ06f3poplEJERjt_KNLcNcBI,https://www.google.com/maps/place/?q=place_id:ChIJ06f3poplEJERjt_KNLcNcBI,"Pollos A La Brasa""El Tambo""",Restaurante especializado en pollo,"C. San Juan de Dios 207, Pisco 11601",(056) 531749,+51 56 531749,,,"-13.7091569,-76.2025405",4.2,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJz3rpL9llEJERAUw0wfHKSvE,https://www.google.com/maps/place/?q=place_id:ChIJz3rpL9llEJERAUw0wfHKSvE,Polleria Punto y Sabor,Tienda de aves de corral,"AA.HH. Alto el Molino Mz. E1 Lt. 18, Pisco 11600",972 725 027,+51 972 725 027,,,"-13.708204499999999,-76.1844196",4.7,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJdS1uaRajZ5ERG5S47lJTXFo,https://www.google.com/maps/place/?q=place_id:ChIJdS1uaRajZ5ERG5S47lJTXFo,POLLERIA DORADO LUIS,Restaurante especializado en pollo,"Pardo 235, Huancané 21316",,,,,"-15.1996443,-69.7652689",,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJOawTec_iEJERah5Zc1uMd3Q,https://www.google.com/maps/place/?q=place_id:ChIJOawTec_iEJERah5Zc1uMd3Q,Pollería El Cruce,Restaurante,"Coop Señor de Luren, Urb. El Carmen A-1 Urb. San Carlos E-10A, Ica",993 188 082,+51 993 188 082,,,"-14.055536799999999,-75.74557659999999",4,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJf3SmyIplEJERKySgu510Owc,https://www.google.com/maps/place/?q=place_id:ChIJf3SmyIplEJERKySgu510Owc,Polleria - Parrillas Adonys en Pisco,Tienda de aves de corral,"Perez Figuerola 227, Pisco 11601",969 981 365,+51 969 981 365,indicaperu.com,http://indicaperu.com/Empresas.php?IDE=1089&IDC=13&IDSC=54&IDSCS=43,"-13.710460399999999,-76.2022027",3.9,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJ6TJEraBlEJER3pphEtXaMyQ,https://www.google.com/maps/place/?q=place_id:ChIJ6TJEraBlEJER3pphEtXaMyQ,Pollería Moralitos,Restaurante,"Ica 484, Pisco 11601",956 645 317,+51 956 645 317,polleriamoralitos.com,https://polleriamoralitos.com/,"-13.7352455,-76.22120629999999",4.1,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJRx_H3htlEJERPg6b2mjDiBI,https://www.google.com/maps/place/?q=place_id:ChIJRx_H3htlEJERPg6b2mjDiBI,Polleria Palomino,Restaurante,"320, Pisco",(056) 542024,+51 56 542024,,,"-13.734791999999999,-76.2224738",4.2,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJJzDuVa_keWERRPj1Kj31kXs,https://www.google.com/maps/place/?q=place_id:ChIJJzDuVa_keWERRPj1Kj31kXs,Polleria El gran Rossedall pisco,Tienda de aves de corral,,936 417 673,+51 936 417 673,,,"-13.7115732,-76.1867132",,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJ7XDhNfBlEJERxzZvTQFlYmE,https://www.google.com/maps/place/?q=place_id:ChIJ7XDhNfBlEJERxzZvTQFlYmE,Pollería Rochys,Tienda de aves de corral,"7QJX+W8M, Las Americas 1513, Pisco 11601",902 672 162,+51 902 672 162,,,"-13.717286399999999,-76.201863",4.3,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJLY5rvCNmEJERrIaSWU2ze8c,https://www.google.com/maps/place/?q=place_id:ChIJLY5rvCNmEJERrIaSWU2ze8c,Pollería Mr. Chicken,Restaurante especializado en pollo,"Av. Tupac Amaru Mz.19 - Lt.5, Pisco 11621",(056) 534374,+51 56 534374,,,"-13.7133763,-76.15101419999999",4.1,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJO399XaBlEJERiIeV7iZBAQs,https://www.google.com/maps/place/?q=place_id:ChIJO399XaBlEJERiIeV7iZBAQs,Pollería Olinda,Restaurante,"Beatita De Humay 232, Pisco 11601",954 859 598,+51 954 859 598,,,"-13.7349202,-76.22327589999999",4.5,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJz997xL1lEJER4f3KTcOv6PA,https://www.google.com/maps/place/?q=place_id:ChIJz997xL1lEJER4f3KTcOv6PA,Pollería benjamin,Tienda de aves de corral,"7RQ8+XPP Alto el molino, Pisco 11601",961 157 359,+51 961 157 359,,,"-13.7100397,-76.18316759999999",,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJU4zgZ5DiEJERZWoilKoEuLs,https://www.google.com/maps/place/?q=place_id:ChIJU4zgZ5DiEJERZWoilKoEuLs,Pío Rico - Pollos Y Parrillas,Restaurante,"Av San Martin 1285, Ica 11001",(056) 285579,+51 56 285579,piorico.pe,http://piorico.pe/,"-14.075393799999999,-75.726846",4.1,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJoxr8aBtlEJERQpjwazKXq3M,https://www.google.com/maps/place/?q=place_id:ChIJoxr8aBtlEJERQpjwazKXq3M,Calle Ica,Restaurante,"Ica 320, Pisco 11601",(056) 542024,+51 56 542024,,,"-13.734808,-76.22243189999999",3.9,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJI68Y-PllEJERFne57NZj7E4,https://www.google.com/maps/place/?q=place_id:ChIJI68Y-PllEJERFne57NZj7E4,Polleria Chelita,Restaurante especializado en pollo,"Las Americas 965, Pisco 11601",(056) 798442,+51 56 798442,m.facebook.com,https://m.facebook.com/chelitavip,"-13.7167867,-76.2084268",2.3,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJQ0wjkvBlEJERigsf_p15J80,https://www.google.com/maps/place/?q=place_id:ChIJQ0wjkvBlEJERigsf_p15J80,Polleria Dandy's,Restaurante,"San Francisco 123, Pisco 11601",921 392 913,+51 921 392 913,,,"-13.709395599999999,-76.203229",3.3,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJNRKJ2EFnEJER4t7C-snGPbc,https://www.google.com/maps/place/?q=place_id:ChIJNRKJ2EFnEJER4t7C-snGPbc,Polleria Tradicional & Parrillas Tiitos,Restaurante,"7RQR+2MM, Av Fermín Tanguis, Pisco 11600",962 155 770,+51 962 155 770,,,"-13.712401,-76.1583385",5,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJv_htEotlEJERQRDQeOplMLQ,https://www.google.com/maps/place/?q=place_id:ChIJv_htEotlEJERQRDQeOplMLQ,POLLERIA PIO CHIKEN,Restaurante,"C. Comercio 415, Pisco 11601",936 609 588,+51 936 609 588,,,"-13.7128918,-76.2036425",3.5,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJxX07QJZlEJERoYPak2E_Psw,https://www.google.com/maps/place/?q=place_id:ChIJxX07QJZlEJERoYPak2E_Psw,Polleria el chilenito,Restaurante,"Perez Figuerola, Pisco 11601",955 469 595,+51 955 469 595,,,"-13.7105293,-76.2012921",3.8,,"Pollería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJz_2HZmJvEJERz487Ln9fRoU,https://www.google.com/maps/place/?q=place_id:ChIJz_2HZmJvEJERz487Ln9fRoU,La Viña De Huber,Restaurante,"7QRR+P47, Prolongacion Azul, Pisco 11601",(056) 314633,+51 56 314633,m.facebook.com,https://m.facebook.com/RestauranteHuberPisco,"-13.7082012,-76.20970539999999",4.3,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJweuI3tiyEZEROz5iHf5p-H4,https://www.google.com/maps/place/?q=place_id:ChIJweuI3tiyEZEROz5iHf5p-H4,Restaurante Turístico Chely,Restaurante,"Av. Libertadores, Pisco 11660",996 027 775,+51 996 027 775,,,"-13.637122,-75.6976799",3.7,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJf0c2u91lEJERdfNX61gW8gM,https://www.google.com/maps/place/?q=place_id:ChIJf0c2u91lEJERdfNX61gW8gM,CEVICHERIA FLORES,Restaurante,"Fermin Tangüis, Pisco 11601",900 805 397,+51 900 805 397,cevicheriarestaura7.wixsite.com,https://cevicheriarestaura7.wixsite.com/flores,"-13.7135619,-76.2093955",4.5,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJyyifQaBlEJEREGMLrKuIwEI,https://www.google.com/maps/place/?q=place_id:ChIJyyifQaBlEJEREGMLrKuIwEI,Ases Del Mar,Restaurante,"Ica 313, Pisco 11601",952 988 966,+51 952 988 966,asesdelmar.com,http://www.asesdelmar.com/,"-13.7337189,-76.22461",4,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJDZAajIplEJERma0pCyIP8no,https://www.google.com/maps/place/?q=place_id:ChIJDZAajIplEJERma0pCyIP8no,Toke Toke Cevichería,Restaurante,"Jose De San Martin 143, Pisco 11601",997 290 516,+51 997 290 516,facebook.com,https://www.facebook.com/toketokecevicheria/,"-13.7100238,-76.20403619999999",4.1,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJ5W4DjIVlEJERTPj-eNcNc-o,https://www.google.com/maps/place/?q=place_id:ChIJ5W4DjIVlEJERTPj-eNcNc-o,Cevicheria Habla Barrio,Restaurante,"C. Pedemonte 702, Pisco 11601",939 490 630,+51 939 490 630,,,"-13.7170562,-76.2051803",4.2,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJ6URXFvplEJER4Vz2p7Vk_bo,https://www.google.com/maps/place/?q=place_id:ChIJ6URXFvplEJER4Vz2p7Vk_bo,Restaurant El Bunker - La Casa del Ceviche,Restaurante,"Calle, Genaro Medrano #300, Pisco 11601",993 304 440,+51 993 304 440,,,"-13.7298037,-76.2231121",3,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJ90PQ2HJlEJERWspoBhxHODI,https://www.google.com/maps/place/?q=place_id:ChIJ90PQ2HJlEJERWspoBhxHODI,Restaurante cevichería Encanto sr.Cangrejo,Restaurante,"7Q9G+6R4, Grecia, Pisco 11601",,,,,"-13.731993399999999,-76.2229215",4.3,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJvWW-YwBlEJERIjyANo7wbYg,https://www.google.com/maps/place/?q=place_id:ChIJvWW-YwBlEJERIjyANo7wbYg,"Restaurante Cevichería ""El Chinchano""",Restaurante,"Ica 324, Pisco 11601",,,,,"-13.734837599999999,-76.2222843",3,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJ0y3tuXVlEJERgl3RqTpkt6c,https://www.google.com/maps/place/?q=place_id:ChIJ0y3tuXVlEJERgl3RqTpkt6c,Restaurant Cevicheria Gloria,Restaurante peruano,"Genaro Medrano 832, Ica 11601",960 333 982,+51 960 333 982,,,"-13.733927999999999,-76.22442029999999",3.5,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJTbpODL1lEJERkqwnKPqKzPQ,https://www.google.com/maps/place/?q=place_id:ChIJTbpODL1lEJERkqwnKPqKzPQ,La Proa Restaurante Cevicheria,Restaurante,"Genaro Medrano 612a, Pisco 11601",974 780 068,+51 974 780 068,,,"-13.7236399,-76.2217058",4.7,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
ChIJP98v5ftlEJER3vTzsJp5YEM,https://www.google.com/maps/place/?q=place_id:ChIJP98v5ftlEJER3vTzsJp5YEM,"Restaurante Cevicheria ""San Andres""",Restaurante,"A.V, Genaro Medrano 433, 11601",936 419 950,+51 936 419 950,facebook.com,https://www.facebook.com/San.Andres00,"-13.7287954,-76.2228518",4.3,,"Cevichería en el distrito de Huancano, Pisco , Ica, Perú"
