id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJdbjuSh6VDpER8FwXutlCfD0,https://www.google.com/maps/place/?q=place_id:ChIJdbjuSh6VDpER8FwXutlCfD0,Fogones,Restaurante especializado en pollo,"WQF2+WVC, Huamancaca 12425",992 319 952,+51 992 319 952,,,"-12.0748831,-75.2480181",4,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJkwgeG8KXDpER1wfbe1iB4m8,https://www.google.com/maps/place/?q=place_id:ChIJkwgeG8KXDpER1wfbe1iB4m8,"Pollería ""EL POLLOÓN""",Pollería,"WQ54+M74, Jr. Manco Capac, Huamancaca 12425",,,,,"-12.0908647,-75.2442931",3.9,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJBwGoc0yXDpERCiV45yaRf-s,https://www.google.com/maps/place/?q=place_id:ChIJBwGoc0yXDpERCiV45yaRf-s,Pollos y parrilladas King,Pollería,"WQ95+733, Av. 28 de Julio 1721, Huamancaca 12425",916 527 553,+51 916 527 553,,,"-12.082145599999999,-75.2421353",3.8,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJobAoFQCVDpERmiPM_JGKRi8,https://www.google.com/maps/place/?q=place_id:ChIJobAoFQCVDpERmiPM_JGKRi8,Polleria Kens,Restaurante especializado en pollo,"WQG2+2G6, Huamancaca 12425",,,,,"-12.0749626,-75.2487225",3,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJQUc0j9yXDpERRVJMfsviqFk,https://www.google.com/maps/place/?q=place_id:ChIJQUc0j9yXDpERRVJMfsviqFk,Chipchi Kanka Pollos y parrillads,Tienda de aves de corral,"Av. 28 de Julio N° 1721, Chupaca 12425",916 527 553,+51 916 527 553,,,"-12.0818552,-75.2421641",,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJ67nJZVWXDpERifMXn_mVFUo,https://www.google.com/maps/place/?q=place_id:ChIJ67nJZVWXDpERifMXn_mVFUo,La Granja - Pollos y parrillas,Tienda de aves de corral,"Av. 28 de Julio 462, Huancayo 12301",966 117 049,+51 966 117 049,facebook.com,https://web.facebook.com/lagranjapollosyparrillasoficial,"-12.0698466,-75.2425399",,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJC7SyDlOXDpERx85LuPJLrQo,https://www.google.com/maps/place/?q=place_id:ChIJC7SyDlOXDpERx85LuPJLrQo,Cedro's Pollos y Parrillas,Pollería,"WQG4+9X5, Huamancaca 12425",940 518 491,+51 940 518 491,,,"-12.0740786,-75.2425603",,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJwcynG12WDpERNIVFvy_8Qp4,https://www.google.com/maps/place/?q=place_id:ChIJwcynG12WDpERNIVFvy_8Qp4,"Pollos y Parrillas: ""Campero""",Restaurante,"Av. Daniel Alcides Carrion 1701, Huancayo 12004",964 187 285,+51 964 187 285,facebook.com,https://www.facebook.com/camperopollosyparrilladas/,"-12.0742835,-75.22212979999999",3.5,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJeSrqH1eVDpERlperDhCQa_g,https://www.google.com/maps/place/?q=place_id:ChIJeSrqH1eVDpERlperDhCQa_g,Full Doradito,Tienda de aves de corral,"Coronel Parra 2220, Junín 12006",991 188 748,+51 991 188 748,,,"-12.0559054,-75.2639787",,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJibgD8yWXDpERk5PapfOU3EM,https://www.google.com/maps/place/?q=place_id:ChIJibgD8yWXDpERk5PapfOU3EM,🍴🍗 POLLOS Y PARRILLAS GASTON,Restaurante especializado en pollo,"Av. Daniel Alcides Carrion 1919, Huancayo 12004",961 513 666,+51 961 513 666,,,"-12.0752259,-75.2239225",4.8,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJNcVF4ZiVDpERaFNB3ew-5UI,https://www.google.com/maps/place/?q=place_id:ChIJNcVF4ZiVDpERaFNB3ew-5UI,El Roble CHUPACA,Restaurante,"Andrea Arauco, 358, Chupaca 12456",(064) 393589,+51 64 393589,,,"-12.062065599999999,-75.28677689999999",3.5,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJDbv6ewCXDpERRxzEWO2nc6c,https://www.google.com/maps/place/?q=place_id:ChIJDbv6ewCXDpERRxzEWO2nc6c,Polleria,Granja,"WQC5+H3M, Av. 28 de Julio, Huamancaca 12425",,,,,"-12.078544299999999,-75.24233679999999",,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJu-91f-OVDpERTNiE1vM4vgI,https://www.google.com/maps/place/?q=place_id:ChIJu-91f-OVDpERTNiE1vM4vgI,X,Huerto,"Jr. Puruchuco pilcomayo Jr. Puruchuco, Huancayo",,,,,"-12.0539282,-75.2541821",3.6,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
ChIJY_jDsaGXDpEROeOnQCsliB0,https://www.google.com/maps/place/?q=place_id:ChIJY_jDsaGXDpEROeOnQCsliB0,Restaurant & Polleria La Tarmeñita,Restaurante,"3 De Diciembre 12428, Junín 12428",,,,,"-12.1079387,-75.2353275",,,"Pollería en el distrito de Huamancaca Chico, Chupaca , Junín, Perú"
