id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJTeF6VgDHBZERsx5faR-JPEI,https://www.google.com/maps/place/?q=place_id:ChIJTeF6VgDHBZERsx5faR-JPEI,Pollos RED CHICKEN L&G,Restaurante de comida rápida,"de américas fase 5, Av. La Cumbre, El Agustino 15004",,,,,"-12.058132599999999,-77.0002647",,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJoa-9tIjxCJERINNOIXW43Jc,https://www.google.com/maps/place/?q=place_id:ChIJoa-9tIjxCJERINNOIXW43Jc,Pechugon Pollos Y Parrillas,Restaurante,"453, Jr. José Olaya 469, Junín",969 600 634,+51 969 600 634,,,"-11.161662699999999,-75.9905199",4.2,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJP_8XFQDHBZERrD392ua13-s,https://www.google.com/maps/place/?q=place_id:ChIJP_8XFQDHBZERrD392ua13-s,Pollería Paredes,,"Av. México 2005, La Victoria 15019",,,,,"-12.0687945,-77.00738",4,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJTeX03pnHBZERhxawTE3Dtws,https://www.google.com/maps/place/?q=place_id:ChIJTeX03pnHBZERhxawTE3Dtws,El Cilindro de Don Ignacio,Servicio de catering,"San Martin 210, El Agustino 15003",952 145 382,+51 952 145 382,,,"-12.0559233,-77.0067475",4,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJaR3rbwDHBZERx_MRiP7hPDI,https://www.google.com/maps/place/?q=place_id:ChIJaR3rbwDHBZERx_MRiP7hPDI,EL CARMELO POLLOS A LA BRASA,Restaurante especializado en pollo,"Av. Riva Agüero 822, Lima 15003",,,,,"-12.052610699999999,-77.0035154",5,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJF_D3xIeXDpERfaZi2Gp7ww0,https://www.google.com/maps/place/?q=place_id:ChIJF_D3xIeXDpERfaZi2Gp7ww0,Pollería El Rey - Huancayo,Restaurante,"Ca. Real 1069, Huancayo 12001",947 449 090,+51 947 449 090,,,"-12.07317,-75.2076541",3.9,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJtR0gOADJBZERBLeAJjAtSwM,https://www.google.com/maps/place/?q=place_id:ChIJtR0gOADJBZERBLeAJjAtSwM,Polleria Mac Chiken Prolongación,Tienda de aves de corral,"Prol. Lucanas 313, Lima 15018",,,,,"-12.0607197,-77.0189805",2,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJUbUgPefHBZERWOg15ls7kLQ,https://www.google.com/maps/place/?q=place_id:ChIJUbUgPefHBZERWOg15ls7kLQ,CARBONERITO CHICKEN,Restaurante especializado en pollo,"Av. Tupac Amaru 184, El Agustino 15003",984 584 229,+51 984 584 229,,,"-12.0525149,-77.00429009999999",3.9,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJ9Zgh4DHHBZERr8N-213OQHw,https://www.google.com/maps/place/?q=place_id:ChIJ9Zgh4DHHBZERr8N-213OQHw,Braseria San Cayetano,Restaurante especializado en pollo,"C. Mariscal Jose de la Mar 100, Lima 15003",958 170 854,+51 958 170 854,,,"-12.0577878,-77.007097",1,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJuddmy6HIBZERv_JCxbRZAQw,https://www.google.com/maps/place/?q=place_id:ChIJuddmy6HIBZERv_JCxbRZAQw,Pollería Mac Chicken,Restaurante especializado en pollo,"Av. 28 de Julio 2770, La Victoria 15018",926 230 908,+51 926 230 908,,,"-12.061282499999999,-77.0133227",3.7,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJr9kRJAXGBZERVvdUdR_Omp4,https://www.google.com/maps/place/?q=place_id:ChIJr9kRJAXGBZERVvdUdR_Omp4,Pollería Yaoky's,Tienda de aves de corral,"XX2X+5FC, Lima 15003",997 676 463,+51 997 676 463,,,"-12.0495676,-77.001348",4.2,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJ5ZRhj6LIBZERJdv6GXaPyK8,https://www.google.com/maps/place/?q=place_id:ChIJ5ZRhj6LIBZERJdv6GXaPyK8,Pollos a la Brasa Okey,Restaurante especializado en pollo,"Av. 28 de Julio 2144, La Victoria 15018",999 932 663,+51 999 932 663,,,"-12.062020799999999,-77.019489",4.4,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJN91gdp7IBZERxm3vyNFvLUo,https://www.google.com/maps/place/?q=place_id:ChIJN91gdp7IBZERxm3vyNFvLUo,Pollos Aviación,Restaurante especializado en pollo,"Av. Aviación 674, La Victoria 15018",(01) 3242283,+51 1 3242283,,,"-12.067690299999999,-77.01227759999999",4,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJB19HRQXGBZERqGMxJebUajs,https://www.google.com/maps/place/?q=place_id:ChIJB19HRQXGBZERqGMxJebUajs,Restaurante Pollería y Chifa Tres Estrellas,Restaurante,"X222+449, Hoyle Palacios, Lima 15006",996 112 360,+51 996 112 360,,,"-12.0497246,-76.9996405",3.9,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJX0RXrs_HBZERvRpr6J0-ojA,https://www.google.com/maps/place/?q=place_id:ChIJX0RXrs_HBZERvRpr6J0-ojA,"Pollos a la Brasa ""Luchito""",Restaurante,"La Serna, La Victoria 15019",980 086 125,+51 980 086 125,,,"-12.0653586,-77.0044922",4,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJX7ot6GfHBZERo5rYyWdmR8M,https://www.google.com/maps/place/?q=place_id:ChIJX7ot6GfHBZERo5rYyWdmR8M,Pollería el encuentro,Pollería,"Av. Riva Agüero 1268, El Agustino 23456",984 052 478,+51 984 052 478,,,"-12.0498044,-77.001542",,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJZbZ0CADJBZER74kzNSYL_Es,https://www.google.com/maps/place/?q=place_id:ChIJZbZ0CADJBZER74kzNSYL_Es,Pollería (Poly's),Restaurante especializado en pollo,"Jirón Alexander Von Humboldt 1521, La Victoria 15018",,,,,"-12.0638857,-77.0144784",1,,"Pollería en el distrito de Aco, Concepción , Junín, Perú"
ChIJU-LOPru5DpERJALyPnQPe2Q,https://www.google.com/maps/place/?q=place_id:ChIJU-LOPru5DpERJALyPnQPe2Q,MARISQUERIA PISCO MAR - CONCEPCIÓN,Restaurante,Carretera Central km. 17 s/n frente.al,961 884 062,+51 961 884 062,,,"-11.9215533,-75.3198549",3.9,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJ960CkNm5DpER95sZw-ZaeTg,https://www.google.com/maps/place/?q=place_id:ChIJ960CkNm5DpER95sZw-ZaeTg,Casa Blanca,Marisquería,"Jiron Almte. Miguel Grau 813, Concepción 12126",,,,,"-11.918688399999999,-75.3120769",4.1,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJu2GRdQC5DpERx3C0NnDDRaI,https://www.google.com/maps/place/?q=place_id:ChIJu2GRdQC5DpERx3C0NnDDRaI,"Cevichería ""La Cojinova""",Restaurante,"Av. Ctra. Central 1451, Concepción 12126",,,,,"-11.919074499999999,-75.3212891",4,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJDyRkf1m5DpERmwy3wAh0so8,https://www.google.com/maps/place/?q=place_id:ChIJDyRkf1m5DpERmwy3wAh0so8,MAR AZUL D' Lien Ceviches y mas...,Restaurante,"051, Concepción 12126",912 659 376,+51 912 659 376,,,"-11.917479199999999,-75.3192278",4.1,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJA6y_Noe5DpERyATOw74Dst4,https://www.google.com/maps/place/?q=place_id:ChIJA6y_Noe5DpERyATOw74Dst4,"Marisquería ""Galeón""",Marisquería,"Jr. Grau 870, Concepción 12126",,,,,"-11.919433399999999,-75.31205949999999",4.5,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJuRFW-WO_DpERiUCOTWJgaDM,https://www.google.com/maps/place/?q=place_id:ChIJuRFW-WO_DpERiUCOTWJgaDM,Cevicheria y Hotel El Pelotero,Restaurante peruano,"Carretera central N°123 km 9½, San Agustin 12101",970 463 339,+51 970 463 339,,,"-11.9935802,-75.2557783",3.5,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJLXM2_V-4DpERuRccCyqAe58,https://www.google.com/maps/place/?q=place_id:ChIJLXM2_V-4DpERuRccCyqAe58,Concepcion,,,,,,,"-11.9158306,-75.31206399999999",,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJ_WOmzfO4DpERts8_d7MEa3w,https://www.google.com/maps/place/?q=place_id:ChIJ_WOmzfO4DpERts8_d7MEa3w,Plaza Principal De Concepción,Parque,"3MJP+JR2, 755, Concepción 12126",945 472 277,+51 945 472 277,municoncepcion.gob.pe,http://www.municoncepcion.gob.pe/,"-11.9184824,-75.3129751",4.2,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJg1on786VDpERiDAb0BpeOIw,https://www.google.com/maps/place/?q=place_id:ChIJg1on786VDpERiDAb0BpeOIw,Cevicheria AVENIDA 7,Restaurante,"Coronel Parra 2820, Chupaca 12006",964 940 121,+51 964 940 121,facebook.com,https://www.facebook.com/lilianacastillo57/,"-12.056828999999999,-75.2684173",3.7,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
ChIJa_QnNQC_DpERtMte8M2kVFM,https://www.google.com/maps/place/?q=place_id:ChIJa_QnNQC_DpERtMte8M2kVFM,PAKARIMAR cevichería,Marisquería,"Jr. Vista Alegre 474, Sicaya 12501",910 356 056,+51 910 356 056,,,"-12.0114252,-75.2798006",,,"Cevichería en el distrito de Aco, Concepción , Junín, Perú"
