id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzfMgdfC5DpERkEFXl9IXu9Y,https://www.google.com/maps/place/?q=place_id:ChIJzfMgdfC5DpERkEFXl9IXu9Y,EL GRAN CHICKEN'S,Restaurante,"Jr. Bolivar 368, Concepción 12126",900 101 498,+51 900 101 498,,,"-11.9180142,-75.31326779999999",3.6,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJM8QZnAe5DpERdxKBF_HyPeI,https://www.google.com/maps/place/?q=place_id:ChIJM8QZnAe5DpERdxKBF_HyPeI,POLLOS A LA LEÑA AXEL,Tienda de aves de corral,"JR. PROGRESO Y CENTENARIO, Concepción 12125",935 585 131,+51 935 585 131,,,"-11.906094399999999,-75.32430169999999",,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJu_Ij4li5DpERGGd9XNLEKyE,https://www.google.com/maps/place/?q=place_id:ChIJu_Ij4li5DpERGGd9XNLEKyE,Pollos y Parrillas Papa Jhon,Pollería,"12126, Concepción 12126",946 834 114,+51 946 834 114,,,"-11.9207442,-75.3204909",,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJSxxQFwC_DpERYWfngy7yLIc,https://www.google.com/maps/place/?q=place_id:ChIJSxxQFwC_DpERYWfngy7yLIc,Pollos & parrillas GASTON,Restaurante especializado en pollo,"XPXX+M7M, Huancayo 12100",961 513 666,+51 961 513 666,,,"-12.000669,-75.25188399999999",5,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJ3VqeA04Tgi4RQzf2GHi6ISw,https://www.google.com/maps/place/?q=place_id:ChIJ3VqeA04Tgi4RQzf2GHi6ISw,Polleria Huanuqueño 'AL PASO',Tienda de aves de corral,,961 600 272,+51 961 600 272,,,"-9.2435385,-75.01950459999999",,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJE6QcOda_DpER1z7YxTrM86o,https://www.google.com/maps/place/?q=place_id:ChIJE6QcOda_DpER1z7YxTrM86o,Pollería y restaurante (CASA QUERENCIA).,Restaurante,"Jr. Santo Domingo, Sicaya 12501",931 620 912,+51 931 620 912,casaquerenciaperu.com,http://casaquerenciaperu.com/,"-12.0153995,-75.2813462",4.8,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJ44kVdSKWDpERy0zeN-noNnE,https://www.google.com/maps/place/?q=place_id:ChIJ44kVdSKWDpERy0zeN-noNnE,"Pollos y Parrilas ""El gran Carmelo""",Pollería,"Mariscal Castilla (Real) 2379, Huancayo 12006",(064) 657072,+51 64 657072,richlop31.wixsite.com,http://richlop31.wixsite.com/el-gran-carmelo,"-12.0460423,-75.22450289999999",4,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJwY_kHHO5DpERuas_ZybPXOI,https://www.google.com/maps/place/?q=place_id:ChIJwY_kHHO5DpERuas_ZybPXOI,D'LIZIAS Pollos y Parrillas,Restaurante,"51, 12126",976 240 236,+51 976 240 236,,,"-11.9183791,-75.3176548",5,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJB4-e9GW5DpEREMVqcjBxUb4,https://www.google.com/maps/place/?q=place_id:ChIJB4-e9GW5DpEREMVqcjBxUb4,El Conquistador Pollos y Parrillas,Restaurante,"Jr. Bolivar 380, Concepción 12126",995 842 812,+51 995 842 812,,,"-11.918094799999999,-75.313305",3.6,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJFXneyPO4DpEROq4b0JxqhjU,https://www.google.com/maps/place/?q=place_id:ChIJFXneyPO4DpEROq4b0JxqhjU,Pollos y parrillas el Roble,Restaurante,"Jr. Bolivar 454, Concepción 12126",988 071 325,+51 988 071 325,,,"-11.9182601,-75.3140573",3.4,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJVdlLm_S4DpERrvodzpUIkos,https://www.google.com/maps/place/?q=place_id:ChIJVdlLm_S4DpERrvodzpUIkos,Polleria El Tio Chinito Internacional,Restaurante,"3MMM+PMH, Jr. Bolognesi, Concepción 12126",931 525 799,+51 931 525 799,,,"-11.9156917,-75.31576179999999",3.5,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJobAoFQCVDpERmiPM_JGKRi8,https://www.google.com/maps/place/?q=place_id:ChIJobAoFQCVDpERmiPM_JGKRi8,Polleria Kens,Restaurante especializado en pollo,"WQG2+2G6, Huamancaca 12425",,,,,"-12.0749626,-75.2487225",3,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJ83C3wla_DpERros8RHPsVZk,https://www.google.com/maps/place/?q=place_id:ChIJ83C3wla_DpERros8RHPsVZk,🍴🍗POLLOS&PARRILLAS GASTON DE AGUSTÍN DE CAJAS hyo,Tienda de aves de corral,"Av. San Agustín 739, Huancayo 12001",961 513 666,+51 961 513 666,,,"-11.9990758,-75.2528859",,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJzczD-KK5DpERxfwmuR0___U,https://www.google.com/maps/place/?q=place_id:ChIJzczD-KK5DpERxfwmuR0___U,La Chosita del Sabor,Restaurante peruano,A.V Flavio Mesa s/n,992 200 732,+51 992 200 732,,,"-11.908989199999999,-75.3617175",,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJwcynG12WDpERNIVFvy_8Qp4,https://www.google.com/maps/place/?q=place_id:ChIJwcynG12WDpERNIVFvy_8Qp4,"Pollos y Parrillas: ""Campero""",Restaurante,"Av. Daniel Alcides Carrion 1701, Huancayo 12004",964 187 285,+51 964 187 285,facebook.com,https://www.facebook.com/camperopollosyparrilladas/,"-12.0742835,-75.22212979999999",3.5,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJpeZH5hS5DpERNE4wOGRkNNc,https://www.google.com/maps/place/?q=place_id:ChIJpeZH5hS5DpERNE4wOGRkNNc,Pollería el roble,Carnicería,"Jr. Bolivar 525-407, Concepción 12126",974 706 706,+51 974 706 706,,,"-11.9185426,-75.3139954",4,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJdbjuSh6VDpER8FwXutlCfD0,https://www.google.com/maps/place/?q=place_id:ChIJdbjuSh6VDpER8FwXutlCfD0,Fogones,Restaurante especializado en pollo,"WQF2+WVC, Huamancaca 12425",992 319 952,+51 992 319 952,,,"-12.0748831,-75.2480181",4,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJeSrqH1eVDpERlperDhCQa_g,https://www.google.com/maps/place/?q=place_id:ChIJeSrqH1eVDpERlperDhCQa_g,Full Doradito,Tienda de aves de corral,"Coronel Parra 2220, Junín 12006",991 188 748,+51 991 188 748,,,"-12.0559054,-75.2639787",,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJz3qKbly4DpERgvpDTDUUrCA,https://www.google.com/maps/place/?q=place_id:ChIJz3qKbly4DpERgvpDTDUUrCA,La casa del Chef,Restaurante,"Avenida Ote., Concepción 12125",995 039 777,+51 995 039 777,lacasadelchef.com,http://lacasadelchef.com/,"-11.904648499999999,-75.31074699999999",4.2,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJw01Ma5fBDpERSfC7gn3NIWI,https://www.google.com/maps/place/?q=place_id:ChIJw01Ma5fBDpERSfC7gn3NIWI,La Campeza Restaurant,Restaurante,"XJ92+867, Distrito de Chambara 12490",968 288 639,+51 968 288 639,,,"-12.0317014,-75.399459",4.7,,"Pollería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJaUyaSjjADpERnfldfKbYLmU,https://www.google.com/maps/place/?q=place_id:ChIJaUyaSjjADpERnfldfKbYLmU,Distrito de Chambara,,12490,,,,,"-12.0271668,-75.3743736",,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJ8QgjYlnJBZER0HsOnerBeaE,https://www.google.com/maps/place/?q=place_id:ChIJ8QgjYlnJBZER0HsOnerBeaE,Juanjo Pizza,Pizzería,"Patio de Comidas de Gama Moda Plaza, Jirón Belgica 1275, La Victoria 15018",906 528 538,+51 906 528 538,bit.ly,https://bit.ly/CartaDigital-JuanjoPizza-Gama,"-12.0706767,-77.0128986",4.7,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJN9-HusXHBZER5kzi49bfYiM,https://www.google.com/maps/place/?q=place_id:ChIJN9-HusXHBZER5kzi49bfYiM,Pizza La Delicia,Pizzería,"Av. Francisco Bolognesi 1081, Santa Anita 15008",(01) 3620609,+51 1 3620609,,,"-12.0457868,-76.9740595",4.1,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJ1ziTuCXpBZERO1dj9uchGJk,https://www.google.com/maps/place/?q=place_id:ChIJ1ziTuCXpBZERO1dj9uchGJk,Pizza La Sabrosa Huascata,Pizzería,"15401 Coop. La Floresta Huascata, Chaclacayo 15476 Huascata, 15401",917 698 756,+51 917 698 756,linktr.ee,https://linktr.ee/PizzaLaSabrosa,"-11.992341999999999,-76.8215955",4.1,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJN6NK2gK_DpERwx6zIt_9SPQ,https://www.google.com/maps/place/?q=place_id:ChIJN6NK2gK_DpERwx6zIt_9SPQ,Centro Recreacional San Jeronimo,Restaurante,"Av. Mariscal Castilla 3353, 12116",960 515 040,+51 960 515 040,,,"-11.955064499999999,-75.2783401",4.8,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJnX_TZgDPBZER1HKa4OvOmqE,https://www.google.com/maps/place/?q=place_id:ChIJnX_TZgDPBZER1HKa4OvOmqE,PEPPERONI PIZZA CLUB (Habich),Pizzería,"Av. Eduardo de Habich 441 B, San Martín de Porres 15103",906 901 604,+51 906 901 604,,,"-12.027100899999999,-77.0553229",4.8,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJq6faQWqWDpERX4f6IYHRhdU,https://www.google.com/maps/place/?q=place_id:ChIJq6faQWqWDpERX4f6IYHRhdU,Don Pietro Pizzería,Pizzería,"Av. Gamarra 195, Huancayo 12004",(064) 597112,+51 64 597112,donpietropizzeria.my.canva.site,https://donpietropizzeria.my.canva.site/#page-6,"-12.0653641,-75.2260621",4.6,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJFUEreuy7BZER9E0UWXC9Dpk,https://www.google.com/maps/place/?q=place_id:ChIJFUEreuy7BZER9E0UWXC9Dpk,La Buena Pizza,Pizzería,"Av. 200 Millas manzana B, Villa EL Salvador 15837",,,,,"-12.234341599999999,-76.93499109999999",4.4,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJF2nApMjDBZERJI_fhUzFlW4,https://www.google.com/maps/place/?q=place_id:ChIJF2nApMjDBZERJI_fhUzFlW4,Pizza La Delicia,Pizzería,"Av. Simón Bolívar 210, Lima 15487",(01) 5764966,+51 1 5764966,facebook.com,https://www.facebook.com/pizzaladelicia/,"-12.0159453,-76.8828546",4,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJA8ztTLDFBZERJn90NbJvQyU,https://www.google.com/maps/place/?q=place_id:ChIJA8ztTLDFBZERJn90NbJvQyU,Pizza La Delicia,Pizzería,"Av. 13 de Enero N°1721, San Juan de Lurigancho 15431",(01) 6337460,+51 1 6337460,,,"-12.0033859,-77.0029311",4.3,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJ8ZhISKu5BZER3nePq7cQhjM,https://www.google.com/maps/place/?q=place_id:ChIJ8ZhISKu5BZER3nePq7cQhjM,"Pizzas Y Pastas ""Ma-Lu""",Restaurante,"Juan Velasco Alvarado 497, San Juan de Miraflores 15824",967 161 790,+51 967 161 790,,,"-12.172771299999999,-76.9690608",4.9,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
ChIJjf1QRzbFBZER2vVAkIr06aM,https://www.google.com/maps/place/?q=place_id:ChIJjf1QRzbFBZER2vVAkIr06aM,Pizzeria,Pizzería,"Av. 13 de Enero 2390, San Juan de Lurigancho 15434",,,,,"-11.990596799999999,-77.00498449999999",,,"Pizzería en el distrito de Chambara, Concepción , Junín, Perú"
