id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJyUunGEjGBZER7s4VzSB7PFo,https://www.google.com/maps/place/?q=place_id:ChIJyUunGEjGBZER7s4VzSB7PFo,Pollería Pihuicho,Pollería,"Av. Los Quechuas 215, Lima 15022",(01) 4342797,+51 1 4342797,facebook.com,https://www.facebook.com/PihuichoSalamanca/,"-12.0736166,-76.9868983",3.9,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJiZdFjHDGBZERuJWtZ_fXn44,https://www.google.com/maps/place/?q=place_id:ChIJiZdFjHDGBZERuJWtZ_fXn44,Chobis Chicken,Restaurante de comida rápida,"Av. Los Eucaliptos 758, Santa Anita 15008",(01) 4782431,+51 1 4782431,beacons.ai,http://beacons.ai/chobischicken,"-12.0459964,-76.9762688",4.2,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJ8VOjXOzGBZERmWgUVoeXYDs,https://www.google.com/maps/place/?q=place_id:ChIJ8VOjXOzGBZERmWgUVoeXYDs,Pihuicho Pollo Peruano,Restaurante,"Av. Los Constructores 918, La Molina 15012",(01) 3550170,+51 1 3550170,,,"-12.0627298,-76.9487025",4,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJzfMgdfC5DpERkEFXl9IXu9Y,https://www.google.com/maps/place/?q=place_id:ChIJzfMgdfC5DpERkEFXl9IXu9Y,EL GRAN CHICKEN'S,Restaurante,"Jr. Bolivar 368, Concepción 12126",900 101 498,+51 900 101 498,,,"-11.9180142,-75.31326779999999",3.6,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJM8QZnAe5DpERdxKBF_HyPeI,https://www.google.com/maps/place/?q=place_id:ChIJM8QZnAe5DpERdxKBF_HyPeI,POLLOS A LA LEÑA AXEL,Tienda de aves de corral,"JR. PROGRESO Y CENTENARIO, Concepción 12125",935 585 131,+51 935 585 131,,,"-11.906094399999999,-75.32430169999999",,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJSxxQFwC_DpERYWfngy7yLIc,https://www.google.com/maps/place/?q=place_id:ChIJSxxQFwC_DpERYWfngy7yLIc,Pollos & parrillas GASTON,Restaurante especializado en pollo,"XPXX+M7M, Huancayo 12100",961 513 666,+51 961 513 666,,,"-12.000669,-75.25188399999999",5,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJB4-e9GW5DpEREMVqcjBxUb4,https://www.google.com/maps/place/?q=place_id:ChIJB4-e9GW5DpEREMVqcjBxUb4,El Conquistador Pollos y Parrillas,Restaurante,"Jr. Bolivar 380, Concepción 12126",995 842 812,+51 995 842 812,,,"-11.918094799999999,-75.313305",3.6,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJu_Ij4li5DpERGGd9XNLEKyE,https://www.google.com/maps/place/?q=place_id:ChIJu_Ij4li5DpERGGd9XNLEKyE,Pollos y Parrillas Papa Jhon,Pollería,"12126, Concepción 12126",946 834 114,+51 946 834 114,,,"-11.9207442,-75.3204909",,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJpeZH5hS5DpERNE4wOGRkNNc,https://www.google.com/maps/place/?q=place_id:ChIJpeZH5hS5DpERNE4wOGRkNNc,Pollería el roble,Carnicería,"Jr. Bolivar 525-407, Concepción 12126",974 706 706,+51 974 706 706,,,"-11.9185426,-75.3139954",4,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
ChIJFXneyPO4DpEROq4b0JxqhjU,https://www.google.com/maps/place/?q=place_id:ChIJFXneyPO4DpEROq4b0JxqhjU,Pollos y parrillas el Roble,Restaurante,"Jr. Bolivar 454, Concepción 12126",988 071 325,+51 988 071 325,,,"-11.9182601,-75.3140573",3.4,,"Pollería en el distrito de Cochas, Concepción , Junín, Perú"
