id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzfMgdfC5DpERkEFXl9IXu9Y,https://www.google.com/maps/place/?q=place_id:ChIJzfMgdfC5DpERkEFXl9IXu9Y,EL GRAN CHICKEN'S,Restaurante,"Jr. Bolivar 368, Concepción 12126",900 101 498,+51 900 101 498,,,"-11.9180142,-75.31326779999999",3.6,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJu_Ij4li5DpERGGd9XNLEKyE,https://www.google.com/maps/place/?q=place_id:ChIJu_Ij4li5DpERGGd9XNLEKyE,Pollos y Parrillas Papa Jhon,Pollería,"12126, Concepción 12126",946 834 114,+51 946 834 114,,,"-11.9207442,-75.3204909",,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJW_xUptyXDpERCA2s3KT3jYY,https://www.google.com/maps/place/?q=place_id:ChIJW_xUptyXDpERCA2s3KT3jYY,Polleria el pimpollo,Pollería,"Mariscal Castilla (Real) 1896, 12006",933 271 810,+51 933 271 810,facebook.com,https://www.facebook.com/share/1JMVP6pQjY/?mibextid=wwXIfr,"-12.0511346,-75.22127429999999",5,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJM8QZnAe5DpERdxKBF_HyPeI,https://www.google.com/maps/place/?q=place_id:ChIJM8QZnAe5DpERdxKBF_HyPeI,POLLOS A LA LEÑA AXEL,Tienda de aves de corral,"JR. PROGRESO Y CENTENARIO, Concepción 12125",935 585 131,+51 935 585 131,,,"-11.906094399999999,-75.32430169999999",,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJwY_kHHO5DpERuas_ZybPXOI,https://www.google.com/maps/place/?q=place_id:ChIJwY_kHHO5DpERuas_ZybPXOI,D'LIZIAS Pollos y Parrillas,Restaurante,"51, 12126",976 240 236,+51 976 240 236,,,"-11.9183791,-75.3176548",5,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJ44kVdSKWDpERy0zeN-noNnE,https://www.google.com/maps/place/?q=place_id:ChIJ44kVdSKWDpERy0zeN-noNnE,"Pollos y Parrilas ""El gran Carmelo""",Pollería,"Mariscal Castilla (Real) 2379, Huancayo 12006",(064) 657072,+51 64 657072,richlop31.wixsite.com,http://richlop31.wixsite.com/el-gran-carmelo,"-12.0460423,-75.22450289999999",4,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJB4-e9GW5DpEREMVqcjBxUb4,https://www.google.com/maps/place/?q=place_id:ChIJB4-e9GW5DpEREMVqcjBxUb4,El Conquistador Pollos y Parrillas,Restaurante,"Jr. Bolivar 380, Concepción 12126",995 842 812,+51 995 842 812,,,"-11.918094799999999,-75.313305",3.6,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJF47Ke2mXDpERINSs2ZyqEYA,https://www.google.com/maps/place/?q=place_id:ChIJF47Ke2mXDpERINSs2ZyqEYA,Polleria el pimpollo,Pollería,"Av. Mariscal Castilla 1985, 12006",912 202 113,+51 912 202 113,facebook.com,https://www.facebook.com/share/1JMVP6pQjY/?mibextid=wwXIfr,"-12.084829599999999,-75.20902439999999",,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJb5MnwIeXDpER119LYlV5Noo,https://www.google.com/maps/place/?q=place_id:ChIJb5MnwIeXDpER119LYlV5Noo,La Granja Pollos y parrillas,Pollería,"Mariscal Castilla (Real) 2392, Huancayo 12007",(064) 420000,+51 64 420000,,,"-12.045860399999999,-75.22422619999999",3.3,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
ChIJFXneyPO4DpEROq4b0JxqhjU,https://www.google.com/maps/place/?q=place_id:ChIJFXneyPO4DpEROq4b0JxqhjU,Pollos y parrillas el Roble,Restaurante,"Jr. Bolivar 454, Concepción 12126",988 071 325,+51 988 071 325,,,"-11.9182601,-75.3140573",3.4,,"Pollería en el distrito de Mariscal Castilla, Concepción , Junín, Perú"
