id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJBV4ELUqWDpERWEv-wOGWPtk,https://www.google.com/maps/place/?q=place_id:ChIJBV4ELUqWDpERWEv-wOGWPtk,Pollería Caramba,Restaurante,"Jirón Guido 459, Huancayo 12000",(064) 231203,+51 64 231203,,,"-12.0628529,-75.2064946",4.2,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJLRBqTw-XDpERVjLzNG2NiCs,https://www.google.com/maps/place/?q=place_id:ChIJLRBqTw-XDpERVjLzNG2NiCs,Polleria El Sheriff Grill House,Tienda de aves de corral,"P.º La Breña N° 427, Huancayo 12001",934 841 232,+51 934 841 232,,,"-12.0702497,-75.2129502",3.9,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJ44kVdSKWDpERy0zeN-noNnE,https://www.google.com/maps/place/?q=place_id:ChIJ44kVdSKWDpERy0zeN-noNnE,"Pollos y Parrilas ""El gran Carmelo""",Pollería,"Mariscal Castilla (Real) 2379, Huancayo 12006",(064) 657072,+51 64 657072,richlop31.wixsite.com,http://richlop31.wixsite.com/el-gran-carmelo,"-12.0460423,-75.22450289999999",4,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJJ3JnBoeRDpERaT5h9zX9Tto,https://www.google.com/maps/place/?q=place_id:ChIJJ3JnBoeRDpERaT5h9zX9Tto,Pollería-Chifa HUANCAYO,Restaurante,"VQ6G+QFW, Avenida 10 de Noviembre, Huayucachi 12408",964 527 666,+51 964 527 666,,,"-12.1380123,-75.2237983",3.1,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJ0WEioyeXDpERCIRGWlF6hsE,https://www.google.com/maps/place/?q=place_id:ChIJ0WEioyeXDpERCIRGWlF6hsE,Polleria Texas Chiken,Restaurante,"Ca. Real 967, Huancayo 12001",995 505 258,+51 995 505 258,,,"-12.0723785,-75.2080719",3.9,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJmwzKa4qXDpERQtgWqKjVKMI,https://www.google.com/maps/place/?q=place_id:ChIJmwzKa4qXDpERQtgWqKjVKMI,INKAY Parrillas & Brasas,Restaurante especializado en pollo,"Ca. Real 495, Huancayo 12001",920 508 739,+51 920 508 739,linktr.ee,https://linktr.ee/INKAYHYO?utm_source=qr_code,"-12.068551,-75.2104327",3.2,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJF_D3xIeXDpERfaZi2Gp7ww0,https://www.google.com/maps/place/?q=place_id:ChIJF_D3xIeXDpERfaZi2Gp7ww0,Pollería El Rey - Huancayo,Restaurante,"Ca. Real 1069, Huancayo 12001",947 449 090,+51 947 449 090,,,"-12.07317,-75.2076541",3.9,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJ-ennHeyXDpERWEeJFO1PgH0,https://www.google.com/maps/place/?q=place_id:ChIJ-ennHeyXDpERWEeJFO1PgH0,Goci Brasas,Pollería,"Las Montañas 128, 12004",,,,,"-12.061938,-75.2257601",5,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJLxZ6SByXDpER6cfCEspQsLo,https://www.google.com/maps/place/?q=place_id:ChIJLxZ6SByXDpER6cfCEspQsLo,COZY POLLERIA,Restaurante especializado en pollo,"Jr. Ayacucho 146, Huancayo 12000",954 128 339,+51 954 128 339,,,"-12.064406,-75.2084194",3.9,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJpxCNEBeXDpERIbwZS5_U8YE,https://www.google.com/maps/place/?q=place_id:ChIJpxCNEBeXDpERIbwZS5_U8YE,Don Pollinocho,Restaurante especializado en pollo,"Jirón Pichcus 422, Huancayo 12001",944 856 819,+51 944 856 819,,,"-12.0620769,-75.20321659999999",3.8,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJTV_HtHy9DpERJe40sY72tS8,https://www.google.com/maps/place/?q=place_id:ChIJTV_HtHy9DpERJe40sY72tS8,PARODI Pollos & Parrillas,Tienda de aves de corral,"Av Calmell del Solar 1995, Huancayo 12001",952 684 699,+51 952 684 699,facebook.com,https://www.facebook.com/Delivery.064.265851/,"-12.0409086,-75.192836",3.6,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJz2Wlok6WDpERl92rhRzp6WQ,https://www.google.com/maps/place/?q=place_id:ChIJz2Wlok6WDpERl92rhRzp6WQ,Cortijo Chicken,Pollería,"Av. Giráldez N°306, Huancayo 12000",987 090 980,+51 987 090 980,,,"-12.0673443,-75.2076682",3.5,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJz1k3NvyWDpERrScJJigXaB0,https://www.google.com/maps/place/?q=place_id:ChIJz1k3NvyWDpERrScJJigXaB0,"Polleria ""ROSE""",Tienda de aves de corral,"Av. Próceres 1299, Huancayo 12003",218072,+51 218072,,,"-12.0892857,-75.20461449999999",3.7,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJSZdGhx-XDpERQzRV8TefTxc,https://www.google.com/maps/place/?q=place_id:ChIJSZdGhx-XDpERQzRV8TefTxc,Pollos y parrillas Kocoroco,Pollería,"Ca. Real 533, Huancayo 12001",933 004 158,+51 933 004 158,,,"-12.0800924,-75.20300639999999",4.7,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJNSlFRPC9DpER24SyOogglMw,https://www.google.com/maps/place/?q=place_id:ChIJNSlFRPC9DpER24SyOogglMw,Pollería Park,Restaurante,"Real 4140, Huancayo 12006",935 725 281,+51 935 725 281,,,"-12.030356699999999,-75.23421019999999",3.4,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJ8zi42lOWDpER5Bmvj4VMAqI,https://www.google.com/maps/place/?q=place_id:ChIJ8zi42lOWDpER5Bmvj4VMAqI,Chifa polleria El Che,Restaurante,"Ca. Real 1292, Huancayo 12001",957 080 979,+51 957 080 979,,,"-12.0748406,-75.2063531",3,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJZQ8MzD6XDpERlaR7CVYnMMY,https://www.google.com/maps/place/?q=place_id:ChIJZQ8MzD6XDpERlaR7CVYnMMY,RESTAURANTE POLLERIA CASA BLANCA,Restaurante,"Jr. Ica Nueva 1678, Huancayo 12003",983 658 604,+51 983 658 604,,,"-12.076484599999999,-75.2194079",4,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJx48V9CWXDpER_TTNvo3NakA,https://www.google.com/maps/place/?q=place_id:ChIJx48V9CWXDpER_TTNvo3NakA,D'Ari Pollería,Restaurante de comida rápida,"Av. Panamericana Sur 1217, Huancan 12000",933 397 103,+51 933 397 103,,,"-12.0963146,-75.2150966",4.3,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJLS9SszKWDpERI0k9NaaNrz0,https://www.google.com/maps/place/?q=place_id:ChIJLS9SszKWDpERI0k9NaaNrz0,Polleria REY CHICKEN,Restaurante,"Av San Carlos 1613, Huancayo 12001",933 717 387,+51 933 717 387,,,"-12.049927799999999,-75.2011544",3.5,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
ChIJwcynG12WDpERNIVFvy_8Qp4,https://www.google.com/maps/place/?q=place_id:ChIJwcynG12WDpERNIVFvy_8Qp4,"Pollos y Parrillas: ""Campero""",Restaurante,"Av. Daniel Alcides Carrion 1701, Huancayo 12004",964 187 285,+51 964 187 285,facebook.com,https://www.facebook.com/camperopollosyparrilladas/,"-12.0742835,-75.22212979999999",3.5,,"Pollería en el distrito de Chicche, Huancayo , Junín, Perú"
