id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzWhB6y7zCJERh-sXxA--Wxw,https://www.google.com/maps/place/?q=place_id:ChIJzWhB6y7zCJERh-sXxA--Wxw,Pollería Pio Pio,Restaurante,"Junín Jr, Junín 12731",,,,,"-11.1606845,-75.99345559999999",3.5,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJdXeTfbvzCJERKwwz3P41GpU,https://www.google.com/maps/place/?q=place_id:ChIJdXeTfbvzCJERKwwz3P41GpU,"Pollos a la brasa ""Lunita""",Restaurante especializado en pollo,"Jr. Simón Bolivar 170, Junín 12731",958 400 984,+51 958 400 984,,,"-11.1617365,-75.9935287",5,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJoa-9tIjxCJERINNOIXW43Jc,https://www.google.com/maps/place/?q=place_id:ChIJoa-9tIjxCJERINNOIXW43Jc,Pechugon Pollos Y Parrillas,Restaurante,"453, Jr. José Olaya 469, Junín",969 600 634,+51 969 600 634,,,"-11.161662699999999,-75.9905199",4.2,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJeXk0KADxCJERhZTkfRjTHTo,https://www.google.com/maps/place/?q=place_id:ChIJeXk0KADxCJERhZTkfRjTHTo,Polleria El Lechucero,Tienda de aves de corral,"R2Q5+QC2, Jr. San Martín, Junín 12731",,,,,"-11.1606125,-75.99148439999999",5,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJOZ8OSP7xCJERe9crcG0ExQ0,https://www.google.com/maps/place/?q=place_id:ChIJOZ8OSP7xCJERe9crcG0ExQ0,KIKIRIKI Friend Chicken,Pollería,"12731, Junín",966 221 717,+51 966 221 717,,,"-11.161501,-75.99274559999999",3,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJk6hb05jxCJER7xqPd2jG7hY,https://www.google.com/maps/place/?q=place_id:ChIJk6hb05jxCJER7xqPd2jG7hY,Polleria Chifa Maggis,Restaurante,"R2Q5+GM8, Jr. Simón Bolivar, Junín 12731",995 535 648,+51 995 535 648,,,"-11.1612116,-75.9908035",4,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJtdsgAYnxCJER85XlD_8XQ3Y,https://www.google.com/maps/place/?q=place_id:ChIJtdsgAYnxCJER85XlD_8XQ3Y,Pollos A La Brasa Rossy,Restaurante,"R2Q6+P4W, Jr. San Martín, Junín 12731",,,,,"-11.1606299,-75.9896722",,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJZV6yHZDzCJERJ_ecaHD3L5E,https://www.google.com/maps/place/?q=place_id:ChIJZV6yHZDzCJERJ_ecaHD3L5E,Brosteria - polleria BARATITOS,Restaurante de comida rápida,"Av. Chacamarca N° 175, Junín 12731",959 900 221,+51 959 900 221,,,"-11.1609924,-75.9977143",5,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJIRc4G__xCJERvnc0OxhiyUQ,https://www.google.com/maps/place/?q=place_id:ChIJIRc4G__xCJERvnc0OxhiyUQ,PEÑA POLLERIA SAN CARLOS,Restaurante,"R2Q5+P8R, Jr. Simón Bolivar, Junín 508",,,,,"-11.160631799999999,-75.9917467",,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
ChIJS3PEUQDxCJERmOdLteafa9M,https://www.google.com/maps/place/?q=place_id:ChIJS3PEUQDxCJERmOdLteafa9M,Rs22,,"R2Q5+733, Junín 12731",,,,,"-11.161860899999999,-75.992347",,,"Pollería en el distrito de Junin, Junín , Junín, Perú"
