id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzWhB6y7zCJERh-sXxA--Wxw,https://www.google.com/maps/place/?q=place_id:ChIJzWhB6y7zCJERh-sXxA--Wxw,Pollería Pio Pio,Restaurante,"Junín Jr, Junín 12731",,,,,"-11.1606845,-75.99345559999999",3.5,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJoa-9tIjxCJERINNOIXW43Jc,https://www.google.com/maps/place/?q=place_id:ChIJoa-9tIjxCJERINNOIXW43Jc,Pechugon Pollos Y Parrillas,Restaurante,"453, Jr. José Olaya 469, Junín",969 600 634,+51 969 600 634,,,"-11.161662699999999,-75.9905199",4.2,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJZV6yHZDzCJERJ_ecaHD3L5E,https://www.google.com/maps/place/?q=place_id:ChIJZV6yHZDzCJERJ_ecaHD3L5E,Brosteria - polleria BARATITOS,Restaurante de comida rápida,"Av. Chacamarca N° 175, Junín 12731",959 900 221,+51 959 900 221,,,"-11.1609924,-75.9977143",5,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJeXk0KADxCJERhZTkfRjTHTo,https://www.google.com/maps/place/?q=place_id:ChIJeXk0KADxCJERhZTkfRjTHTo,Polleria El Lechucero,Tienda de aves de corral,"R2Q5+QC2, Jr. San Martín, Junín 12731",,,,,"-11.1606125,-75.99148439999999",5,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJI3NElhvHBZERv3i_9qErla8,https://www.google.com/maps/place/?q=place_id:ChIJI3NElhvHBZERv3i_9qErla8,Pollería El Gordo,Restaurante,"Av. Los Eucaliptos 1008, Lima 15008",(01) 3626102 Anexo 013545768,+51 1 3626102 Anexo 013545768,,,"-12.0449255,-76.9737663",4.3,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJdXeTfbvzCJERKwwz3P41GpU,https://www.google.com/maps/place/?q=place_id:ChIJdXeTfbvzCJERKwwz3P41GpU,"Pollos a la brasa ""Lunita""",Restaurante especializado en pollo,"Jr. Simón Bolivar 170, Junín 12731",958 400 984,+51 958 400 984,,,"-11.1617365,-75.9935287",5,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJOZ8OSP7xCJERe9crcG0ExQ0,https://www.google.com/maps/place/?q=place_id:ChIJOZ8OSP7xCJERe9crcG0ExQ0,KIKIRIKI Friend Chicken,Pollería,"12731, Junín",966 221 717,+51 966 221 717,,,"-11.161501,-75.99274559999999",3,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJy_litF_ruJUROQ4cFbQdFbQ,https://www.google.com/maps/place/?q=place_id:ChIJy_litF_ruJUROQ4cFbQdFbQ,Polleria Dorys,Granja,"Primera junta, Jean Jaures 750, C6000 Junín, Provincia de Buenos Aires, Argentina",0236 432-5650,+54 236 432-5650,instagram.com,https://www.instagram.com/polleria_dorys?igsh=MXZrcnBxaGRpMGNuNQ%3D%3D&utm_source=qr,"-34.5767886,-60.943359699999995",5,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJk6hb05jxCJER7xqPd2jG7hY,https://www.google.com/maps/place/?q=place_id:ChIJk6hb05jxCJER7xqPd2jG7hY,Polleria Chifa Maggis,Restaurante,"R2Q5+GM8, Jr. Simón Bolivar, Junín 12731",995 535 648,+51 995 535 648,,,"-11.1612116,-75.9908035",4,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJe0PugwbEBZERCTRYXwl6YyQ,https://www.google.com/maps/place/?q=place_id:ChIJe0PugwbEBZERCTRYXwl6YyQ,Polleria Ñaños Sede Santa maria,Restaurante peruano,"Sta. Maria 260, Ate 15498",(01) 3696515,+51 1 3696515,,,"-12.027839799999999,-76.9235479",3.7,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJOQveM9bquJURmKcoQsE8yYE,https://www.google.com/maps/place/?q=place_id:ChIJOQveM9bquJURmKcoQsE8yYE,La Granja de Doris,Comercio,"A Rodr guez 149, Jun n, Buenos Aires, Argentina",0236 463-3473,+54 236 463-3473,,,"-34.5961925,-60.9457964",4.7,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJoeHAObblCJER7zvO92KpPaA,https://www.google.com/maps/place/?q=place_id:ChIJoeHAObblCJER7zvO92KpPaA,"Restaurant Pollería ""Mary's""",Restaurante,"Calle Tarma, JU-105 1172, San Pedro de Cajas",,,,,"-11.2497939,-75.8612705",4.6,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJZx3HcwDHBZER9oPv66TGQpQ,https://www.google.com/maps/place/?q=place_id:ChIJZx3HcwDHBZER9oPv66TGQpQ,Sazon D Brasa Pollos y Criollos,Restaurante,"Av. los Nogales 476, Santa Anita 15007",943 720 735,+51 943 720 735,pedidosya.com.pe,https://www.pedidosya.com.pe/restaurantes/lima/sazon-d-brasa-los-nogales-7a6bf310-da25-4f71-80ce-a9afb52dcfef-menu,"-12.0547281,-76.9817789",5,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJKa4W3HXFBZERs73YnOMIoIU,https://www.google.com/maps/place/?q=place_id:ChIJKa4W3HXFBZERs73YnOMIoIU,"YOVIS Polladas, Parrillas y Buffet Criollo",Restaurante especializado en pollo,"Tacaymano 1819 Urb, San Juan de Lurigancho LIMA 36",983 552 000,+51 983 552 000,facebook.com,https://www.facebook.com/PolladasParrillas.Yovis,"-12.016515,-76.9842762",5,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJOZl1B7nBBZERAG2zUl9R0_0,https://www.google.com/maps/place/?q=place_id:ChIJOZl1B7nBBZERAG2zUl9R0_0,MARYORIS BRASA,Restaurante,"Avenida Marco Puente Llanos, Lima 15494",(01) 4943535,+51 1 4943535,,,"-12.039360199999999,-76.9168315",3.7,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJ0WXhj4l_BpERc_vnNkRHpj4,https://www.google.com/maps/place/?q=place_id:ChIJ0WXhj4l_BpERc_vnNkRHpj4,"Pollería ""Las Brasas de Haaroji""",Restaurante,"6RFM+CW7, Ancón 15123",924 967 954,+51 924 967 954,,,"-11.7764518,-77.1652004",4.3,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJ0zhsXwDFBZERI-fuxwMcTDM,https://www.google.com/maps/place/?q=place_id:ChIJ0zhsXwDFBZERI-fuxwMcTDM,polleria dorados delivery,Comida a domicilio,"X3WH+XV3, Av. 1, Lima 15461",901 245 324,+51 901 245 324,,,"-12.002606199999999,-76.92033409999999",,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJtxzvcSfPBZERf0XrLTmMIzI,https://www.google.com/maps/place/?q=place_id:ChIJtxzvcSfPBZERf0XrLTmMIzI,Doradito Chicken Grill,Restaurante,"Av. Eduardo de Habich 445, San Martín de Porres 15102",(01) 2316769,+51 1 2316769,,,"-12.027272799999999,-77.0554262",3.9,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJtdsgAYnxCJER85XlD_8XQ3Y,https://www.google.com/maps/place/?q=place_id:ChIJtdsgAYnxCJER85XlD_8XQ3Y,Pollos A La Brasa Rossy,Restaurante,"R2Q6+P4W, Jr. San Martín, Junín 12731",,,,,"-11.1606299,-75.9896722",,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJlw5QK7rFBZERn4lkvz1Tocs,https://www.google.com/maps/place/?q=place_id:ChIJlw5QK7rFBZERn4lkvz1Tocs,Pollos ala Brasa Rocker,Restaurante,"Av. Tullipanes, Cercado de Lima 15416",920 434 875,+51 920 434 875,facebook.com,https://www.facebook.com/polleriarocker?mibextid=ZbWKwL,"-11.9536081,-77.0036597",3.4,,"Pollería en el distrito de Ondores, Junín , Junín, Perú"
ChIJI2EAX7yLCJER6DDpQfjJjI4,https://www.google.com/maps/place/?q=place_id:ChIJI2EAX7yLCJER6DDpQfjJjI4,Municipalidad Distrital de Ondores,Asociación u organización,"WV83+H84, Ondores 12760",968 010 252,+51 968 010 252,facebook.com,https://www.facebook.com/municipalidadondores/?tn-str=k*F,"-11.083611099999999,-76.1466667",4.1,,"Cevichería en el distrito de Ondores, Junín , Junín, Perú"
ChIJOXe5quSLCJERllltlkncGpo,https://www.google.com/maps/place/?q=place_id:ChIJOXe5quSLCJERllltlkncGpo,San Juan de Ondores,Oficinas de empresa,Ondores 12760,932 776 754,+51 932 776 754,,,"-11.0849371,-76.14874879999999",5,,"Cevichería en el distrito de Ondores, Junín , Junín, Perú"
