id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJg-Qpcv_AC5ERdCTMUq-YiJo,https://www.google.com/maps/place/?q=place_id:ChIJg-Qpcv_AC5ERdCTMUq-YiJo,Rambo Chicken's - Satipo,Pollería,"Jirón Francisco Irazola 231, Satipo 12261",921 219 440,+51 921 219 440,facebook.com,https://www.facebook.com/RamboChickensOficial,"-11.2519326,-74.63754349999999",3.4,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJxwAZCmrxDJER_d24WAcLIfw,https://www.google.com/maps/place/?q=place_id:ChIJxwAZCmrxDJER_d24WAcLIfw,Brostería la Kaleta,Restaurante especializado en pollo,"Frente a la posta, Jr. Río Ene, 12620",916 180 815,+51 916 180 815,,,"-12.1296393,-74.0800613",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJ58X8gv_AC5ER4SNGWMbLkkw,https://www.google.com/maps/place/?q=place_id:ChIJ58X8gv_AC5ER4SNGWMbLkkw,Pollos A La Leña Willy's Chicken's,Restaurante,"P9W7+247, Jirón Francisco Irazola, Satipo 12261",(064) 545477,+51 64 545477,,,"-11.2549581,-74.63721079999999",3.1,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJ_6d4KFfBC5ERmd3-1x7CMWc,https://www.google.com/maps/place/?q=place_id:ChIJ_6d4KFfBC5ERmd3-1x7CMWc,Pollería LA FOGATA,Pollería,"Av. Micaela Bastidas 705, Satipo 12261",923 250 416,+51 923 250 416,,,"-11.257696399999999,-74.64247739999999",3.6,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJMxz4BIvBC5ERudetasZqAvY,https://www.google.com/maps/place/?q=place_id:ChIJMxz4BIvBC5ERudetasZqAvY,"Polleria ""La Fogata Chicken's""",Restaurante,"Avenida Francisco Irazola n°131, Satipo 12261",960 637 450,+51 960 637 450,,,"-11.253008,-74.6353275",3.1,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJT6_JtaXBC5ER4KC_k727mzg,https://www.google.com/maps/place/?q=place_id:ChIJT6_JtaXBC5ER4KC_k727mzg,Pollos y parrillas ABRASADOR,Restaurante especializado en pollo,"Manuel Prado 277, Satipo 12261",922 472 733,+51 922 472 733,facebook.com,https://www.facebook.com/share/174yywjBUu/,"-11.2550434,-74.63694389999999",5,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJY3l3ul7BC5ERnsio-6dJLMU,https://www.google.com/maps/place/?q=place_id:ChIJY3l3ul7BC5ERnsio-6dJLMU,POLLERIA K-RRETON,Pollería,"Jr. Junín 197, Satipo 12261",972 174 978,+51 972 174 978,,,"-11.2492035,-74.63635529999999",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJFy5jklXBC5ERiT_6deJlnAY,https://www.google.com/maps/place/?q=place_id:ChIJFy5jklXBC5ERiT_6deJlnAY,POLLERIA BROSTHERIA BRANDO CHICKEN'S,Restaurante,"Jirón San Martin 849, Satipo 12261",935 222 181,+51 935 222 181,,,"-11.255647,-74.6411242",4,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJB4QKU9rBC5ERnEzpoiC4pbg,https://www.google.com/maps/place/?q=place_id:ChIJB4QKU9rBC5ERnEzpoiC4pbg,Polleria Dennys Chickens,Restaurante,"14, Satipo 12261",,,,,"-11.254309899999999,-74.6361743",5,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJVyQv1E_BC5ERU8iP8Qmw8dg,https://www.google.com/maps/place/?q=place_id:ChIJVyQv1E_BC5ERU8iP8Qmw8dg,Junín con Miguel grau,Tienda de aves de corral,"P9X7+W7M, Satipo 12261",,,,,"-11.250163899999999,-74.6368237",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJNSlRRvHBC5ERZRjc5fKgbEc,https://www.google.com/maps/place/?q=place_id:ChIJNSlRRvHBC5ERZRjc5fKgbEc,POLLERIA LA FOGATA 2,Pollería,"12261, Satipo 12261",948 268 734,+51 948 268 734,la-fogata.glide.page,https://la-fogata.glide.page/dl/6471c6,"-11.253960099999999,-74.6426555",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJiz1LSseVC5ERIBDzqnYgTF8,https://www.google.com/maps/place/?q=place_id:ChIJiz1LSseVC5ERIBDzqnYgTF8,Rambo Chicken's - Mazamari,Restaurante,"Av. del Pangoa 809, Mazamari 12301",923 214 693,+51 923 214 693,,,"-11.326616099999999,-74.53245",3.7,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJ12DzYSPBC5ERzK8EQ8yRmNk,https://www.google.com/maps/place/?q=place_id:ChIJ12DzYSPBC5ERzK8EQ8yRmNk,don SEBAS,Restaurante,"C. Pucara, Satipo 12261",980 638 619,+51 980 638 619,,,"-11.2635083,-74.64437149999999",3.6,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJh1R3ITFZC5ER_ctXtWiEHyU,https://www.google.com/maps/place/?q=place_id:ChIJh1R3ITFZC5ER_ctXtWiEHyU,"LU,SAMREY.chifa Polleria",Restaurante,05240,,,,,"-12.0395664,-74.030898",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJZyMnTQA9DZER2K8MWFaPiEA,https://www.google.com/maps/place/?q=place_id:ChIJZyMnTQA9DZER2K8MWFaPiEA,POLLERIA EL HUANCAINO,,"F5JF+X59 Jr, Av César Vallejo, Pichari",,,,,"-12.5175822,-73.8270294",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJGWmxg9zBC5EREIcnBnyQC9s,https://www.google.com/maps/place/?q=place_id:ChIJGWmxg9zBC5EREIcnBnyQC9s,polleria Jorbtih Chiki,Tienda de aves de corral,"Jr. Francisco Bolognesi N°136, Satipo 12261",,,facebook.com,https://www.facebook.com/jorbith.chiki,"-11.2529592,-74.6356697",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJ-XIY0yPBC5ER1Yt0QFhV3Yk,https://www.google.com/maps/place/?q=place_id:ChIJ-XIY0yPBC5ER1Yt0QFhV3Yk,Broaster Chanchamayo,Tienda de aves de corral,"Jr. Augusto B. Leguia 257, Satipo 12261",981 676 737,+51 981 676 737,instagram.com,https://www.instagram.com/broasterchanchamayo?igsh=MWtmeTMxZ3N1dHFnZA==,"-11.2522576,-74.6358618",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJ01aB2gjdCpERdwWcSFI37ek,https://www.google.com/maps/place/?q=place_id:ChIJ01aB2gjdCpERdwWcSFI37ek,Royal chikens,Restaurante,"769W+GXC, C. Purús, Atalaya 25200",918 221 081,+51 918 221 081,,,"-10.731194799999999,-73.7526051",3.8,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJyb3WqEjdCpERNOtol9yeBe8,https://www.google.com/maps/place/?q=place_id:ChIJyb3WqEjdCpERNOtol9yeBe8,Polleria 3 Hermanitas,Restaurante de comida rápida,Atalaya 25200,,,,,"-10.7314692,-73.7523806",3.8,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJNcokelLBC5ERDzpgo0ce_Wg,https://www.google.com/maps/place/?q=place_id:ChIJNcokelLBC5ERDzpgo0ce_Wg,Polleria DON LUCHO,Restaurante especializado en pollo,"Jr. Francisco Bolognesi 190, Satipo 12261",,,,,"-11.252719299999999,-74.6358573",,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJIV5Qm_vdCpER6Ovbrc2-Vs0,https://www.google.com/maps/place/?q=place_id:ChIJIV5Qm_vdCpER6Ovbrc2-Vs0,Pollería la Granja,Restaurante,"Jirón Malecón 301, Atalaya 25200",994 416 777,+51 994 416 777,,,"-10.7328873,-73.749831",4.2,,"Pollería en el distrito de Río Tambo, Satipo , Junín, Perú"
ChIJQwElSFXAC5ER3EmB4VHsNWY,https://www.google.com/maps/place/?q=place_id:ChIJQwElSFXAC5ER3EmB4VHsNWY,Cevichería Puntarena,Restaurante,"Jirón Francisco Irazola 607, Satipo 12261",(064) 545401,+51 64 545401,,,"-11.256915,-74.6394189",3.8,,"Cevichería en el distrito de Río Tambo, Satipo , Junín, Perú"
