id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJv6Gq4L8gCZER3SPX7pBnv14,https://www.google.com/maps/place/?q=place_id:ChIJv6Gq4L8gCZER3SPX7pBnv14,Cevichería El Chuncho,Restaurante,"Jirón Jauja 526, Tarma 12651",980 070 933,+51 980 070 933,,,"-11.4199945,-75.6920762",4.5,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJmZ0xZuogCZERUgvqfK8-yUM,https://www.google.com/maps/place/?q=place_id:ChIJmZ0xZuogCZERUgvqfK8-yUM,Cevicheria La Caleta Marina,Bar restaurante,"Jirón Huánuco 256, Tarma 12651",992 572 461,+51 992 572 461,facebook.com,https://www.facebook.com/lacaletamarina/,"-11.4181621,-75.68705849999999",3.7,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJZVlb7uogCZERPD7A566TGhs,https://www.google.com/maps/place/?q=place_id:ChIJZVlb7uogCZERPD7A566TGhs,"Restaurante Cevicheria ""Rico Mar""",Restaurante,"Jirón Amazonas 570, Tarma 12651",,,,,"-11.4176574,-75.6886516",,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJzYLXhmQhCZERkuino1e3Kkc,https://www.google.com/maps/place/?q=place_id:ChIJzYLXhmQhCZERkuino1e3Kkc,"Cevicheria ""El Cumpa""",Restaurante,"Jirón San Martín 298, Tarma 12651",,,,,"-11.4116991,-75.682784",,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJP4en-3QhCZER-LCUksxxNOQ,https://www.google.com/maps/place/?q=place_id:ChIJP4en-3QhCZER-LCUksxxNOQ,El Pez Loco Pescados y Mariscos Tarma,Restaurante,"Jirón Jauja 651, Tarma 12651",972 659 575,+51 972 659 575,,,"-11.421226599999999,-75.6921217",4.1,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJ_zwJK5UgCZERkPlB6s4Mf4c,https://www.google.com/maps/place/?q=place_id:ChIJ_zwJK5UgCZERkPlB6s4Mf4c,Sabor Marino Cevicheria,Restaurante,"Jirón Huancavelica 858, Tarma 12651",,,,,"-11.4170663,-75.690788",,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJidblKgAhCZERXVgcsH7RUUM,https://www.google.com/maps/place/?q=place_id:ChIJidblKgAhCZERXVgcsH7RUUM,Cevichería ALMA NEGRA (resto-bar),Marisquería,"Jirón Pasco 525, Tarma 12651",,,000webhostapp.com,https://cevicheriaalmanegra.000webhostapp.com/,"-11.4200124,-75.69134559999999",4.8,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJMzSyPAAhCZERQd4iNNCgyeM,https://www.google.com/maps/place/?q=place_id:ChIJMzSyPAAhCZERQd4iNNCgyeM,cebichería la pota loca,Restaurante,"Jr. Lima 847, Tarma 12651",921 376 175,+51 921 376 175,,,"-11.4198048,-75.6915763",5,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJa1A8pe4gCZERJohYgWDUAHI,https://www.google.com/maps/place/?q=place_id:ChIJa1A8pe4gCZERJohYgWDUAHI,Super Cebicheria Y Marisqueria El Tigre,Restaurante,"H8P8+R9F, Jiron Santa Apolonia, Tarma 12651",,,,,"-11.4129313,-75.6840817",3,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
ChIJkdCQbmIhCZERlI15EEECHaA,https://www.google.com/maps/place/?q=place_id:ChIJkdCQbmIhCZERlI15EEECHaA,Marisqueria El Gran Pescador,Marisquería,"Jirón Huánuco 991, Tarma 12651",,,,,"-11.4184858,-75.692145",3.5,,"Cevichería en el distrito de San Pedro de Cajas, Tarma , Junín, Perú"
