id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJK48IkyfFBZERWNOZl7GRrok,https://www.google.com/maps/place/?q=place_id:ChIJK48IkyfFBZERWNOZl7GRrok,Walpa Chicken - Campoy,Restaurante,"Av. S. Martín, San Juan de Lurigancho 15457",924 068 913,+51 924 068 913,walpachicken.com,http://www.walpachicken.com/,"-12.0241895,-76.96800069999999",3.5,,"Pollería en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJ54WveVDPBZER9XLTcEUu9ig,https://www.google.com/maps/place/?q=place_id:ChIJ54WveVDPBZER9XLTcEUu9ig,Walpa Chicken - Las Flores,Restaurante,"Av. Las Flores de Primavera 1766, San Juan de Lurigancho 15408",923 810 239,+51 923 810 239,walpachicken.com,http://www.walpachicken.com/,"-11.9994705,-77.0138334",4.2,,"Pollería en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJZVGy8ZPFBZERBWDGAx_RFF0,https://www.google.com/maps/place/?q=place_id:ChIJZVGy8ZPFBZERBWDGAx_RFF0,Ciber Pizza,Pizzería,"Av. Gran Chimú 374, San Juan de Lurigancho 15401",(01) 5176652,+51 1 5176652,,,"-12.0275891,-77.0082398",3.8,,"Pizzería en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJEbRRkzorD5ERujYC0v8KsiU,https://www.google.com/maps/place/?q=place_id:ChIJEbRRkzorD5ERujYC0v8KsiU,Chacapalpa,,12560,,,,,"-11.72447,-75.773888",,,"Pizzería en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJExrFOBa3BZERNtmryntGVUk,https://www.google.com/maps/place/?q=place_id:ChIJExrFOBa3BZERNtmryntGVUk,Papalizpizza,Pizzería,"J, Chorrillos 15067",947 749 908,+51 947 749 908,,,"-12.1978042,-77.01433519999999",4.9,,"Pizzería en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJOxHXlIjIBZERMIUp-BbtfqM,https://www.google.com/maps/place/?q=place_id:ChIJOxHXlIjIBZERMIUp-BbtfqM,Chifa Ying Yang Palermo,Restaurante,"Av. Palermo 558, La Victoria 15034",955 033 876,+51 955 033 876,,,"-12.081147,-77.023304",3.8,,"Chifa en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJt0KhE1GVDpERthA2IuxqK9k,https://www.google.com/maps/place/?q=place_id:ChIJt0KhE1GVDpERthA2IuxqK9k,Chifa Taypá - Chupaca,Restaurante chino,"Jr, Andrea Arauco 119, Chupaca",(064) 773472,+51 64 773472,,,"-12.0621105,-75.28680899999999",3.3,,"Chifa en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJiTzw4RqVDpERmy01yBknAzU,https://www.google.com/maps/place/?q=place_id:ChIJiTzw4RqVDpERmy01yBknAzU,Chifa Taypá - Pilcomayo,Restaurante chino,"Av. Mariscal Caceres 398, Huancayo 12006",(064) 761137,+51 64 761137,,,"-12.0498075,-75.25101029999999",4,,"Chifa en el distrito de Chacapalpa, Yauli , Junín, Perú"
ChIJEZD0KQDpBZERub8vCQ3R1q4,https://www.google.com/maps/place/?q=place_id:ChIJEZD0KQDpBZERub8vCQ3R1q4,Chifa central,Restaurante chino,"Ctra. Central 775, Chaclacayo 15472",,,,,"-11.9753826,-76.7696771",3.6,,"Chifa en el distrito de Chacapalpa, Yauli , Junín, Perú"
