id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ70Rp1aFbrZERWcK2vy42T_s,https://www.google.com/maps/place/?q=place_id:ChIJ70Rp1aFbrZERWcK2vy42T_s,Roast chicken Polleria,Restaurante especializado en pollo,"7R46+RFP, Calle. Pachitea, Casa Grande 13761",927 700 299,+51 927 700 299,,,"-7.7429108,-79.1888044",4.2,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJ6zjKAitbrZERCJEuFMqX_Ow,https://www.google.com/maps/place/?q=place_id:ChIJ6zjKAitbrZERCJEuFMqX_Ow,Polleria Susan,Restaurante,"Pichis 10, Casa Grande 13761",971 775 012,+51 971 775 012,,,"-7.7425033999999995,-79.1889985",4.4,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJgRO9tAZbrZERyfNUBlckaKs,https://www.google.com/maps/place/?q=place_id:ChIJgRO9tAZbrZERyfNUBlckaKs,La Hacienda Chicken & Grill,Pollería,"Ca, C. Santiago de Chuco 02, Casa Grande 13761",999 688 652,+51 999 688 652,,,"-7.7435832,-79.1891152",5,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJUR5UXgRarZERCs5yTeLFzUQ,https://www.google.com/maps/place/?q=place_id:ChIJUR5UXgRarZERCs5yTeLFzUQ,Polleria Savory Grill,Bar restaurante,"7R55+H75, C. Tren, Casa Grande 13761",,,,,"-7.741106299999999,-79.19176949999999",3.6,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJaacttBparZERkUWMsewzt30,https://www.google.com/maps/place/?q=place_id:ChIJaacttBparZERkUWMsewzt30,Polleria Sabory,Restaurante,"C. Lima 37, Casa Grande 13761",,,,,"-7.744529999999999,-79.1888903",4,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJPRAt2RtbrZER3rmoU3dEMnU,https://www.google.com/maps/place/?q=place_id:ChIJPRAt2RtbrZER3rmoU3dEMnU,Recutecute (Pollería),Restaurante especializado en pollo,"Av. Jacarandas 162, Casa Grande 13761",927 858 649,+51 927 858 649,,,"-7.7435376,-79.1867389",,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJxazr-rFbrZEROZrwQNTImyA,https://www.google.com/maps/place/?q=place_id:ChIJxazr-rFbrZEROZrwQNTImyA,"Parrillas ""Boulevard""",Restaurante especializado en pollo,"Av. Eucaliptos 30, Casa Grande 13761",944 803 030,+51 944 803 030,,,"-7.7434246,-79.1871573",3,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJKVzvMwVarZERKU9rME4kxgk,https://www.google.com/maps/place/?q=place_id:ChIJKVzvMwVarZERKU9rME4kxgk,Pollería Ximena,Restaurante,"7R46+MCQ, C. Tren, Casa Grande 13761",,,,,"-7.7432817,-79.18888439999999",3,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJIWGxZ5BRrZERb10Ac4TXc28,https://www.google.com/maps/place/?q=place_id:ChIJIWGxZ5BRrZERb10Ac4TXc28,Polleria Mi Casita,Restaurante,"Simón Bolivar 517a, Chocope 13711",967 090 301,+51 967 090 301,,,"-7.7897108,-79.2220577",4.8,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJ1yyafgBbrZERj5HXhLzfH2c,https://www.google.com/maps/place/?q=place_id:ChIJ1yyafgBbrZERj5HXhLzfH2c,Restaurant RICO POLLO,Restaurante de brunch,"Av. Tipuana Tipa 26, Casa Grande 13761",,,,,"-7.743769599999999,-79.1863667",,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJYVQzZQCrUpARQzbR2IuxGMY,https://www.google.com/maps/place/?q=place_id:ChIJYVQzZQCrUpARQzbR2IuxGMY,Pollería Amalia,Tienda de aves de corral,"Av. Tacna 149, Puerto Malabrigo 13731",913 571 137,+51 913 571 137,,,"-7.7000946,-79.437451",4.5,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJ4VB33bRerZER6ZTIA0ee8JI,https://www.google.com/maps/place/?q=place_id:ChIJ4VB33bRerZER6ZTIA0ee8JI,"Rest Polleria ""El Ascopano""",Restaurante,"Miguel Grau 853, Ascope 13770",(044) 585857,+51 44 585857,,,"-7.7139409,-79.1081727",4.1,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJo9AqXLQ_rZERvMcGWqQAxNk,https://www.google.com/maps/place/?q=place_id:ChIJo9AqXLQ_rZERvMcGWqQAxNk,Polleria El Dorado,Restaurante,"Av Miguel Grau 1109, Huanchaco 13014",960 130 163,+51 960 130 163,,,"-8.023524,-79.06513389999999",4.1,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
ChIJdXH9il9brZERzlyOQGdnNII,https://www.google.com/maps/place/?q=place_id:ChIJdXH9il9brZERzlyOQGdnNII,Restaurant & Pollería El Romanito,Restaurante,"Calle Delicias 01, C.P. Roma",976 453 379,+51 976 453 379,facebook.com,https://www.facebook.com/RestaurantElRomanito/,"-7.7661875,-79.1470791",,,"Pollería en el distrito de Casa Grande, Ascope , La Libertad, Perú"
