id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJeRggAupNrZERgXHtlLzL_XM,https://www.google.com/maps/place/?q=place_id:ChIJeRggAupNrZERgXHtlLzL_XM,EL POLLO DORADO,Restaurante,"4PC4+M23, Magdalena de Cao 13750",988 896 862,+51 988 896 862,,,"-7.878356999999999,-79.294958",4,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJd9foqGlNrZERMNImaiA3row,https://www.google.com/maps/place/?q=place_id:ChIJd9foqGlNrZERMNImaiA3row,La Dama de Cao,Restaurante peruano,"LI-102 380, Magdalena de Cao 13750",951 877 135,+51 951 877 135,facebook.com,https://www.facebook.com/RestauranteLaDamadeCao,"-7.8773706,-79.2931098",4.4,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJEyy0G6fJBZERhfz19VWhX7Q,https://www.google.com/maps/place/?q=place_id:ChIJEyy0G6fJBZERhfz19VWhX7Q,Pollería San Martín,Restaurante,"Jirón San Martin 580, Magdalena del Mar 15086",(01) 2639014,+51 1 2639014,,,"-12.0896875,-77.07176419999999",4.3,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJIWGxZ5BRrZERb10Ac4TXc28,https://www.google.com/maps/place/?q=place_id:ChIJIWGxZ5BRrZERb10Ac4TXc28,Polleria Mi Casita,Restaurante,"Simón Bolivar 517a, Chocope 13711",967 090 301,+51 967 090 301,,,"-7.7897108,-79.2220577",4.8,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJxfAr95rJBZERrvXn6Fl0krs,https://www.google.com/maps/place/?q=place_id:ChIJxfAr95rJBZERrvXn6Fl0krs,polleria don erazo,Tienda de aves de corral,"Jirón José Gálvez 732, Magdalena del Mar 15086",939 998 838,+51 939 998 838,bit.ly,https://bit.ly/Donerazo,"-12.089680999999999,-77.0747545",4.4,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJv61waMrJBZERhHZwzgtaCb0,https://www.google.com/maps/place/?q=place_id:ChIJv61waMrJBZERhHZwzgtaCb0,Kumar y sus Polluelos,Restaurante especializado en pollo,"Jr. Tacna 925, Magdalena del Mar 15086",940 100 451,+51 940 100 451,,,"-12.0895984,-77.0709822",4.4,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJ_Xm6bKfJBZERPkFW6cUEELg,https://www.google.com/maps/place/?q=place_id:ChIJ_Xm6bKfJBZERPkFW6cUEELg,Liliana Chicken Pollos a la brasa,Restaurante,"Jr.Leoncio Prado 993, Magdalena del Mar 15086",(01) 4608670,+51 1 4608670,,,"-12.088762599999999,-77.0719518",4.3,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJsyEnf1jJBZERhZxRyCvVhOg,https://www.google.com/maps/place/?q=place_id:ChIJsyEnf1jJBZERhZxRyCvVhOg,Pollu.pe,Restaurante,"Av. del Ejército 1076, Magdalena del Mar 07021",990 093 641,+51 990 093 641,pollu.pe,https://www.pollu.pe/,"-12.101024299999999,-77.0612824",4.6,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
ChIJtdlDlSlRrZERINAt22MTfWs,https://www.google.com/maps/place/?q=place_id:ChIJtdlDlSlRrZERINAt22MTfWs,"Pollería ""Rossy""",Pollería,"6Q4G+PQP Paradero de, Diego de Mora, Chocope 13711",(044) 542067,+51 44 542067,,,"-7.793166299999999,-79.2230471",4.3,,"Pollería en el distrito de Magdalena de Cao, Ascope , La Libertad, Perú"
