id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJczUEfIM0TZARwWrcxe0j71Y,https://www.google.com/maps/place/?q=place_id:ChIJczUEfIM0TZARwWrcxe0j71Y,Pollería Mary's Chicken,Restaurante,"Exequiel Gonzales Caceda 2490, Chepén 13871",941 931 669,+51 941 931 669,,,"-7.2329348,-79.41655159999999",3.5,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJW9vnuoAzTZARtGVjX-UDRsE,https://www.google.com/maps/place/?q=place_id:ChIJW9vnuoAzTZARtGVjX-UDRsE,Polleria Andinos Chicken,Tienda de aves de corral,"Lima 320, Chepén 13871",991 957 363,+51 991 957 363,,,"-7.227492799999999,-79.4302132",4,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJUxR-5YAzTZARyd4NYb_tp8A,https://www.google.com/maps/place/?q=place_id:ChIJUxR-5YAzTZARyd4NYb_tp8A,Riko's Chicken,Restaurante,"Exequiel Gonzales Caceda 799, Chepén 13871",949 936 841,+51 949 936 841,facebook.com,https://facebook.com/RikosChickenSR,"-7.2262213,-79.4290535",4.1,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJWfwKFAAzTZARkHY_npxTcVo,https://www.google.com/maps/place/?q=place_id:ChIJWfwKFAAzTZARkHY_npxTcVo,Pollería El Valiente,Restaurante especializado en pollo,"Exequiel Gonzales Caceda 247-133, Chepén 13871",,,,,"-7.2225066,-79.4319288",,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJ_W5KOhI1TZARsDBmY2H3okE,https://www.google.com/maps/place/?q=place_id:ChIJ_W5KOhI1TZARsDBmY2H3okE,Polleria Pepito,Tienda de aves de corral,"San Miguel 598, Chepén 13871",929 373 705,+51 929 373 705,,,"-7.230098,-79.4125016",5,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJyYjpgos1TZAR1AR6BBm25t8,https://www.google.com/maps/place/?q=place_id:ChIJyYjpgos1TZAR1AR6BBm25t8,Polleria Sagto . Rudas,Tienda de aves de corral,"QH8J+VWM, Exequiel Gonzales Caceda, Chepén 13871",,,,,"-7.2327832999999995,-79.4176926",5,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJRfpfhwQzTZARhSRH5U999QE,https://www.google.com/maps/place/?q=place_id:ChIJRfpfhwQzTZARhSRH5U999QE,Polleria Mejia,Tienda de aves de corral,"Cajamarca 452, Chepén 01414",959 835 738,+51 959 835 738,,,"-7.226514,-79.4299228",,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJW1Xvo4AzTZARN_WsFL5PZ9Q,https://www.google.com/maps/place/?q=place_id:ChIJW1Xvo4AzTZARN_WsFL5PZ9Q,Polleria Francia,Tienda de aves de corral,"Lima 388, Chepén 13871",986 235 471,+51 986 235 471,,,"-7.2278695,-79.4300016",,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJn0kuu4AzTZARXcJn9YUCCso,https://www.google.com/maps/place/?q=place_id:ChIJn0kuu4AzTZARXcJn9YUCCso,Polleria Lo Mas Rico,Restaurante,"Lima 351, Chepén 13871",,,,,"-7.227548499999999,-79.43008809999999",5,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
ChIJd0woTtc1TZARqJjg1LUQp_A,https://www.google.com/maps/place/?q=place_id:ChIJd0woTtc1TZARqJjg1LUQp_A,Pollería Dennis,Restaurante,"Exequiel Gonzales Caceda 1599, Chepén 13871",,,,,"-7.230918,-79.4241279",,,"Pollería en el distrito de Chepen, Chepén , La Libertad, Perú"
